,PAY_0,default payment next month,real_identifier
50,0.0,0.0,1.0
51,2.0,0.0,1.0
52,-1.0,0.0,1.0
53,2.0,1.0,1.0
54,-2.0,0.0,1.0
55,0.0,0.0,1.0
56,0.0,0.0,1.0
57,0.0,0.0,1.0
58,0.0,0.0,1.0
59,-1.0,0.0,1.0
60,0.0,0.0,1.0
61,2.0,1.0,1.0
62,0.0,0.0,1.0
63,0.0,1.0,1.0
64,-1.0,0.0,1.0
65,0.0,1.0,1.0
66,1.0,1.0,1.0
67,0.0,0.0,1.0
68,1.0,1.0,1.0
69,0.0,0.0,1.0
70,0.0,1.0,1.0
71,-1.0,1.0,1.0
72,0.0,0.0,1.0
73,1.0,0.0,1.0
74,-1.0,0.0,1.0
75,1.0,0.0,1.0
76,0.0,0.0,1.0
77,-2.0,0.0,1.0
78,-1.0,1.0,1.0
79,0.0,0.0,1.0
80,0.0,1.0,1.0
81,1.0,0.0,1.0
82,0.0,0.0,1.0
83,0.0,0.0,1.0
84,-2.0,0.0,1.0
85,2.0,0.0,1.0
86,-1.0,0.0,1.0
87,-1.0,0.0,1.0
88,-1.0,0.0,1.0
89,0.0,0.0,1.0
90,1.0,0.0,1.0
91,0.0,1.0,1.0
92,-1.0,0.0,1.0
93,0.0,0.0,1.0
94,0.0,0.0,1.0
95,-1.0,0.0,1.0
96,0.0,0.0,1.0
97,-1.0,0.0,1.0
98,-2.0,0.0,1.0
99,-2.0,0.0,1.0
