,SEX,EDUCATION,MARRIAGE,PAY_0,default payment next month,real_identifier
0,2,1,2,1,0,0
1,1,3,1,-2,0,0
2,2,2,2,2,1,0
3,1,1,1,0,0,0
4,2,3,2,-1,0,0
5,1,2,2,0,1,0
6,2,1,1,-1,0,0
7,1,1,2,2,0,0
8,2,2,1,0,0,0
9,1,3,2,1,1,0
10,2,1,2,2,0,0
11,1,2,1,-2,0,0
12,2,3,1,0,0,0
13,1,1,2,0,0,0
14,2,2,2,-1,0,0
15,1,2,2,2,1,0
16,2,1,1,0,0,0
17,1,3,2,0,0,0
18,2,2,2,1,1,0
19,1,1,2,-1,0,0
20,2,3,1,-2,0,0
21,1,2,1,0,0,0
22,2,1,2,0,1,0
23,1,1,2,2,0,0
24,2,2,2,0,0,0
25,1,2,2,0,0,0
26,2,1,1,-1,1,0
27,2,3,2,0,0,0
28,1,2,2,1,1,0
29,2,2,1,2,1,0
30,1,2,2,0,0,0
31,2,1,2,-2,0,0
32,1,3,2,0,0,0
33,2,2,1,-1,0,0
34,2,1,1,1,1,0
35,1,2,2,0,0,0
36,2,3,1,0,0,0
37,2,2,1,0,0,0
38,1,1,2,2,1,0
39,2,2,2,0,1,0
40,1,3,2,1,1,0
41,2,1,1,-2,0,0
42,2,2,1,0,0,0
43,1,2,2,0,0,0
44,2,3,2,0,0,0
45,1,1,2,1,1,0
46,2,2,1,2,1,0
47,1,2,2,0,0,0
48,2,1,2,-1,0,0
49,2,3,1,0,0,0
50,2,1,1,-1,0,1
51,2,1,2,1,0,1
52,2,1,2,2,0,1
53,1,1,1,-2,0,1
54,1,3,2,0,1,1
55,2,3,1,-1,0,1
56,1,1,2,0,0,1
57,1,1,1,0,0,1
58,1,1,1,-1,0,1
59,2,2,1,0,1,1
60,1,5,2,2,0,1
61,2,2,2,2,1,1
62,1,2,2,2,1,1
63,2,2,2,0,0,1
64,2,3,3,0,0,1
65,2,2,2,-1,0,1
66,2,2,1,0,0,1
67,2,1,2,0,0,1
68,1,2,2,1,1,1
69,1,1,2,0,0,1
70,2,3,2,0,0,1
71,1,1,2,0,0,1
72,2,1,2,0,1,1
73,2,2,1,-1,0,1
74,2,2,2,0,1,1
75,2,1,1,-1,1,1
76,1,2,2,0,0,1
77,2,3,2,0,0,1
78,1,1,2,1,1,1
79,2,2,1,2,1,1
80,1,2,2,0,0,1
81,1,2,2,-1,0,1
82,1,2,2,0,0,1
83,2,2,1,-2,0,1
84,2,1,1,-2,1,1
85,2,2,1,-2,0,1
86,2,1,2,1,0,1
87,1,1,2,0,0,1
88,2,3,1,0,0,1
89,2,2,1,0,0,1
90,1,3,2,2,0,1
91,2,5,2,0,1,1
92,2,2,1,0,0,1
93,2,2,1,-1,0,1
94,2,1,1,-2,0,1
95,1,3,2,1,1,1
96,2,3,1,0,0,1
97,2,3,3,0,0,1
98,1,2,1,2,1,1
99,1,1,2,0,0,1
