,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,real_identifier
0,1,3,1,1,1,2,2,3,3,0,0
1,2,4,2,-2,-2,-1,-1,0,0,1,0
2,1,4,1,2,1,0,1,0,1,0,0
3,2,3,3,0,2,3,2,3,0,1,0
4,2,3,1,1,2,1,1,0,0,0,0
5,1,2,3,-1,0,0,-1,-1,-1,0,0
6,1,4,3,0,0,1,1,1,1,0,0
7,2,1,1,-1,-1,-1,2,2,2,1,0
8,2,1,3,1,1,1,2,0,0,0,0
9,1,4,1,0,2,0,0,1,1,0,0
10,2,4,1,1,1,3,2,2,3,0,0
11,1,2,3,-2,-1,1,0,1,2,1,0
12,1,3,1,1,1,1,1,1,1,0,0
13,2,5,3,0,0,2,2,2,0,1,0
14,2,4,3,1,0,0,0,0,0,1,0
15,1,3,2,-2,-1,-1,-1,-1,-1,0,0
16,2,3,1,1,1,1,0,-1,0,0,0
17,1,4,3,-1,-1,2,2,3,3,1,0
18,2,4,1,2,1,1,0,0,0,0,0
19,1,3,3,-1,-1,-2,1,1,1,1,0
20,2,4,1,0,1,1,1,1,1,0,0
21,1,3,3,3,3,3,3,3,3,1,0
22,1,2,2,2,2,1,1,0,0,0,0
23,2,4,3,1,1,0,0,1,1,1,0
24,1,4,2,2,1,1,0,0,0,0,0
25,2,3,1,-1,-1,-1,3,3,3,1,0
26,1,5,1,2,2,1,1,0,0,1,0
27,2,1,3,1,1,0,0,-1,-2,0,0
28,1,3,2,1,1,2,2,3,2,0,0
29,2,1,3,0,0,1,1,2,1,0,0
30,1,4,1,2,1,1,1,2,2,0,0
31,2,2,3,0,3,3,2,1,1,1,0
32,1,3,1,2,1,1,1,2,3,0,0
33,2,4,3,-1,0,-2,-1,0,1,1,0
34,2,4,1,2,2,3,3,4,5,0,0
35,1,3,3,1,1,2,2,3,4,0,0
36,2,4,1,1,1,0,0,-1,0,0,0
37,1,2,3,-1,-1,2,2,2,2,1,0
38,1,4,1,2,2,0,0,0,0,0,0
39,2,5,3,1,1,1,1,-1,-1,0,0
40,1,4,2,0,1,1,2,3,4,0,0
41,2,1,3,-2,-1,0,-1,1,2,1,0
42,1,2,3,0,0,1,1,2,2,0,0
43,2,4,1,-2,-2,-1,0,0,1,0,0
44,1,4,1,2,1,1,2,3,2,0,0
45,2,1,3,-1,-1,0,-2,1,1,1,0
46,1,2,1,2,1,1,0,2,1,0,0
47,2,5,2,0,0,2,1,0,2,1,0
48,2,2,3,2,2,2,2,1,1,0,0
49,1,4,2,1,1,1,0,0,0,1,0
0,1,1,2,-1,-1,-2,-2,-2,-1,0,1
1,2,2,1,0,0,0,-2,-2,-2,1,1
2,1,2,2,0,0,2,0,0,0,0,1
3,2,1,2,-1,-1,-1,0,0,-2,0,1
4,2,1,2,-1,3,2,2,2,2,0,1
5,1,1,1,-2,-2,-2,-2,-2,-2,0,1
6,2,2,1,-2,-2,-2,-2,-2,-2,0,1
7,2,2,2,1,-2,-2,-2,-2,-2,1,1
8,2,2,1,0,0,2,0,0,0,0,1
9,1,3,2,0,0,0,0,0,0,0,1
10,1,1,2,-1,-1,2,-1,0,-1,0,1
11,1,3,2,-2,-2,-2,-2,-1,-1,0,1
12,1,1,2,2,2,2,2,2,2,1,1
13,2,2,2,-1,2,0,0,0,2,1,1
14,1,2,2,2,0,0,0,0,0,1,1
15,2,1,1,-1,-1,-1,-1,-1,-1,0,1
16,2,2,2,0,0,0,0,0,-1,0,1
17,1,1,1,-2,-2,-2,-1,2,2,1,1
18,1,1,2,1,-2,-1,-1,-1,-1,1,1
19,2,2,2,0,0,0,0,0,0,1,1
20,1,1,2,1,-1,-1,-2,-2,-2,1,1
21,1,2,2,2,2,2,2,2,2,1,1
22,2,1,1,0,0,0,-1,-1,-1,0,1
23,2,3,1,0,0,0,0,0,0,1,1
24,1,2,1,0,0,0,0,0,0,0,1
25,2,1,1,1,-2,-2,-2,-2,-2,0,1
26,1,3,2,0,0,0,0,0,0,1,1
27,2,2,2,0,0,0,0,0,-1,0,1
28,2,2,1,-1,-1,-1,-1,2,-1,0,1
29,2,2,1,0,0,0,0,0,0,0,1
30,1,3,2,1,2,2,2,2,0,1,1
31,2,1,1,-1,-1,2,0,-1,-1,1,1
32,2,1,2,1,-2,-1,-1,-1,-1,0,1
33,2,2,1,-2,-2,-2,-2,-2,-2,0,1
34,2,2,2,0,0,0,0,0,0,0,1
35,1,1,2,0,0,0,0,0,0,0,1
36,1,1,2,0,0,2,2,2,2,1,1
37,2,5,2,0,0,-1,0,0,-2,1,1
38,2,3,2,0,0,0,0,0,0,0,1
39,2,1,2,0,0,0,0,0,-1,0,1
40,2,2,1,2,2,-1,-1,-2,-2,1,1
41,1,2,1,-1,0,-1,0,0,0,0,1
42,2,3,1,-1,-1,-1,-1,-1,-1,0,1
43,2,1,2,-1,-1,-1,-1,-1,-1,0,1
44,2,3,2,1,-2,-2,-1,2,-1,0,1
45,1,2,2,0,0,0,0,0,0,0,1
46,2,1,2,0,0,0,2,0,0,0,1
47,2,3,3,1,2,0,0,0,0,0,1
48,1,1,2,0,0,0,-1,0,0,0,1
49,2,3,1,0,0,0,0,0,0,0,1
50,1,1,2,0,0,0,0,0,0,0,1
