,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,real_identifier
0,2,1,1,-1,-1,-1,-1,-1,-1,1,0
1,1,2,2,0,0,0,0,0,0,0,0
2,2,1,2,1,-2,-2,-2,-2,-2,0,0
3,1,1,1,-2,-2,-2,-1,2,2,1,0
4,2,2,1,-1,-1,-1,-1,-1,-1,1,0
5,2,1,1,0,0,0,-1,-1,-1,0,0
6,1,2,2,0,0,0,0,0,0,0,0
7,2,2,1,0,0,0,0,0,0,0,0
8,2,1,2,0,0,0,0,0,-1,0,0
9,1,1,1,-1,-1,-1,-1,-1,0,0,0
10,2,2,2,-1,0,-1,-1,-1,-1,0,0
11,2,1,2,1,-2,-1,-1,-1,-1,0,0
12,1,2,2,1,2,2,0,0,2,1,0
13,2,1,2,2,-1,-1,-1,-1,-1,0,0
14,2,1,2,-2,-2,-2,-2,-2,-2,0,0
15,1,2,2,0,0,0,0,0,0,0,0
16,1,1,2,0,0,0,0,0,0,0,0
17,1,5,2,2,0,0,0,0,0,0,0
18,2,2,2,0,-1,-1,0,0,-1,0,0
19,1,1,2,2,2,2,2,2,2,1,0
20,1,2,1,-1,0,-1,0,0,0,0,0
21,2,5,2,0,0,-1,0,0,-2,1,0
22,2,3,1,0,0,2,0,0,0,0,0
23,1,2,2,2,2,2,2,2,2,1,0
24,2,2,1,0,0,0,0,0,0,0,0
25,2,2,2,0,0,0,0,0,0,0,0
26,1,1,2,0,0,0,0,0,0,0,0
27,2,3,2,0,0,0,0,0,0,0,0
28,1,2,1,0,0,0,0,0,0,0,0
29,2,2,2,0,0,0,0,0,0,0,0
30,1,1,2,0,0,0,0,0,0,0,0
31,2,2,2,0,0,0,0,0,0,0,0
32,1,3,2,0,0,0,0,0,0,0,0
33,2,2,1,0,0,0,0,0,0,0,0
34,1,1,2,0,0,0,0,0,0,0,0
35,2,2,2,0,0,0,0,0,0,0,0
36,1,2,2,0,0,0,0,0,0,0,0
37,2,1,2,0,0,0,0,0,0,0,0
38,1,1,2,0,0,0,0,0,0,0,0
39,2,2,2,0,0,0,0,0,0,0,0
40,1,3,2,0,0,0,0,0,0,0,0
41,2,2,1,0,0,0,0,0,0,0,0
42,1,1,2,0,0,0,0,0,0,0,0
43,2,2,2,0,0,0,0,0,0,0,0
44,1,2,2,0,0,0,0,0,0,0,0
45,2,1,2,0,0,0,0,0,0,0,0
46,1,1,2,0,0,0,0,0,0,0,0
47,2,2,2,0,0,0,0,0,0,0,0
48,1,3,2,0,0,0,0,0,0,0,0
49,2,2,1,0,0,0,0,0,0,0,0
50,1,1,2,0,0,0,0,0,0,0,0
51,2,2,2,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0,0,1
1,2,1,1,-1,-1,2,0,-1,-1,1,1
2,1,1,1,-2,-2,-2,-1,2,2,1,1
3,2,1,2,1,-2,-2,-2,-2,-2,0,1
4,2,2,1,-1,-1,-1,-1,-1,-1,1,1
5,2,1,1,0,0,0,-1,-1,-1,0,1
6,1,2,2,0,0,0,0,0,0,0,1
7,2,2,1,0,0,0,0,0,0,0,1
8,2,1,2,0,0,0,0,0,-1,0,1
9,1,1,1,-1,-1,-1,-1,-1,0,0,1
10,2,2,2,-1,0,-1,-1,-1,-1,0,1
11,2,1,2,1,-2,-1,-1,-1,-1,0,1
12,1,2,2,1,2,2,0,0,2,1,1
13,2,1,2,2,-1,-1,-1,-1,-1,0,1
14,2,1,2,-2,-2,-2,-2,-2,-2,0,1
15,1,2,2,0,0,0,0,0,0,0,1
16,1,1,2,0,0,0,0,0,0,0,1
17,1,5,2,2,0,0,0,0,0,0,1
18,2,2,2,0,-1,-1,0,0,-1,0,1
19,1,1,2,2,2,2,2,2,2,1,1
20,1,2,1,-1,0,-1,0,0,0,0,1
21,2,5,2,0,0,-1,0,0,-2,1,1
22,2,3,1,0,0,2,0,0,0,0,1
23,1,2,2,2,2,2,2,2,2,1,1
24,2,2,1,0,0,0,0,0,0,0,1
25,2,3,2,0,0,0,0,0,-1,0,1
26,1,2,1,2,2,2,0,0,0,1,1
27,2,1,2,-1,-1,-1,-1,-1,-1,0,1
28,2,2,2,-1,2,0,0,0,2,1,1
29,2,2,2,0,0,0,0,0,0,1,1
30,1,1,2,0,0,0,0,0,0,0,1
31,1,3,2,2,2,0,0,0,2,0,1
32,2,2,1,0,0,2,0,0,0,0,1
33,2,2,2,0,0,0,0,0,0,0,1
34,1,1,2,0,0,0,0,0,0,0,1
35,2,2,1,0,0,0,-2,-2,-2,1,1
36,2,2,2,0,0,0,0,0,-1,0,1
37,2,2,2,2,0,0,2,2,2,1,1
38,1,1,2,-1,-1,-1,-1,-1,-1,0,1
39,2,2,1,-2,-2,-2,-2,-2,-2,0,1
40,1,1,2,1,-1,-1,-2,-2,-2,1,1
41,1,1,2,-1,-1,2,-1,0,-1,0,1
42,2,2,1,-1,-1,-1,-1,-1,-2,0,1
43,2,3,2,0,0,2,0,0,-1,0,1
44,1,2,2,0,0,2,0,0,0,0,1
45,1,3,2,1,2,2,2,2,0,1,1
46,2,1,1,-2,-2,-2,-2,-2,-2,0,1
47,1,1,2,-1,-1,-2,-2,-2,-1,0,1
48,1,1,2,0,0,0,0,0,0,0,1
49,1,1,2,0,0,0,0,0,0,0,1
50,2,3,1,0,0,0,0,0,0,1,1
