,cap-color,odor,gill-attachment,habitat,poisonous,real_identifier
0,g,n,f,d,e,0
1,n,f,f,g,e,0
2,g,f,f,d,e,0
3,w,a,a,p,p,0
4,y,l,f,p,e,0
5,g,n,a,d,p,0
6,g,f,a,d,e,0
7,y,a,f,p,p,0
8,g,f,f,p,e,0
9,e,l,a,d,p,0
10,g,f,f,d,e,0
11,e,a,a,p,p,0
12,y,l,f,p,e,0
13,e,p,a,d,p,0
14,n,n,f,d,e,0
15,g,a,f,g,e,0
16,g,f,f,d,e,0
17,n,p,a,p,p,0
18,g,n,f,d,e,0
19,b,a,a,p,p,0
20,g,n,f,d,e,0
21,y,l,a,p,p,0
22,y,f,a,d,p,0
23,e,a,f,p,e,0
24,y,p,f,g,p,0
25,e,n,a,u,e,0
26,n,n,f,p,e,0
27,y,f,a,g,e,0
28,y,f,a,d,p,0
29,g,a,f,g,e,0
30,n,n,f,u,e,0
31,y,f,f,d,p,0
32,y,f,f,g,e,0
33,g,a,a,d,p,0
34,y,a,f,m,e,0
35,y,a,f,m,e,0
36,y,n,f,d,e,0
37,w,f,a,g,p,0
38,g,n,f,d,e,0
39,y,a,a,u,p,0
40,n,a,f,d,e,0
41,b,c,a,u,p,0
42,y,f,a,p,p,0
43,g,a,f,d,e,0
44,g,n,a,d,e,0
45,e,f,f,p,p,0
46,n,l,f,p,e,0
47,g,f,a,d,p,0
48,g,f,f,d,e,0
49,n,p,a,g,p,0
0,y,a,f,d,e,1
1,y,a,f,d,e,1
2,y,l,f,m,e,1
3,n,n,f,g,e,1
4,w,a,f,g,e,1
5,n,a,f,g,e,1
6,w,p,f,u,p,1
7,w,l,f,g,e,1
8,y,a,f,g,e,1
9,n,p,f,g,p,1
10,n,n,f,g,e,1
11,y,l,f,m,e,1
12,n,a,f,g,e,1
13,w,a,f,g,e,1
14,y,l,f,m,e,1
15,y,l,f,m,e,1
16,y,a,f,g,e,1
17,y,l,f,m,e,1
18,y,l,f,m,e,1
19,w,p,f,u,p,1
20,w,a,f,g,e,1
21,w,p,f,g,p,1
22,n,p,f,u,p,1
23,n,n,f,g,e,1
24,w,l,f,d,e,1
25,n,a,f,p,e,1
26,w,l,f,g,e,1
27,y,a,f,g,e,1
28,w,l,f,m,e,1
29,n,n,f,u,e,1
30,g,n,f,u,e,1
31,g,n,f,u,e,1
32,w,p,f,u,p,1
33,n,l,f,p,e,1
34,w,a,f,m,e,1
35,w,a,f,m,e,1
36,n,n,f,u,e,1
37,g,n,f,u,e,1
38,n,l,f,g,e,1
39,y,l,f,p,e,1
40,y,l,f,p,e,1
41,w,p,f,g,p,1
42,w,l,f,g,e,1
43,w,l,f,m,e,1
44,y,a,f,m,e,1
45,w,p,f,g,p,1
46,y,a,f,g,e,1
47,w,a,f,g,e,1
48,w,l,f,m,e,1
49,y,a,f,m,e,1
50,y,a,f,g,e,1
