,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,veil-type,veil-color,habitat,poisonous,real_identifier
0,y,a,f,b,k,e,p,w,m,e,0
1,w,p,f,n,n,e,p,w,u,p,0
2,n,a,f,b,p,e,p,w,p,e,0
3,y,l,f,b,w,e,p,w,p,e,0
4,w,a,f,b,g,e,p,w,m,e,0
5,n,n,f,b,k,t,p,w,g,e,0
6,y,a,f,b,n,e,p,w,g,e,0
7,w,l,f,b,k,e,p,w,g,e,0
8,y,a,f,b,k,e,p,w,m,e,0
9,n,p,f,n,k,e,p,w,u,p,0
10,w,l,f,n,n,t,p,w,d,e,0
11,w,a,f,b,w,e,p,w,g,e,0
12,y,l,f,b,g,e,p,w,m,e,0
13,y,a,f,b,k,e,p,w,m,e,0
14,w,p,f,n,n,e,p,w,u,p,0
15,n,a,f,b,p,e,p,w,p,e,0
16,y,a,f,b,n,e,p,w,g,e,0
17,w,l,f,b,g,e,p,w,m,e,0
18,w,a,f,b,w,e,p,w,g,e,0
19,n,n,f,b,k,t,p,w,g,e,0
20,y,l,f,b,w,e,p,w,p,e,0
21,y,a,f,b,k,e,p,w,m,e,0
22,w,p,f,n,k,e,p,w,u,p,0
23,w,l,f,n,n,t,p,w,d,e,0
24,y,a,f,b,n,e,p,w,g,e,0
25,w,a,f,b,g,e,p,w,m,e,0
26,n,p,f,n,k,e,p,w,u,p,0
27,y,l,f,b,n,e,p,w,m,e,0
28,w,p,f,n,k,e,p,w,u,p,0
29,n,n,f,b,g,t,p,w,g,e,0
30,y,a,f,n,w,t,p,w,d,e,0
31,w,l,f,b,n,e,p,w,g,e,0
32,y,l,f,b,k,e,p,w,m,e,0
33,n,p,f,n,n,e,p,w,u,p,0
34,w,p,f,n,w,e,p,w,g,p,0
35,y,l,f,n,g,t,p,w,d,e,0
36,n,n,f,b,k,t,p,w,g,e,0
37,w,l,f,b,n,e,p,w,m,e,0
38,y,a,f,b,w,e,p,w,m,e,0
39,n,p,f,n,k,e,p,w,u,p,0
40,y,l,f,b,g,e,p,w,g,e,0
41,w,p,f,n,n,e,p,w,g,p,0
42,n,n,f,n,k,e,p,w,u,e,0
43,y,a,f,n,n,t,p,w,d,e,0
44,w,l,f,b,w,e,p,w,m,e,0
45,y,l,f,b,k,e,p,w,g,e,0
46,n,p,f,n,n,e,p,w,u,p,0
47,w,p,f,n,k,e,p,w,u,p,0
48,y,l,f,n,g,t,p,w,d,e,0
49,n,n,f,b,k,t,p,w,g,e,0
50,w,l,f,b,n,e,p,w,m,e,0
51,y,a,f,b,n,e,p,w,m,e,0
52,n,p,f,n,w,e,p,w,u,p,0
50,y,l,f,b,w,e,p,w,g,e,1
51,y,a,f,b,g,e,p,w,m,e,1
52,y,a,f,b,k,e,p,w,m,e,1
53,y,a,f,b,k,e,p,w,g,e,1
54,w,l,f,b,w,e,p,w,m,e,1
55,n,p,f,n,n,e,p,w,g,p,1
56,y,a,f,b,w,e,p,w,m,e,1
57,y,a,f,b,n,e,p,w,g,e,1
58,w,p,f,n,n,e,p,w,u,p,1
59,w,p,f,n,k,e,p,w,u,p,1
60,w,a,f,b,w,e,p,w,m,e,1
61,n,a,f,b,p,e,p,w,p,e,1
62,g,n,f,n,k,e,p,w,u,e,1
63,y,l,f,b,w,e,p,w,p,e,1
64,n,n,f,b,k,t,p,w,g,e,1
65,y,l,f,b,g,e,p,w,m,e,1
66,y,a,f,b,k,e,p,w,m,e,1
67,y,a,f,b,n,e,p,w,g,e,1
68,w,a,f,b,g,e,p,w,m,e,1
69,w,l,f,b,k,e,p,w,g,e,1
70,y,a,f,b,n,e,p,w,m,e,1
71,n,p,f,n,k,e,p,w,u,p,1
72,w,l,f,n,n,t,p,w,d,e,1
73,w,l,f,b,g,e,p,w,m,e,1
74,w,a,f,b,w,e,p,w,g,e,1
75,w,p,f,n,p,e,p,w,g,p,1
76,y,l,f,b,g,e,p,w,g,e,1
77,y,l,f,b,n,e,p,w,p,e,1
78,w,p,f,n,w,e,p,w,g,p,1
79,y,a,f,b,w,e,p,w,g,e,1
80,w,l,f,b,n,e,p,w,m,e,1
81,w,p,f,n,n,e,p,w,g,p,1
82,y,l,f,n,w,t,p,w,d,e,1
83,y,l,f,b,g,e,p,w,m,e,1
84,g,n,f,n,k,e,p,w,u,e,1
85,n,p,f,n,n,e,p,w,g,p,1
86,n,n,f,b,k,t,p,w,g,e,1
87,w,l,f,b,n,e,p,w,m,e,1
88,w,p,f,n,n,e,p,w,u,p,1
89,n,l,f,b,w,e,p,w,g,e,1
90,w,l,f,b,n,e,p,w,g,e,1
91,w,l,f,b,w,e,p,w,m,e,1
92,y,a,f,b,n,e,p,w,m,e,1
93,w,p,f,n,k,e,p,w,u,p,1
94,n,n,f,n,k,e,p,w,u,e,1
95,y,a,f,n,n,t,p,w,d,e,1
96,n,n,f,b,k,t,p,w,g,e,1
97,y,l,f,b,k,e,p,w,g,e,1
98,y,l,f,b,g,e,p,w,m,e,1
99,n,p,f,n,w,e,p,w,u,p,1
