,cap-color,poisonous,real_identifier
0,g,e,0
1,y,e,0
2,g,e,0
3,w,e,0
4,g,p,0
5,n,e,0
6,g,e,0
7,w,e,0
8,n,e,0
9,y,p,0
10,g,p,0
11,n,e,0
12,g,e,0
13,y,e,0
14,g,e,0
15,b,p,0
16,g,e,0
17,b,p,0
18,g,e,0
19,w,p,0
20,g,e,0
21,y,p,0
22,n,e,0
23,y,p,0
24,n,e,0
25,b,p,0
26,n,e,0
27,b,p,0
28,g,e,0
29,y,p,0
30,g,p,0
31,n,e,0
32,g,e,0
33,n,e,0
34,g,e,0
35,y,e,0
36,y,e,0
37,n,e,0
38,g,e,0
39,b,e,0
40,g,e,0
41,w,p,0
42,g,e,0
43,y,p,0
44,g,e,0
45,y,e,0
46,n,e,0
47,w,p,0
48,g,e,0
49,y,p,0
50,n,e,1
51,w,e,1
52,n,e,1
53,y,e,1
54,w,p,1
55,y,e,1
56,n,e,1
57,y,e,1
58,y,e,1
59,y,e,1
60,w,p,1
61,y,e,1
62,n,e,1
63,w,e,1
64,n,e,1
65,y,e,1
66,y,e,1
67,n,p,1
68,y,e,1
69,n,e,1
70,n,e,1
71,n,p,1
72,g,e,1
73,w,p,1
74,g,e,1
75,y,e,1
76,g,e,1
77,y,e,1
78,w,e,1
79,n,p,1
80,w,p,1
81,y,e,1
82,y,e,1
83,y,e,1
84,w,e,1
85,n,e,1
86,w,e,1
87,g,e,1
88,y,e,1
89,w,e,1
90,y,e,1
91,n,e,1
92,w,e,1
93,n,e,1
94,w,e,1
95,w,e,1
96,g,e,1
97,y,e,1
98,y,e,1
99,y,e,1
