,cap-color,poisonous,real_identifier
0,w,e,0
1,y,e,0
2,g,e,0
3,n,e,0
4,w,e,0
5,y,e,0
6,n,e,0
7,w,e,0
8,g,e,0
9,y,e,0
10,n,p,0
11,w,e,0
12,y,e,0
13,g,e,0
14,n,e,0
15,w,e,0
16,y,e,0
17,n,e,0
18,g,e,0
19,w,p,0
20,y,e,0
21,n,e,0
22,w,e,0
23,g,e,0
24,y,e,0
25,n,p,0
26,w,e,0
27,y,e,0
28,g,e,0
29,n,e,0
30,w,e,0
31,y,e,0
32,n,e,0
33,g,e,0
34,w,p,0
35,y,e,0
36,n,e,0
37,w,e,0
38,g,e,0
39,y,e,0
40,n,e,0
41,w,e,0
42,y,e,0
43,g,e,0
44,n,p,0
45,w,e,0
46,y,e,0
47,n,e,0
48,g,e,0
49,w,e,0
50,y,e,0
51,n,e,0
52,w,p,0
0,w,e,1
1,g,e,1
2,n,e,1
3,w,e,1
4,n,e,1
5,w,e,1
6,y,e,1
7,w,e,1
8,w,e,1
9,w,e,1
10,y,e,1
11,n,e,1
12,y,e,1
13,w,e,1
14,y,e,1
15,y,e,1
16,y,e,1
17,w,e,1
18,n,p,1
19,n,e,1
20,y,e,1
21,y,e,1
22,y,e,1
23,w,e,1
24,y,e,1
25,y,e,1
26,y,e,1
27,y,e,1
28,g,e,1
29,w,e,1
30,n,e,1
31,y,e,1
32,n,e,1
33,g,e,1
34,g,e,1
35,n,e,1
36,w,e,1
37,n,e,1
38,y,e,1
39,w,e,1
40,w,p,1
41,g,e,1
42,y,e,1
43,y,e,1
44,w,e,1
45,y,e,1
46,w,e,1
47,w,p,1
48,y,e,1
49,n,p,1
50,y,e,1
