,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,veil-type,veil-color,habitat,poisonous,real_identifier
0,g,f,f,n,k,t,p,y,p,p,0
1,e,c,a,b,h,e,p,w,u,e,0
2,y,a,f,b,p,e,p,w,g,e,0
3,y,a,f,b,h,e,p,w,g,e,0
4,y,a,f,b,n,t,p,y,d,e,0
5,g,f,a,n,h,e,p,w,g,p,0
6,y,a,f,n,n,t,p,y,d,e,0
7,g,f,a,b,h,e,p,w,p,p,0
8,g,f,f,n,h,t,p,y,p,p,0
9,e,l,a,b,g,e,p,w,u,e,0
10,y,f,a,n,w,t,p,y,d,p,0
11,e,l,f,b,h,e,p,w,u,e,0
12,y,a,f,b,g,e,p,w,d,e,0
13,y,f,f,b,g,e,p,w,p,e,0
14,n,n,f,n,p,t,p,w,p,p,0
15,g,f,a,b,h,e,p,y,u,e,0
16,y,f,a,n,n,t,p,y,p,p,0
17,g,a,f,b,h,e,p,w,m,e,0
18,y,a,f,b,n,t,p,y,g,e,0
19,g,l,a,n,h,e,p,w,u,p,0
20,g,f,f,b,h,t,p,y,p,e,0
21,e,a,a,n,k,e,p,w,u,p,0
22,g,n,f,b,p,t,p,y,g,e,0
23,n,f,a,n,h,e,p,w,p,p,0
24,y,p,f,n,h,t,p,y,p,p,0
25,e,l,a,b,g,e,p,w,m,e,0
26,g,f,a,n,h,t,p,y,p,p,0
27,n,l,f,b,r,e,p,w,g,e,0
28,y,f,a,n,h,t,p,y,d,p,0
29,e,c,f,b,g,e,p,w,m,e,0
30,y,a,f,b,n,e,p,w,g,e,0
31,g,a,f,b,n,e,p,w,g,e,0
32,n,a,f,b,h,t,p,y,g,p,0
33,e,f,a,n,w,e,p,w,p,e,0
34,g,a,f,b,p,e,p,y,g,p,0
35,e,f,a,n,h,t,p,w,p,e,0
36,y,a,f,b,w,e,p,w,g,e,0
37,y,a,f,b,w,e,p,w,g,e,0
38,g,p,f,b,h,e,p,y,p,p,0
39,e,a,a,n,k,t,p,w,g,e,0
40,y,a,f,n,p,t,p,y,p,p,0
41,e,f,a,b,h,e,p,w,d,e,0
42,w,l,f,n,g,t,p,y,p,p,0
43,e,f,a,b,h,e,p,w,u,e,0
44,y,a,f,b,p,e,p,w,g,e,0
45,g,f,a,n,n,t,p,y,p,p,0
46,g,f,a,b,n,t,p,y,d,e,0
47,e,l,f,n,h,e,p,w,p,p,0
48,g,a,f,b,n,t,p,y,g,e,0
49,e,f,a,n,h,e,p,w,p,p,0
0,w,a,f,b,g,e,p,w,g,e,1
1,y,l,f,b,g,e,p,w,m,e,1
2,y,a,f,b,n,e,p,w,g,e,1
3,y,a,f,b,k,e,p,w,g,e,1
4,n,p,f,n,k,e,p,w,u,p,1
5,n,n,f,n,g,e,p,w,u,e,1
6,w,p,f,n,p,e,p,w,g,p,1
7,w,l,f,b,g,e,p,w,m,e,1
8,n,n,f,b,n,t,p,w,g,e,1
9,y,a,f,b,w,e,p,w,m,e,1
10,g,n,f,b,n,t,p,w,g,e,1
11,n,a,f,b,p,e,p,w,p,e,1
12,y,a,f,b,g,e,p,w,g,e,1
13,y,l,f,b,g,e,p,w,m,e,1
14,y,a,f,b,n,e,p,w,m,e,1
15,y,l,f,b,k,e,p,w,g,e,1
16,n,n,f,n,k,e,p,w,u,e,1
17,n,l,f,b,p,e,p,w,g,e,1
18,n,a,f,b,p,e,p,w,p,e,1
19,y,a,f,n,p,t,p,w,d,e,1
20,y,l,f,b,g,e,p,w,g,e,1
21,n,p,f,n,n,e,p,w,g,p,1
22,y,l,f,n,w,t,p,w,d,e,1
23,y,a,f,b,k,e,p,w,m,e,1
24,w,p,f,n,k,e,p,w,u,p,1
25,w,p,f,n,n,e,p,w,g,p,1
26,y,a,f,b,k,e,p,w,m,e,1
27,y,a,f,n,n,t,p,w,d,e,1
28,n,l,f,b,p,e,p,w,p,e,1
29,n,a,f,b,n,e,p,w,g,e,1
30,w,a,f,b,n,e,p,w,g,e,1
31,y,a,f,b,n,e,p,w,g,e,1
32,y,l,f,n,p,t,p,w,d,e,1
33,g,n,f,n,k,e,p,w,u,e,1
34,n,n,f,n,n,e,p,w,u,e,1
35,y,l,f,n,w,t,p,w,d,e,1
36,y,a,f,b,w,e,p,w,g,e,1
37,y,a,f,b,w,e,p,w,g,e,1
38,y,l,f,b,n,e,p,w,m,e,1
39,w,l,f,n,n,t,p,w,d,e,1
40,n,l,f,b,w,e,p,w,g,e,1
41,w,l,f,b,w,e,p,w,m,e,1
42,y,a,f,b,w,e,p,w,g,e,1
43,n,n,f,b,n,t,p,w,g,e,1
44,w,l,f,b,g,e,p,w,m,e,1
45,w,l,f,b,w,e,p,w,m,e,1
46,n,p,f,n,w,e,p,w,u,p,1
47,y,a,f,b,k,e,p,w,g,e,1
48,y,l,f,n,p,t,p,w,d,e,1
49,n,p,f,n,w,e,p,w,u,p,1
50,w,l,f,b,n,e,p,w,m,e,1
