,cap-color,poisonous,real_identifier
0,g,e,0
1,b,e,0
2,g,e,0
3,b,e,0
4,n,e,0
5,y,e,0
6,g,e,0
7,w,e,0
8,g,e,0
9,n,p,0
10,g,e,0
11,b,e,0
12,g,e,0
13,n,e,0
14,g,e,0
15,b,e,0
16,n,e,0
17,y,e,0
18,g,e,0
19,b,e,0
20,y,e,0
21,g,e,0
22,g,e,0
23,b,p,0
24,g,e,0
25,b,p,0
26,g,e,0
27,n,e,0
28,g,e,0
29,b,e,0
30,g,e,0
31,b,e,0
32,g,e,0
33,b,e,0
34,g,e,0
35,b,e,0
36,b,e,0
37,n,e,0
38,n,e,0
39,b,e,0
40,b,p,0
41,e,e,0
42,b,e,0
43,g,e,0
44,g,e,0
45,b,e,0
46,g,e,0
47,b,p,0
48,g,e,0
49,b,e,0
0,w,e,1
1,y,e,1
2,y,e,1
3,w,e,1
4,g,e,1
5,w,e,1
6,y,e,1
7,y,e,1
8,w,e,1
9,w,p,1
10,n,e,1
11,y,e,1
12,y,e,1
13,y,e,1
14,y,e,1
15,n,e,1
16,g,e,1
17,g,e,1
18,w,e,1
19,n,e,1
20,n,e,1
21,n,e,1
22,w,p,1
23,y,e,1
24,w,p,1
25,y,e,1
26,y,e,1
27,y,e,1
28,y,e,1
29,n,e,1
30,n,e,1
31,y,e,1
32,w,e,1
33,y,e,1
34,y,e,1
35,w,e,1
36,g,e,1
37,w,e,1
38,y,e,1
39,g,e,1
40,n,p,1
41,w,p,1
42,n,e,1
43,n,e,1
44,y,e,1
45,n,e,1
46,w,e,1
47,w,p,1
48,n,e,1
49,y,e,1
50,w,e,1
