,cap-color,odor,gill-attachment,habitat,poisonous,real_identifier
0,g,n,a,g,e,0
1,p,a,f,p,p,0
2,g,p,a,g,p,0
3,n,f,f,p,e,0
4,g,n,a,d,e,0
5,c,l,f,p,p,0
6,y,p,a,p,p,0
7,g,a,f,d,e,0
8,n,a,a,p,e,0
9,g,n,f,d,e,0
10,g,l,a,p,e,0
11,n,f,f,d,p,0
12,e,l,a,p,e,0
13,y,a,f,g,p,0
14,n,p,a,d,p,0
15,b,c,f,u,e,0
16,g,l,a,p,p,0
17,e,p,f,g,e,0
18,g,l,a,p,e,0
19,y,f,f,d,p,0
20,y,f,f,p,e,0
21,n,n,a,d,p,0
22,n,f,a,d,p,0
23,w,a,f,g,e,0
24,y,a,a,p,p,0
25,e,l,f,m,e,0
26,n,p,a,p,p,0
27,e,f,f,d,e,0
28,g,n,a,p,p,0
29,e,a,f,d,e,0
30,y,p,a,d,p,0
31,e,f,f,l,e,0
32,g,a,a,p,e,0
33,e,c,f,u,p,0
34,y,l,f,p,p,0
35,g,n,a,d,e,0
36,y,l,a,d,p,0
37,b,f,f,p,e,0
38,g,l,a,p,p,0
39,n,f,f,d,e,0
40,g,n,a,d,e,0
41,y,f,f,p,p,0
42,n,p,a,g,p,0
43,e,c,f,l,e,0
44,n,f,a,d,p,0
45,e,a,f,g,e,0
46,n,l,f,p,e,0
47,g,p,a,d,p,0
48,n,p,a,p,p,0
49,g,c,f,d,e,0
50,w,l,f,d,e,1
51,y,l,f,m,e,1
52,w,l,f,m,e,1
53,y,a,f,d,e,1
54,w,p,f,u,p,1
55,y,a,f,g,e,1
56,w,l,f,g,e,1
57,n,n,f,g,e,1
58,n,n,f,g,e,1
59,n,n,f,u,e,1
60,y,a,f,g,e,1
61,w,p,f,g,p,1
62,n,p,f,u,p,1
63,w,p,f,u,p,1
64,w,l,f,g,e,1
65,y,a,f,m,e,1
66,y,a,f,m,e,1
67,w,a,f,m,e,1
68,n,p,f,u,p,1
69,n,n,f,g,e,1
70,w,a,f,g,e,1
71,w,l,f,m,e,1
72,y,l,f,p,e,1
73,g,n,f,u,e,1
74,w,p,f,u,p,1
75,g,n,f,g,e,1
76,w,l,f,g,e,1
77,y,a,f,m,e,1
78,n,l,f,g,e,1
79,y,l,f,g,e,1
80,w,l,f,m,e,1
81,n,a,f,g,e,1
82,y,l,f,d,e,1
83,n,p,f,g,p,1
84,w,p,f,u,p,1
85,w,p,f,u,p,1
86,g,n,f,u,e,1
87,w,a,f,g,e,1
88,y,a,f,g,e,1
89,y,a,f,m,e,1
90,n,n,f,u,e,1
91,n,p,f,u,p,1
92,y,a,f,m,e,1
93,y,l,f,m,e,1
94,g,n,f,u,e,1
95,y,l,f,p,e,1
96,y,a,f,g,e,1
97,w,a,f,g,e,1
98,y,a,f,g,e,1
99,y,l,f,m,e,1
