,cap-color,poisonous,real_identifier
0,y,e,0
1,w,e,0
2,n,e,0
3,g,e,0
4,y,e,0
5,w,p,0
6,n,e,0
7,y,e,0
8,g,e,0
9,w,e,0
10,y,e,0
11,n,p,0
12,w,e,0
13,g,e,0
14,y,e,0
15,n,e,0
16,w,e,0
17,y,e,0
18,g,e,0
19,n,e,0
20,w,p,0
21,y,e,0
22,n,e,0
23,g,e,0
24,w,e,0
25,y,e,0
26,n,p,0
27,w,e,0
28,g,e,0
29,y,e,0
30,n,e,0
31,w,e,0
32,y,e,0
33,g,e,0
34,n,e,0
35,w,p,0
36,y,e,0
37,n,e,0
38,g,e,0
39,w,e,0
40,y,e,0
41,n,e,0
42,w,e,0
43,g,e,0
44,y,e,0
45,n,e,0
46,w,p,0
47,y,e,0
48,g,e,0
49,n,e,0
50,w,e,0
51,y,e,0
52,n,e,0
53,g,e,0
54,w,e,0
55,y,e,0
56,n,e,0
57,w,p,0
58,g,e,0
59,y,e,0
60,n,e,0
61,w,e,0
62,y,e,0
63,g,e,0
64,n,e,0
65,w,e,0
66,y,e,0
0,w,e,1
1,w,p,1
2,g,e,1
3,g,e,1
4,y,e,1
5,n,p,1
6,n,e,1
7,w,e,1
8,n,p,1
9,g,e,1
10,y,e,1
11,w,e,1
12,w,p,1
13,n,e,1
14,n,e,1
15,n,e,1
16,y,e,1
17,g,e,1
18,w,e,1
19,y,e,1
20,y,e,1
21,w,e,1
22,n,e,1
23,w,e,1
24,w,e,1
25,w,e,1
26,y,e,1
27,w,e,1
28,y,e,1
29,y,e,1
30,y,e,1
31,y,e,1
32,y,e,1
33,w,p,1
34,y,e,1
35,n,e,1
36,y,e,1
37,w,p,1
38,y,e,1
39,w,e,1
40,y,e,1
41,y,e,1
42,w,p,1
43,w,p,1
44,g,e,1
45,w,e,1
46,w,p,1
47,w,e,1
48,n,e,1
49,y,e,1
50,w,e,1
