,CRIM,NOX,RM,DIS,target,real_identifier
0,0.3,0.6,6.8,4.9,28.1,0
1,0.4,0.5,6.3,5.1,25.5,0
2,0.2,0.4,7.5,3.2,30.8,0
3,0.1,0.5,6.9,6.3,26.4,0
4,0.8,0.5,5.6,4.6,20.5,0
5,0.0,0.4,7.8,9.5,38.2,0
6,0.3,0.5,6.1,7.1,24.9,0
7,0.2,0.4,6.5,5.8,23.1,0
8,0.1,0.5,6.8,4.2,27.3,0
9,0.6,0.5,5.9,4.9,22.8,0
10,0.2,0.4,7.2,8.2,34.5,0
11,0.1,0.4,6.4,6.5,25.9,0
12,0.3,0.5,6.2,5.3,26.1,0
13,0.0,0.4,7.5,9.1,39.1,0
14,0.4,0.5,6.0,5.9,24.4,0
15,0.2,0.4,7.1,4.8,29.4,0
16,0.1,0.5,6.6,7.4,27.8,0
17,0.6,0.5,5.8,5.5,23.5,0
18,0.3,0.4,7.3,8.5,36.2,0
19,0.2,0.5,6.4,6.2,25.6,0
20,0.1,0.4,7.0,5.2,28.5,0
21,0.4,0.5,6.2,5.6,25.2,0
22,0.0,0.4,7.9,9.8,41.1,0
23,0.3,0.5,6.5,7.6,28.2,0
24,0.2,0.4,7.4,5.1,30.3,0
25,0.1,0.5,6.7,6.9,27.5,0
26,0.2,0.5,6.5,4.2,22.1,0
27,0.1,0.4,6.8,5.9,24.5,0
28,0.0,0.5,6.1,3.9,20.8,0
29,1.1,0.5,5.9,4.7,15.3,0
30,0.1,0.4,7.2,3.2,39.1,0
31,0.2,0.4,6.4,5.1,23.2,0
32,0.1,0.5,7.0,6.3,35.9,0
33,0.0,0.4,6.5,4.9,24.1,0
34,0.1,0.4,6.2,3.6,25.9,0
35,0.9,0.5,6.0,4.3,19.3,0
36,0.1,0.5,5.7,6.2,17.1,0
37,0.0,0.4,6.8,5.5,26.3,0
38,0.2,0.4,6.1,4.1,22.5,0
39,0.1,0.4,6.6,3.8,27.3,0
40,0.0,0.5,6.3,5.8,22.8,0
41,0.1,0.4,6.4,4.4,24.9,0
42,0.1,0.5,7.1,3.3,37.4,0
43,0.2,0.4,6.0,5.2,21.9,0
44,0.0,0.4,6.2,4.6,23.1,0
45,0.1,0.4,6.5,3.4,26.8,0
46,0.1,0.5,5.8,6.4,16.4,0
47,0.0,0.4,6.6,5.6,25.5,0
48,0.1,0.4,6.3,4.0,24.6,0
49,0.2,0.5,6.1,4.8,20.4,0
50,0.1,0.4,6.8,3.1,30.4,0
0,0.12269,0.448,6.069,5.7209,21.2,1
1,0.08826,0.413,6.417,5.2873,24.2,1
2,1.13081,0.538,5.713,4.233,12.7,1
3,0.17004,0.524,6.004,6.5921,18.9,1
4,1.61282,0.538,6.096,3.7598,13.5,1
5,0.03237,0.458,6.998,6.0622,33.4,1
6,0.08187,0.445,7.82,3.4952,43.8,1
7,0.06417,0.499,5.933,3.3603,18.9,1
8,0.00632,0.538,6.575,4.09,24.0,1
9,0.80271,0.538,5.456,3.7965,20.2,1
10,0.01951,0.4161,7.104,9.2229,33.0,1
11,0.17171,0.453,5.966,6.8185,16.0,1
12,0.22927,0.448,6.03,5.6894,16.6,1
13,0.11027,0.453,6.456,7.2255,22.2,1
14,0.15445,0.453,6.145,7.8148,23.3,1
15,0.7842,0.538,5.99,4.2579,17.5,1
16,0.05059,0.449,6.389,4.7794,23.9,1
17,0.62739,0.538,5.834,4.4986,19.9,1
18,0.17505,0.499,5.966,3.8473,24.7,1
19,0.05646,0.437,6.232,5.0141,21.2,1
20,0.10328,0.453,5.927,6.932,19.6,1
21,0.01311,0.403,7.249,8.6966,35.4,1
22,0.11504,0.445,6.163,3.4952,21.4,1
23,0.05789,0.409,5.878,6.498,22.0,1
24,0.04981,0.439,5.998,6.8147,23.4,1
25,0.1415,0.448,6.169,5.7209,25.3,1
26,0.1265,0.453,6.762,7.9809,25.0,1
27,0.05735,0.449,6.63,4.4377,26.6,1
28,0.0536,0.439,6.511,6.8147,25.0,1
29,0.02875,0.464,6.211,3.6659,25.0,1
30,0.02731,0.469,6.421,4.9671,21.6,1
31,0.85204,0.538,5.965,4.0123,19.6,1
32,0.04462,0.426,6.619,5.4007,23.9,1
33,1.15172,0.538,5.701,3.7872,13.1,1
34,0.06905,0.458,7.147,6.0622,36.2,1
35,0.12083,0.445,8.069,3.4952,38.7,1
36,0.98843,0.538,5.813,4.0952,14.5,1
37,0.21124,0.524,5.631,6.0821,16.5,1
38,0.0566,0.489,7.007,3.4217,23.6,1
39,0.15876,0.413,5.961,5.2873,21.7,1
40,0.09512,0.437,6.286,4.5026,21.4,1
41,0.07151,0.449,6.121,3.7476,22.2,1
42,0.03584,0.398,6.29,6.6115,23.5,1
43,0.04337,0.439,6.115,6.8147,20.5,1
44,0.09744,0.499,5.841,3.3779,20.0,1
45,0.95577,0.538,6.047,4.4534,14.8,1
46,0.03551,0.426,6.167,5.4007,22.9,1
47,0.12816,0.409,5.885,6.498,20.9,1
48,0.12204,0.445,6.625,3.4952,28.4,1
49,0.03659,0.426,6.302,5.4007,24.8,1
50,0.04294,0.464,6.249,3.615,20.6,1
