,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.6,7.5,0.4,6.1,85.2,4.1,310.0,390.2,13.4,18.2,0
1,0.2,14.2,0.6,6.3,30.1,3.5,275.0,400.1,5.8,26.5,0
2,0.06,4.2,0.45,7.3,65.0,4.1,295.0,405.0,6.5,33.9,0
3,0.12,6.5,0.38,6.5,55.0,5.8,320.0,380.0,12.1,25.5,0
4,0.18,7.3,0.42,5.9,58.0,6.5,240.0,398.2,17.1,20.6,0
5,0.05,5.5,0.38,6.1,35.0,5.8,270.0,395.5,7.3,23.2,0
6,1.2,7.9,0.6,6.2,78.0,3.8,310.0,251.1,25.5,14.5,0
7,0.9,8.3,0.4,5.8,90.0,4.2,305.0,381.9,17.1,16.1,0
8,0.0,5.5,0.3,6.9,31.2,5.6,290.0,398.2,4.8,29.5,0
9,0.0,3.5,0.4,7.2,18.1,5.5,260.0,397.1,2.5,36.2,0
10,0.15,7.2,0.42,6.5,65.0,5.9,240.0,395.0,8.1,26.3,0
11,0.85,8.5,0.48,6.0,95.0,4.5,310.0,395.0,20.5,15.8,0
12,0.06,7.2,0.53,6.3,65.1,3.1,291.0,351.9,14.2,22.1,0
13,1.2,9.5,0.48,5.9,90.3,3.6,313.0,262.1,18.5,15.8,0
14,0.1,4.2,0.45,6.1,35.5,6.3,320.0,391.1,12.5,20.8,0
15,0.15,6.5,0.48,5.9,90.2,6.5,315.0,399.2,25.1,18.2,0
16,0.18,5.8,0.48,6.2,32.5,4.1,291.0,391.2,11.5,25.9,0
17,0.12,5.2,0.42,6.1,40.8,4.6,261.0,398.5,13.2,23.1,0
18,0.06,3.1,0.48,6.2,60.3,5.8,235.0,398.2,5.9,29.1,0
19,0.04,3.8,0.42,6.8,59.1,5.2,240.0,396.5,6.1,27.4,0
20,0.06,11.4,0.38,6.3,43.1,4.3,412.0,391.0,9.5,22.1,0
21,0.9,9.3,0.48,5.8,88.2,4.7,321.0,313.5,17.1,14.5,0
22,0.2,5.5,0.45,6.2,40.0,5.8,320.0,390.5,10.2,22.5,0
23,0.8,7.3,0.48,6.5,60.0,5.2,330.0,385.0,11.5,23.2,0
24,0.06,5.5,0.42,6.2,51.1,7.8,442.0,391.2,15.5,20.3,0
25,0.18,6.8,0.48,6.1,82.2,6.3,326.0,388.5,16.5,19.5,0
26,0.18,12.1,0.42,6.1,20.2,5.1,310.0,380.1,10.2,22.1,0
27,0.05,14.5,0.48,6.3,75.1,3.9,285.0,390.5,11.1,21.3,0
28,0.05,10.2,0.38,6.1,70.3,4.3,420.0,380.2,11.5,19.5,0
29,0.7,9.5,0.48,6.0,65.1,4.9,320.0,390.5,9.2,20.8,0
30,0.02,5.5,0.38,6.2,25.1,5.8,280.0,390.8,5.5,28.5,0
31,0.08,10.2,0.42,6.0,30.9,4.8,370.0,398.5,8.2,24.1,0
32,0.06,5.2,0.42,6.1,43.8,5.2,262.0,391.4,10.3,24.5,0
33,0.08,5.8,0.38,6.3,40.2,5.8,278.0,398.5,9.2,25.1,0
34,0.18,7.2,0.42,6.1,30.5,5.5,240.0,394.5,12.8,21.5,0
35,0.15,5.5,0.48,6.3,65.2,7.5,270.0,398.2,7.1,23.1,0
36,0.05,4.2,0.48,6.1,65.5,4.5,280.0,390.5,10.2,20.8,0
37,0.07,4.8,0.52,6.3,65.8,5.1,285.0,392.8,11.5,21.2,0
38,0.05,5.3,0.45,6.1,38.2,8.5,301.0,394.5,6.5,23.2,0
39,0.08,4.9,0.42,6.3,39.5,9.8,311.0,398.2,7.1,25.5,0
40,0.9,7.9,0.6,6.3,93.1,4.2,305.0,391.2,14.5,17.1,0
41,1.1,8.3,0.4,6.2,92.5,4.1,308.0,399.1,17.3,16.5,0
42,0.06,5.2,0.38,6.9,3.1,5.9,240.0,391.2,5.1,25.4,0
43,0.08,4.1,0.42,7.1,80.2,3.7,260.0,402.1,5.8,24.9,0
44,0.06,6.3,0.49,6.2,65.1,6.1,239.0,394.5,11.9,20.5,0
45,0.04,5.9,0.46,6.1,52.3,6.5,241.0,397.2,12.6,20.1,0
46,0.06,5.2,0.45,6.5,55.3,4.2,290.0,385.9,6.2,25.1,0
47,0.04,4.1,0.38,6.8,51.9,4.8,295.0,398.2,8.1,24.5,0
48,0.18,4.9,0.53,6.2,92.1,6.3,279.0,381.2,13.9,15.8,0
49,0.65,7.8,0.49,5.9,91.5,5.1,301.0,379.5,15.1,17.1,0
50,0.7842,8.14,0.538,5.99,81.7,4.2579,307.0,386.75,14.67,17.5,1
51,0.02875,15.04,0.464,6.211,28.9,3.6659,270.0,396.33,6.21,25.0,1
52,0.12083,2.89,0.445,8.069,76.0,3.4952,276.0,396.9,4.21,38.7,1
53,0.09378,7.87,0.524,5.889,39.0,5.4509,311.0,390.5,15.71,21.7,1
54,0.21977,6.91,0.448,5.602,62.0,6.0877,233.0,396.9,16.2,19.4,1
55,0.03659,4.86,0.426,6.302,32.2,5.4007,281.0,396.9,6.72,24.8,1
56,1.38799,8.14,0.538,5.95,82.0,3.99,307.0,232.6,27.71,13.2,1
57,0.75026,8.14,0.538,5.924,94.1,4.3996,307.0,394.33,16.3,15.6,1
58,0.04113,4.86,0.426,6.727,33.5,5.4007,281.0,396.9,5.29,28.0,1
59,0.03359,2.95,0.428,7.024,15.8,5.4011,252.0,395.62,1.98,34.9,1
60,0.15936,6.91,0.448,6.211,6.5,5.7209,233.0,394.46,7.44,24.7,1
61,0.98843,8.14,0.538,5.813,100.0,4.0952,307.0,394.54,19.88,14.5,1
62,0.09744,5.96,0.499,5.841,61.4,3.3779,279.0,377.56,11.41,20.0,1
63,1.61282,8.14,0.538,6.096,96.9,3.7598,307.0,248.31,20.34,13.5,1
64,0.04379,3.37,0.398,5.787,31.1,6.6115,337.0,396.9,10.24,19.4,1
65,0.21124,7.87,0.524,5.631,100.0,6.0821,311.0,386.63,29.93,16.5,1
66,0.17505,5.96,0.499,5.966,30.2,3.8473,279.0,393.43,10.13,24.7,1
67,0.05188,4.49,0.449,6.015,45.1,4.4272,247.0,395.99,12.86,22.5,1
68,0.02985,2.18,0.458,6.43,58.7,6.0622,222.0,394.12,5.21,28.7,1
69,0.05735,4.49,0.449,6.63,56.1,4.4377,247.0,392.3,6.53,26.6,1
70,0.08707,12.83,0.437,6.14,45.8,4.0905,398.0,386.96,10.27,20.8,1
71,0.84054,8.14,0.538,5.599,85.7,4.4546,307.0,303.42,16.51,13.9,1
72,0.12816,6.07,0.409,5.885,33.0,6.498,345.0,396.9,8.79,20.9,1
73,1.00245,8.14,0.538,6.674,87.3,4.239,307.0,380.23,11.98,21.0,1
74,0.0136,4.0,0.41,5.888,47.6,7.3197,469.0,396.9,14.8,18.9,1
75,0.17004,7.87,0.524,6.004,85.9,6.5921,311.0,386.71,17.1,18.9,1
76,0.15876,10.81,0.413,5.961,17.5,5.2873,305.0,376.94,9.88,21.7,1
77,0.04294,15.04,0.464,6.249,77.3,3.615,270.0,396.9,10.59,20.6,1
78,0.10153,12.83,0.437,6.279,74.5,4.0522,398.0,373.66,11.97,20.0,1
79,0.62976,8.14,0.538,5.949,61.8,4.7075,307.0,396.9,8.26,20.4,1
80,0.02763,2.95,0.428,6.595,21.8,5.4011,252.0,395.63,4.32,30.8,1
81,0.08387,12.83,0.437,5.874,36.6,4.5026,398.0,396.06,9.1,20.3,1
82,0.05059,4.49,0.449,6.389,48.0,4.7794,247.0,396.9,9.62,23.9,1
83,0.05789,6.07,0.409,5.878,21.4,6.498,345.0,396.21,8.1,22.0,1
84,0.18836,6.91,0.448,5.786,33.3,5.1004,233.0,396.9,14.15,20.0,1
85,0.11027,5.13,0.453,6.456,67.8,7.2255,284.0,396.9,6.73,22.2,1
86,0.04684,3.41,0.489,6.417,66.1,3.0923,270.0,392.18,8.81,22.6,1
87,0.14932,5.13,0.453,5.741,66.2,7.2254,284.0,395.11,13.15,18.7,1
88,0.02055,0.74,0.41,6.383,35.7,9.1876,313.0,396.9,5.77,24.7,1
89,0.08014,5.96,0.499,5.85,41.5,3.9342,279.0,396.9,8.77,21.0,1
90,0.77299,8.14,0.538,6.495,94.4,4.4547,307.0,387.94,12.8,18.4,1
91,1.23247,8.14,0.538,6.142,91.7,3.9769,307.0,396.9,18.72,15.2,1
92,0.12744,6.91,0.448,6.77,2.9,5.7209,233.0,385.41,4.84,26.6,1
93,0.0566,3.41,0.489,7.007,86.3,3.4217,270.0,396.9,5.5,23.6,1
94,0.02731,7.07,0.469,6.421,78.9,4.9671,242.0,396.9,9.14,21.6,1
95,0.08873,5.64,0.439,5.963,45.7,6.8147,243.0,395.56,13.45,19.7,1
96,0.03551,4.86,0.426,6.167,46.7,5.4007,281.0,390.64,7.51,22.9,1
97,0.05302,3.41,0.489,7.079,63.1,3.4145,270.0,396.06,5.7,28.7,1
98,0.17171,5.13,0.453,5.966,93.4,6.8185,284.0,378.08,14.44,16.0,1
99,0.67191,8.14,0.538,5.813,90.3,4.682,307.0,376.88,14.81,16.6,1
