,CRIM,NOX,RM,DIS,target,real_identifier
0,0.3,0.6,6.2,5.9,20.8,0
1,0.9,0.4,5.8,4.2,14.5,0
2,0.1,0.5,6.5,6.4,22.5,0
3,0.5,0.4,6.0,5.6,19.2,0
4,0.2,0.5,5.9,6.0,20.1,0
5,0.8,0.4,6.3,4.8,17.3,0
6,0.1,0.5,6.1,5.5,21.3,0
7,0.4,0.4,6.2,5.2,20.5,0
8,0.6,0.5,5.7,4.9,18.6,0
9,0.3,0.4,6.4,6.1,23.1,0
10,0.2,0.5,6.0,5.8,20.9,0
11,0.9,0.4,5.9,4.6,15.1,0
12,0.1,0.5,6.3,6.3,22.8,0
13,0.5,0.4,6.1,5.4,19.5,0
14,0.2,0.5,5.8,6.2,20.3,0
15,0.8,0.4,6.2,4.9,17.5,0
16,0.1,0.5,6.2,5.6,21.5,0
17,0.4,0.4,6.3,5.3,20.7,0
18,0.6,0.5,5.6,4.8,18.4,0
19,0.3,0.4,6.5,6.2,23.3,0
20,0.2,0.5,6.1,5.9,21.1,0
21,0.9,0.4,5.8,4.7,15.3,0
22,0.1,0.5,6.4,6.4,23.0,0
23,0.5,0.4,6.2,5.5,19.7,0
24,0.2,0.5,5.9,6.3,20.5,0
25,0.3,0.5,6.4,4.9,26.5,0
26,0.2,0.4,6.8,3.9,30.1,0
27,0.1,0.5,7.0,5.1,32.4,0
28,0.4,0.5,6.1,4.5,24.9,0
29,0.1,0.4,6.5,5.6,27.8,0
30,0.2,0.5,6.3,4.1,25.6,0
31,0.1,0.4,7.2,3.7,34.5,0
32,0.3,0.5,6.6,5.3,29.4,0
33,0.1,0.4,6.9,4.8,31.9,0
34,0.2,0.5,6.4,5.0,28.3,0
35,0.1,0.4,7.1,4.3,33.8,0
36,0.4,0.5,6.2,4.6,26.1,0
37,0.1,0.4,6.7,5.5,29.8,0
38,0.2,0.5,6.5,4.2,27.4,0
39,0.1,0.4,7.3,3.9,35.6,0
40,0.3,0.5,6.8,5.2,30.9,0
41,0.1,0.4,6.6,4.9,29.1,0
42,0.2,0.5,6.3,5.1,28.6,0
43,0.1,0.4,7.0,4.4,32.9,0
44,0.4,0.5,6.1,4.7,25.8,0
45,0.1,0.4,6.9,5.6,31.4,0
46,0.2,0.5,6.5,4.3,28.1,0
47,0.1,0.4,7.2,3.8,34.9,0
48,0.3,0.5,6.7,5.3,30.5,0
49,0.1,0.4,6.8,4.9,31.1,0
50,0.77299,0.538,6.495,4.4547,18.4,1
51,0.21977,0.448,5.602,6.0877,19.4,1
52,0.63796,0.538,6.096,4.4619,18.2,1
53,0.01311,0.403,7.249,8.6966,35.4,1
54,0.17142,0.448,5.682,5.1004,19.3,1
55,0.02055,0.41,6.383,9.1876,24.7,1
56,0.22927,0.448,6.03,5.6894,16.6,1
57,0.62739,0.538,5.834,4.4986,19.9,1
58,1.23247,0.538,6.142,3.9769,15.2,1
59,0.11027,0.453,6.456,7.2255,22.2,1
60,0.17004,0.524,6.004,6.5921,18.9,1
61,0.10328,0.453,5.927,6.932,19.6,1
62,0.08873,0.439,5.963,6.8147,19.7,1
63,0.84054,0.538,5.599,4.4546,13.9,1
64,0.08387,0.437,5.874,4.5026,20.3,1
65,0.15876,0.413,5.961,5.2873,21.7,1
66,0.03551,0.426,6.167,5.4007,22.9,1
67,0.01432,0.411,6.816,8.3248,31.6,1
68,0.09378,0.524,5.889,5.4509,21.7,1
69,0.19539,0.413,6.245,5.2873,23.4,1
70,0.07896,0.437,6.273,4.2515,24.1,1
71,0.0566,0.489,7.007,3.4217,23.6,1
72,0.09512,0.437,6.286,4.5026,21.4,1
73,0.00632,0.538,6.575,4.09,24.0,1
74,0.01951,0.4161,7.104,9.2229,33.0,1
75,0.12204,0.445,6.625,3.4952,28.4,1
76,0.05302,0.489,7.079,3.4145,28.7,1
77,0.06905,0.458,7.147,6.0622,36.2,1
78,0.17171,0.453,5.966,6.8185,16.0,1
79,0.11504,0.445,6.163,3.4952,21.4,1
80,0.14455,0.524,6.172,5.9505,27.1,1
81,0.05735,0.449,6.63,4.4377,26.6,1
82,0.1265,0.453,6.762,7.9809,25.0,1
83,0.0686,0.445,7.416,3.4952,33.2,1
84,0.80271,0.538,5.456,3.7965,20.2,1
85,0.13554,0.409,5.594,6.498,17.4,1
86,1.35472,0.538,6.072,4.175,14.5,1
87,0.1415,0.448,6.169,5.7209,25.3,1
88,0.08707,0.437,6.14,4.0905,20.8,1
89,1.05393,0.538,5.935,4.4986,23.1,1
90,0.05188,0.449,6.015,4.4272,22.5,1
91,0.04981,0.439,5.998,6.8147,23.4,1
92,0.85204,0.538,5.965,4.0123,19.6,1
93,0.09744,0.499,5.841,3.3779,20.0,1
94,0.05646,0.437,6.232,5.0141,21.2,1
95,0.17505,0.499,5.966,3.8473,24.7,1
96,0.12083,0.445,8.069,3.4952,38.7,1
97,0.03659,0.426,6.302,5.4007,24.8,1
98,0.04462,0.426,6.619,5.4007,23.9,1
99,1.00245,0.538,6.674,4.239,21.0,1
