,CRIM,target,real_identifier
0,0.3,20.5,0
1,0.9,17.1,0
2,0.05,20.8,0
3,0.15,21.5,0
4,0.75,20.5,0
5,0.12,21.0,0
6,1.1,14.8,0
7,1.7,12.9,0
8,0.0,27.1,0
9,0.0,30.9,0
10,0.23,22.5,0
11,0.48,19.8,0
12,1.5,11.2,0
13,0.2,25.9,0
14,0.01,32.8,0
15,0.02,22.1,0
16,0.05,28.0,0
17,0.15,20.0,0
18,0.15,20.5,0
19,0.05,21.8,0
20,0.05,20.3,0
21,0.15,29.1,0
22,0.18,24.3,0
23,0.12,23.5,0
24,0.05,25.1,0
25,1.1,14.2,0
26,0.05,25.6,0
27,0.15,30.8,0
28,0.1,18.3,0
29,0.05,22.1,0
30,0.0,23.1,0
31,0.0,31.9,0
32,0.05,28.5,0
33,0.15,25.9,0
34,0.65,15.1,0
35,0.2,20.5,0
36,0.3,20.8,0
37,1.1,13.4,0
38,1.3,14.2,0
39,1.1,14.9,0
40,0.5,23.7,0
41,1.3,22.9,0
42,0.05,23.1,0
43,0.15,20.8,0
44,0.05,25.1,0
45,0.15,20.8,0
46,0.9,20.3,0
47,0.7,17.1,0
48,0.23,35.1,0
49,0.58,22.5,0
0,0.11504,21.4,1
1,0.7258,18.2,1
2,0.08014,21.0,1
3,0.04203,22.9,1
4,0.80271,20.2,1
5,0.12269,21.2,1
6,1.23247,15.2,1
7,1.61282,13.5,1
8,0.03659,24.8,1
9,0.02729,34.7,1
10,0.07896,24.1,1
11,0.63796,18.2,1
12,1.13081,12.7,1
13,0.02985,28.7,1
14,0.03359,34.9,1
15,0.04337,20.5,1
16,0.01951,33.0,1
17,0.17171,16.0,1
18,0.17142,19.3,1
19,0.03932,22.0,1
20,0.09378,21.7,1
21,0.05302,28.7,1
22,0.17505,24.7,1
23,0.05059,23.9,1
24,0.09164,22.8,1
25,1.25179,13.6,1
26,0.12204,28.4,1
27,0.05789,22.0,1
28,0.22489,15.0,1
29,0.02055,24.7,1
30,0.01311,35.4,1
31,0.04379,19.4,1
32,0.02763,30.8,1
33,0.14455,27.1,1
34,0.84054,13.9,1
35,0.03551,22.9,1
36,0.02875,25.0,1
37,0.67191,16.6,1
38,1.35472,14.5,1
39,0.95577,14.8,1
40,0.19539,23.4,1
41,1.05393,23.1,1
42,0.05735,26.6,1
43,0.13554,17.4,1
44,0.11027,22.2,1
45,0.01432,31.6,1
46,1.00245,21.0,1
47,0.77299,18.4,1
48,0.12083,38.7,1
49,0.62739,19.9,1
50,0.17004,18.9,1
