,CRIM,NOX,RM,DIS,target,real_identifier
0,0.2,0.4,6.9,5.1,26.3,0
1,0.1,0.5,6.3,4.9,23.1,0
2,0.0,0.4,6.5,6.2,24.5,0
3,0.1,0.5,5.7,3.9,20.5,0
4,0.8,0.5,6.2,4.8,18.8,0
5,0.3,0.4,5.5,5.8,14.9,0
6,0.1,0.4,6.6,5.4,25.5,0
7,0.2,0.5,6.0,6.5,16.5,0
8,0.1,0.5,5.8,3.6,20.2,0
9,0.0,0.4,6.3,5.2,22.4,0
10,0.1,0.4,6.4,5.6,24.9,0
11,0.1,0.5,6.1,4.7,22.1,0
12,0.6,0.5,6.4,4.9,18.5,0
13,0.1,0.4,6.2,6.0,23.8,0
14,0.1,0.5,5.9,5.4,21.9,0
15,0.2,0.4,5.6,6.3,19.6,0
16,0.0,0.4,6.5,5.9,24.8,0
17,0.1,0.5,6.0,3.8,20.8,0
18,0.1,0.4,6.7,5.5,26.1,0
19,0.1,0.5,5.7,5.7,21.4,0
20,0.1,0.4,6.3,4.4,23.5,0
21,0.0,0.5,6.1,6.6,24.3,0
22,0.8,0.5,6.3,4.6,18.9,0
23,0.1,0.4,6.5,5.8,25.8,0
24,0.1,0.5,5.9,3.5,20.6,0
25,0.2,0.4,5.4,6.4,19.1,0
26,0.0,0.4,6.2,5.1,22.6,0
27,0.3,0.45,6.5,5.9,26.1,0
28,0.2,0.42,6.8,4.3,24.5,0
29,0.1,0.48,6.1,6.4,20.8,0
30,0.4,0.5,5.9,5.1,17.3,0
31,0.0,0.46,6.4,3.9,23.1,0
32,0.2,0.44,6.6,5.6,25.9,0
33,0.1,0.49,6.3,4.8,21.9,0
34,0.3,0.47,5.8,6.2,18.5,0
35,0.0,0.45,6.9,5.3,30.4,0
36,0.2,0.43,6.5,4.1,24.1,0
37,0.1,0.48,6.2,6.5,20.5,0
38,0.4,0.5,5.7,5.4,16.9,0
39,0.0,0.46,6.7,3.7,23.5,0
40,0.2,0.44,6.8,5.8,26.3,0
41,0.1,0.49,6.4,4.9,22.1,0
42,0.3,0.47,5.9,6.3,18.9,0
43,0.0,0.45,7.0,5.5,31.1,0
44,0.2,0.43,6.6,4.2,24.4,0
45,0.1,0.48,6.3,6.6,20.7,0
46,0.4,0.5,5.6,5.5,17.1,0
47,0.0,0.46,6.9,3.8,23.7,0
48,0.2,0.44,6.7,5.9,26.5,0
49,0.1,0.49,6.5,5.0,22.3,0
50,0.3,0.47,6.0,6.4,19.1,0
51,0.0,0.45,7.1,5.6,31.5,0
0,1.00245,0.538,6.674,4.239,21.0,1
1,0.14455,0.524,6.172,5.9505,27.1,1
2,0.12083,0.445,8.069,3.4952,38.7,1
3,0.08873,0.439,5.963,6.8147,19.7,1
4,0.06417,0.499,5.933,3.3603,18.9,1
5,0.77299,0.538,6.495,4.4547,18.4,1
6,0.17171,0.453,5.966,6.8185,16.0,1
7,0.25387,0.448,5.399,5.87,14.4,1
8,0.84054,0.538,5.599,4.4546,13.9,1
9,0.07896,0.437,6.273,4.2515,24.1,1
10,0.09164,0.413,6.065,5.2873,22.8,1
11,0.21977,0.448,5.602,6.0877,19.4,1
12,0.03551,0.426,6.167,5.4007,22.9,1
13,0.09744,0.499,5.841,3.3779,20.0,1
14,0.08826,0.413,6.417,5.2873,24.2,1
15,0.12744,0.448,6.77,5.7209,26.6,1
16,0.07151,0.449,6.121,3.7476,22.2,1
17,0.02055,0.41,6.383,9.1876,24.7,1
18,0.0566,0.489,7.007,3.4217,23.6,1
19,0.09378,0.524,5.889,5.4509,21.7,1
20,0.08829,0.524,6.012,5.5605,22.9,1
21,0.63796,0.538,6.096,4.4619,18.2,1
22,0.04981,0.439,5.998,6.8147,23.4,1
23,0.02875,0.464,6.211,3.6659,25.0,1
24,0.02731,0.469,6.421,4.9671,21.6,1
25,0.01951,0.4161,7.104,9.2229,33.0,1
26,0.04203,0.464,6.442,3.6659,22.9,1
27,0.67191,0.538,5.813,4.682,16.6,1
28,0.02985,0.458,6.43,6.0622,28.7,1
29,0.21124,0.524,5.631,6.0821,16.5,1
30,0.02763,0.428,6.595,5.4011,30.8,1
31,0.08707,0.437,6.14,4.0905,20.8,1
32,0.04294,0.464,6.249,3.615,20.6,1
33,0.03237,0.458,6.998,6.0622,33.4,1
34,0.03932,0.489,6.405,3.0921,22.0,1
35,0.03659,0.426,6.302,5.4007,24.8,1
36,0.12269,0.448,6.069,5.7209,21.2,1
37,0.03584,0.398,6.29,6.6115,23.5,1
38,0.13554,0.409,5.594,6.498,17.4,1
39,0.98843,0.538,5.813,4.0952,14.5,1
40,0.14932,0.453,5.741,7.2254,18.7,1
41,0.02729,0.469,7.185,4.9671,34.7,1
42,0.11747,0.524,6.009,6.2267,18.9,1
43,0.05646,0.437,6.232,5.0141,21.2,1
44,0.1415,0.448,6.169,5.7209,25.3,1
45,1.38799,0.538,5.95,3.99,13.2,1
46,0.09512,0.437,6.286,4.5026,21.4,1
47,0.17004,0.524,6.004,6.5921,18.9,1
48,0.04379,0.398,5.787,6.6115,19.4,1
49,0.11504,0.445,6.163,3.4952,21.4,1
50,1.61282,0.538,6.096,3.7598,13.5,1
