,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.09,6.5,0.45,6.2,34.6,5.9,294.0,391.4,11.4,23.4,0
1,0.15,7.8,0.48,6.0,43.8,5.2,318.0,386.5,14.1,20.6,0
2,0.03,4.9,0.42,6.5,61.9,6.8,269.0,395.9,7.3,25.9,0
3,0.22,8.3,0.52,5.8,91.5,4.5,313.0,380.9,17.3,16.2,0
4,0.11,6.3,0.46,6.1,28.5,6.2,301.0,396.8,9.5,22.5,0
5,0.07,5.5,0.44,6.3,52.2,6.9,276.0,394.8,8.2,24.2,0
6,0.19,7.2,0.5,6.0,83.2,5.1,303.0,386.3,15.6,18.3,0
7,0.04,3.5,0.41,6.8,46.9,6.4,251.0,395.6,4.9,29.5,0
8,0.13,6.9,0.48,5.9,98.6,4.8,311.0,394.2,18.2,15.5,0
9,0.08,5.9,0.45,6.2,35.4,6.6,289.0,396.9,10.3,23.1,0
10,0.21,8.1,0.52,6.0,88.2,4.6,313.0,380.8,16.9,16.8,0
11,0.06,4.2,0.43,6.6,59.4,6.7,263.0,395.3,6.1,26.5,0
12,0.14,7.5,0.49,5.9,94.8,4.9,307.0,386.2,17.8,15.9,0
13,0.09,6.1,0.46,6.1,31.9,6.3,299.0,396.8,9.8,22.8,0
14,0.18,7.9,0.51,5.8,90.5,4.7,313.0,380.9,16.5,16.5,0
15,0.05,4.8,0.42,6.7,55.3,6.5,266.0,395.5,5.5,27.3,0
16,0.12,7.1,0.48,6.0,86.2,5.0,303.0,386.3,15.3,18.5,0
17,0.07,5.7,0.45,6.2,39.4,6.8,291.0,396.9,10.8,22.9,0
18,0.16,7.8,0.5,5.9,95.8,4.9,311.0,394.2,18.5,15.2,0
19,0.04,3.9,0.41,6.8,49.9,6.3,256.0,395.6,5.0,29.1,0
20,0.11,6.5,0.47,6.1,33.5,6.4,300.0,396.8,10.0,23.0,0
21,0.19,8.1,0.52,5.8,92.5,4.6,313.0,380.8,17.1,16.3,0
22,0.06,5.2,0.43,6.6,58.1,6.6,268.0,395.3,6.3,26.1,0
23,0.14,7.4,0.49,5.9,96.2,5.0,307.0,386.2,18.0,15.8,0
24,0.08,6.0,0.46,6.2,36.4,6.7,294.0,396.9,11.0,23.2,0
25,0.2,7.5,0.4,6.2,65.6,5.9,289.0,395.6,11.8,20.5,0
26,0.1,6.3,0.5,6.5,42.1,4.1,261.0,392.3,9.1,24.3,0
27,0.0,4.1,0.4,6.8,75.2,3.3,276.0,396.9,5.3,30.4,0
28,0.2,8.5,0.5,5.9,90.2,6.5,311.0,386.6,19.4,16.2,0
