,CRIM,target,real_identifier
0,0.1,22.5,0
1,0.0,26.1,0
2,0.1,20.8,0
3,0.2,18.2,0
4,0.1,21.9,0
5,0.0,29.3,0
6,0.1,23.4,0
7,0.1,20.1,0
8,0.0,27.5,0
9,0.1,22.2,0
10,0.2,16.8,0
11,0.1,21.5,0
12,0.0,25.9,0
13,0.1,20.6,0
14,0.1,22.8,0
15,0.0,30.2,0
16,0.1,21.1,0
17,0.1,20.4,0
18,0.2,17.5,0
19,0.0,28.5,0
20,0.1,22.0,0
21,0.1,21.6,0
22,0.0,26.5,0
23,0.1,20.9,0
24,0.1,22.4,0
25,0.3,22.1,0
26,0.1,25.5,0
27,0.4,20.8,0
28,0.0,30.9,0
29,0.2,18.3,0
30,0.1,24.2,0
31,0.8,17.1,0
32,0.1,21.9,0
33,0.2,19.1,0
34,0.1,26.3,0
35,0.0,29.4,0
36,0.3,23.5,0
37,0.1,20.6,0
38,0.9,16.3,0
39,0.1,22.9,0
40,0.2,24.1,0
41,0.0,32.1,0
42,0.1,25.9,0
43,0.7,18.5,0
44,0.1,23.8,0
45,0.2,21.4,0
46,0.1,19.3,0
47,0.0,31.5,0
48,0.4,22.6,0
49,0.1,24.8,0
50,0.8,17.8,0
50,0.17142,19.3,1
51,0.12269,21.2,1
52,0.02055,24.7,1
53,0.12083,38.7,1
54,0.04294,20.6,1
55,0.02985,28.7,1
56,0.0536,25.0,1
57,0.98843,14.5,1
58,0.01432,31.6,1
59,0.03932,22.0,1
60,0.09744,20.0,1
61,0.08387,20.3,1
62,0.05646,21.2,1
63,0.21977,19.4,1
64,1.38799,13.2,1
65,0.09512,21.4,1
66,0.05789,22.0,1
67,0.07151,22.2,1
68,0.11747,18.9,1
69,0.03659,24.8,1
70,0.08014,21.0,1
71,0.22489,15.0,1
72,0.09378,21.7,1
73,0.04113,28.0,1
74,0.02763,30.8,1
75,0.10328,19.6,1
76,0.17505,24.7,1
77,0.0566,23.6,1
78,0.08873,19.7,1
79,0.09164,22.8,1
80,0.03237,33.4,1
81,0.21124,16.5,1
82,0.0686,33.2,1
83,0.08707,20.8,1
84,0.15445,23.3,1
85,0.04981,23.4,1
86,0.05188,22.5,1
87,0.04462,23.9,1
88,0.75026,15.6,1
89,0.22927,16.6,1
90,0.04379,19.4,1
91,0.06417,18.9,1
92,0.12744,26.6,1
93,0.67191,16.6,1
94,0.85204,19.6,1
95,0.13554,17.4,1
96,1.23247,15.2,1
97,1.05393,23.1,1
98,1.00245,21.0,1
99,0.02729,34.7,1
