,CRIM,target,real_identifier
0,0.3,26.1,0
1,0.1,29.5,0
2,0.9,19.3,0
3,0.0,35.6,0
4,1.1,16.9,0
5,0.4,21.9,0
6,0.2,25.1,0
7,0.1,27.3,0
8,0.6,20.8,0
9,0.1,24.2,0
10,0.8,18.1,0
11,0.1,30.4,0
12,0.3,23.8,0
13,1.3,14.9,0
14,0.2,21.5,0
15,0.1,26.8,0
16,0.7,19.6,0
17,0.2,17.9,0
18,0.9,16.2,0
19,0.0,32.1,0
20,0.0,28.5,0
21,0.5,22.3,0
22,1.0,17.1,0
23,0.1,25.9,0
24,0.1,20.6,0
25,0.3,19.1,0
26,0.0,21.8,0
27,0.8,17.9,0
28,0.5,19.5,0
29,0.2,36.2,0
30,0.0,24.9,0
31,0.3,19.3,0
32,0.2,30.8,0
33,0.1,20.9,0
34,0.0,25.5,0
35,1.1,15.1,0
36,0.2,23.5,0
37,0.1,24.2,0
38,0.6,20.3,0
39,0.0,35.9,0
40,1.0,15.5,0
41,0.2,25.9,0
42,0.1,28.2,0
43,0.0,34.5,0
44,0.0,24.2,0
45,0.2,45.1,0
46,1.5,14.1,0
47,1.3,13.6,0
48,0.2,18.2,0
49,0.0,24.1,0
50,0.02729,34.7,1
51,0.02763,30.8,1
52,0.15936,24.7,1
53,0.04684,22.6,1
54,1.35472,14.5,1
55,0.80271,20.2,1
56,0.07151,22.2,1
57,0.05059,23.9,1
58,0.10153,20.0,1
59,0.06905,36.2,1
60,0.0566,23.6,1
61,0.05302,28.7,1
62,0.19539,23.4,1
63,1.38799,13.2,1
64,0.18836,20.0,1
65,0.05789,22.0,1
66,0.77299,18.4,1
67,0.21124,16.5,1
68,0.7842,17.5,1
69,0.03237,33.4,1
70,0.03659,24.8,1
71,0.62976,20.4,1
72,1.23247,15.2,1
73,0.08829,22.9,1
74,0.14932,18.7,1
75,0.22927,16.6,1
76,0.0136,18.9,1
77,0.7258,18.2,1
78,0.63796,18.2,1
79,0.12083,38.7,1
80,0.04337,20.5,1
81,0.17004,18.9,1
82,0.0686,33.2,1
83,0.08873,19.7,1
84,0.04981,23.4,1
85,0.98843,14.5,1
86,0.11027,22.2,1
87,0.05188,22.5,1
88,0.62739,19.9,1
89,0.03359,34.9,1
90,0.95577,14.8,1
91,0.07896,24.1,1
92,0.05735,26.6,1
93,0.01951,33.0,1
94,0.04203,22.9,1
95,0.08187,43.8,1
96,1.61282,13.5,1
97,1.15172,13.1,1
98,0.13554,17.4,1
99,0.03551,22.9,1
