,CRIM,target,real_identifier
0,0.05,25.5,0
1,0.15,18.9,0
2,0.05,25.1,0
3,0.15,24.8,0
4,0.6,21.1,0
5,1.8,15.6,0
6,0.8,17.5,0
7,1.0,16.1,0
8,1.3,11.9,0
9,0.2,20.1,0
10,0.15,22.5,0
11,0.25,17.8,0
12,0.15,29.1,0
13,0.25,22.5,0
14,0.01,24.8,0
15,0.02,21.2,0
16,0.18,22.9,0
17,0.12,25.1,0
18,0.5,18.2,0
19,0.8,10.1,0
20,0.0,27.8,0
21,0.0,30.9,0
22,0.5,22.8,0
23,1.3,23.6,0
24,0.15,18.2,0
25,0.25,14.9,0
26,1.9,12.1,0
27,0.5,22.5,0
28,0.15,18.2,0
29,0.25,12.5,0
30,0.9,12.1,0
31,0.2,40.5,0
32,0.18,22.5,0
33,0.12,28.1,0
34,0.05,23.1,0
35,0.15,22.2,0
36,0.2,17.1,0
37,0.4,11.9,0
38,0.05,29.1,0
39,0.15,24.5,0
40,0.05,29.2,0
41,0.8,22.5,0
42,1.5,12.8,0
43,0.3,20.5,0
44,0.05,27.5,0
45,0.65,18.2,0
46,0.85,20.1,0
47,0.65,19.8,0
48,0.05,20.1,0
49,0.15,22.5,0
50,0.02763,30.8,1
51,0.05646,21.2,1
52,0.05735,26.6,1
53,0.08829,22.9,1
54,0.03659,24.8,1
55,1.38799,13.2,1
56,0.63796,18.2,1
57,1.23247,15.2,1
58,1.13081,12.7,1
59,0.10328,19.6,1
60,0.17004,18.9,1
61,0.1265,25.0,1
62,0.06905,36.2,1
63,0.21977,19.4,1
64,0.02875,25.0,1
65,0.04337,20.5,1
66,0.15445,23.3,1
67,0.08826,24.2,1
68,0.98843,14.5,1
69,0.00632,24.0,1
70,0.04294,20.6,1
71,0.03237,33.4,1
72,0.19539,23.4,1
73,1.05393,23.1,1
74,0.22927,16.6,1
75,0.08387,20.3,1
76,1.25179,13.6,1
77,0.07896,24.1,1
78,0.08707,20.8,1
79,0.22489,15.0,1
80,0.84054,13.9,1
81,0.12083,38.7,1
82,0.18836,20.0,1
83,0.1415,25.3,1
84,0.03551,22.9,1
85,0.05188,22.5,1
86,0.25387,14.4,1
87,0.11504,21.4,1
88,0.01432,31.6,1
89,0.15876,21.7,1
90,0.05302,28.7,1
91,1.00245,21.0,1
92,1.15172,13.1,1
93,0.12269,21.2,1
94,0.0536,25.0,1
95,0.62739,19.9,1
96,0.85204,19.6,1
97,0.62976,20.4,1
98,0.14932,18.7,1
99,0.0566,23.6,1
