,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.2,2.5,0.38,6.8,12.1,5.1,260.0,390.8,3.2,31.4,0
1,0.6,7.3,0.48,6.2,88.5,4.7,295.0,398.2,14.5,18.2,0
2,0.06,8.5,0.53,6.3,61.2,5.9,320.0,398.2,11.9,25.1,0
3,0.08,5.8,0.42,5.9,40.1,6.2,330.0,394.5,14.2,19.8,0
4,0.05,5.1,0.45,6.5,50.2,5.8,290.0,395.0,8.2,24.5,0
5,0.15,8.2,0.55,6.8,80.1,6.2,320.0,400.0,15.6,20.8,0
6,0.18,7.1,0.42,6.2,45.6,5.5,251.0,398.5,12.9,21.5,0
7,0.12,8.3,0.48,5.9,69.2,6.0,289.0,399.2,15.1,19.2,0
8,0.2,10.5,0.5,6.1,50.2,4.2,420.0,380.1,9.5,22.1,0
9,0.4,8.2,0.3,5.8,90.1,5.5,280.0,410.2,32.1,16.3,0
10,0.06,5.5,0.45,6.8,65.1,7.5,291.0,401.2,6.3,23.5,0
11,0.08,6.2,0.42,6.0,7.1,5.9,239.0,378.9,5.5,26.1,0
12,0.9,7.8,0.4,6.2,79.1,4.5,310.0,391.2,12.9,19.2,0
13,0.1,2.8,0.6,6.4,68.5,4.2,301.0,401.1,6.5,22.8,0
14,1.5,7.3,0.6,6.3,85.0,4.2,280.0,370.2,15.8,16.5,0
15,0.3,5.5,0.3,5.9,50.0,6.1,260.0,380.1,12.2,19.8,0
16,0.06,11.4,0.38,6.5,51.2,5.5,412.0,391.2,11.9,22.1,0
17,0.03,5.2,0.42,6.0,49.1,6.8,455.0,399.5,13.5,20.5,0
18,0.58,7.9,0.48,6.1,60.2,4.3,302.0,399.5,8.8,21.1,0
19,0.72,8.3,0.52,5.5,68.1,3.9,310.0,393.2,11.8,17.5,0
20,0.6,8.5,0.4,6.2,90.1,5.5,315.0,385.0,18.2,18.5,0
21,0.8,7.3,0.6,6.9,91.5,4.8,309.0,395.0,15.6,20.2,0
22,0.08,5.2,0.45,6.3,59.1,3.5,265.0,382.1,9.8,21.5,0
23,0.12,5.8,0.42,5.9,58.2,3.2,292.0,391.5,10.2,20.8,0
24,0.2,7.1,0.45,6.9,3.1,5.9,235.0,388.2,4.9,27.1,0
25,0.05,14.5,0.48,6.5,29.3,3.9,265.0,399.1,6.1,25.5,0
26,0.18,4.9,0.48,6.3,30.5,7.2,291.0,392.1,7.1,24.1,0
27,0.05,3.8,0.42,5.9,32.0,6.8,330.0,398.5,9.5,20.6,0
28,0.06,3.1,0.45,7.9,78.0,3.3,280.0,401.2,5.1,40.3,0
29,0.02,3.7,0.48,6.7,75.0,3.2,275.0,398.5,7.5,25.1,0
30,0.1,6.2,0.5,6.3,55.0,6.2,248.0,395.5,8.1,22.9,0
31,0.3,7.1,0.3,6.0,70.0,5.9,238.0,393.0,10.3,19.1,0
32,0.3,7.2,0.5,5.9,35.1,5.5,238.0,398.5,9.5,20.8,0
33,0.2,5.9,0.4,6.2,23.5,6.5,248.0,397.2,6.1,23.5,0
34,0.05,2.5,0.45,7.5,25.1,7.2,240.0,390.2,5.2,32.9,0
35,0.08,10.3,0.38,6.8,8.0,5.5,410.0,392.5,7.1,27.3,0
36,0.8,7.3,0.4,6.2,78.2,5.1,320.0,350.8,15.1,18.2,0
37,0.3,6.5,0.6,6.5,60.1,7.2,300.0,380.2,12.5,22.1,0
38,0.6,5.3,0.45,6.7,60.2,7.5,320.0,390.1,8.1,22.1,0
39,1.1,9.5,0.48,6.3,90.5,5.1,310.0,380.5,11.5,17.3,0
40,0.05,6.3,0.38,6.1,22.1,6.2,351.0,397.5,8.0,21.8,0
41,0.02,5.8,0.42,5.8,20.9,6.6,258.0,395.6,8.3,24.1,0
42,0.2,12.0,0.6,6.5,85.1,3.9,280.0,390.5,11.3,22.1,0
43,0.5,10.3,0.4,5.9,88.2,4.3,295.0,380.2,13.5,18.3,0
44,0.18,7.2,0.42,5.8,58.0,6.3,240.0,402.1,17.1,20.5,0
45,0.12,8.1,0.48,6.1,45.0,5.8,320.0,385.0,14.9,22.9,0
46,0.05,3.5,0.42,6.4,30.2,5.1,255.0,390.8,5.5,28.2,0
47,0.07,4.2,0.38,6.8,40.5,4.7,249.0,398.2,11.1,25.1,0
48,0.18,8.5,0.48,5.9,90.0,6.5,320.0,380.0,28.0,17.2,0
49,0.01,7.4,0.52,6.1,85.0,5.5,260.0,390.0,10.5,20.5,0
0,0.03359,2.95,0.428,7.024,15.8,5.4011,252.0,395.62,1.98,34.9,1
