,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.3,5.6,0.5,6.3,58.2,5.9,291.0,394.5,8.5,22.1,0
1,0.2,6.5,0.4,6.1,49.5,6.3,243.0,391.9,9.8,20.5,0
2,0.1,4.2,0.5,6.8,63.1,4.9,276.0,396.9,7.1,24.5,0
3,0.4,7.3,0.5,5.9,45.6,5.5,299.0,388.5,10.9,19.1,0
4,0.2,5.8,0.4,6.4,55.3,6.1,251.0,395.6,8.2,23.4,0
5,0.1,6.2,0.5,6.6,60.4,5.3,283.0,396.9,7.5,25.1,0
6,0.3,7.9,0.5,5.7,39.5,4.7,304.0,390.5,11.1,20.3,0
7,0.2,5.5,0.4,6.2,51.9,6.5,258.0,394.9,9.3,21.9,0
8,0.1,4.8,0.5,6.9,66.2,5.1,274.0,396.9,6.9,26.3,0
9,0.4,8.4,0.5,5.6,42.9,5.8,311.0,386.8,11.5,18.5,0
10,0.2,6.8,0.4,6.3,53.4,6.2,248.0,393.4,8.6,22.8,0
11,0.1,5.2,0.5,6.7,62.1,5.4,282.0,396.9,7.3,24.9,0
12,0.3,7.5,0.5,5.8,46.5,5.6,301.0,390.9,10.6,19.6,0
13,0.2,6.3,0.4,6.1,50.8,6.4,253.0,395.6,9.1,21.5,0
14,0.1,4.5,0.5,6.8,65.5,5.2,278.0,396.9,7.0,25.5,0
15,0.4,8.6,0.5,5.5,40.2,5.9,313.0,386.3,11.8,18.1,0
16,0.2,6.9,0.4,6.2,54.3,6.3,250.0,393.9,8.4,22.6,0
17,0.1,5.3,0.5,6.6,61.8,5.5,284.0,396.9,7.2,24.7,0
18,0.3,7.8,0.5,5.9,47.2,5.7,303.0,391.5,10.8,19.4,0
19,0.2,6.5,0.4,6.1,52.2,6.5,256.0,395.3,9.0,21.2,0
20,0.1,4.7,0.5,6.9,66.9,5.3,280.0,396.9,6.8,25.8,0
21,0.4,8.8,0.5,5.4,41.5,6.0,316.0,385.9,12.0,17.9,0
22,0.2,7.0,0.4,6.3,55.1,6.4,252.0,394.5,8.5,22.4,0
23,0.1,5.4,0.5,6.7,62.5,5.6,286.0,396.9,7.1,24.9,0
24,0.3,7.9,0.5,5.8,48.1,5.8,305.0,391.9,10.9,19.2,0
25,0.08,5.5,0.42,6.18,64.2,5.85,288.0,395.6,11.9,20.6,0
26,0.22,8.5,0.51,6.05,90.8,4.25,313.0,391.9,16.5,15.9,0
27,0.03,4.2,0.41,6.35,55.6,6.95,261.0,396.9,9.2,23.1,0
28,0.15,6.3,0.46,6.15,75.9,5.55,301.0,394.5,13.4,19.5,0
29,0.01,3.8,0.39,6.45,49.1,7.15,251.0,396.9,7.8,24.9,0
30,0.25,9.5,0.53,5.95,85.3,4.5,324.0,388.5,18.2,14.5,0
31,0.12,5.9,0.44,6.25,61.9,6.25,284.0,395.8,11.1,21.3,0
32,0.06,4.5,0.43,6.3,58.4,6.55,269.0,396.9,9.9,22.8,0
33,0.2,7.2,0.49,6.05,80.2,4.75,307.0,393.4,15.6,16.5,0
34,0.04,3.5,0.4,6.5,52.2,7.35,244.0,396.9,7.4,25.5,0
35,0.18,6.8,0.48,6.1,72.5,5.65,297.0,395.3,13.9,19.1,0
36,0.09,5.2,0.43,6.35,60.8,6.3,276.0,396.9,10.6,22.2,0
37,0.01,2.9,0.38,6.55,46.5,7.95,235.0,396.9,6.6,26.8,0
38,0.24,8.8,0.52,5.95,88.5,4.35,329.0,387.9,19.1,13.9,0
39,0.11,5.6,0.45,6.2,65.9,6.05,291.0,396.9,12.3,20.3,0
40,0.07,4.8,0.42,6.4,56.3,6.75,265.0,396.9,9.5,23.5,0
