,CRIM,target,real_identifier
0,0.05,24.1,0
1,0.08,23.8,0
2,0.5,22.1,0
3,1.0,17.5,0
4,0.0,28.9,0
5,0.0,22.1,0
6,1.3,25.5,0
7,0.8,18.2,0
8,1.5,12.8,0
9,0.3,21.5,0
10,0.53,20.8,0
11,0.17,21.3,0
12,0.85,14.2,0
13,0.05,20.5,0
14,0.25,18.5,0
15,0.15,21.1,0
16,0.15,22.5,0
17,0.25,26.1,0
18,0.05,26.0,0
19,0.15,23.0,0
20,0.6,20.8,0
21,1.1,16.2,0
22,0.35,20.5,0
23,0.8,15.6,0
24,0.05,30.1,0
25,0.15,25.9,0
26,0.2,20.5,0
27,0.3,22.8,0
28,0.05,19.2,0
29,0.02,22.1,0
30,0.9,15.3,0
31,1.0,13.9,0
32,0.2,20.5,0
33,0.3,22.1,0
34,0.05,19.2,0
35,0.03,20.8,0
36,0.05,20.5,0
37,0.8,15.1,0
38,0.9,15.2,0
39,0.1,17.1,0
40,0.05,25.1,0
41,0.15,31.8,0
42,0.05,22.5,0
43,0.15,26.1,0
44,0.9,17.8,0
45,0.1,33.5,0
46,0.05,22.1,0
47,0.02,24.8,0
48,0.05,28.3,0
49,0.15,22.1,0
0,0.08829,22.9,1
1,0.05188,22.5,1
2,0.15936,24.7,1
3,1.23247,15.2,1
4,0.02763,30.8,1
5,0.04337,20.5,1
6,1.05393,23.1,1
7,0.85204,19.6,1
8,1.15172,13.1,1
9,0.04203,22.9,1
10,0.62739,19.9,1
11,0.04684,22.6,1
12,0.84054,13.9,1
13,0.08014,21.0,1
14,0.17142,19.3,1
15,0.12816,20.9,1
16,0.05646,21.2,1
17,0.17505,24.7,1
18,0.0536,25.0,1
19,0.00632,24.0,1
20,0.03932,22.0,1
21,1.35472,14.5,1
22,0.15445,23.3,1
23,0.63796,18.2,1
24,0.12204,28.4,1
25,0.15876,21.7,1
26,0.09512,21.4,1
27,0.07896,24.1,1
28,0.13554,17.4,1
29,0.02875,25.0,1
30,0.67191,16.6,1
31,1.13081,12.7,1
32,0.11504,21.4,1
33,0.08873,19.7,1
34,0.06417,18.9,1
35,0.02731,21.6,1
36,0.12269,21.2,1
37,0.95577,14.8,1
38,0.75026,15.6,1
39,0.22927,16.6,1
40,0.05059,23.9,1
41,0.0686,33.2,1
42,0.08826,24.2,1
43,0.08387,20.3,1
44,0.77299,18.4,1
45,0.03359,34.9,1
46,0.09378,21.7,1
47,0.03584,23.5,1
48,0.02729,34.7,1
49,0.10328,19.6,1
50,0.03237,33.4,1
