,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.08,5.5,0.48,6.1,65.1,3.7,271.0,391.2,8.5,20.5,0
1,0.02,3.1,0.52,6.2,60.3,5.9,235.0,399.5,6.8,25.1,0
2,0.06,5.5,0.42,6.4,65.2,5.6,290.0,400.2,6.8,24.5,0
3,0.04,9.2,0.38,6.8,80.1,5.1,295.0,405.1,5.9,23.1,0
4,0.06,5.5,0.48,6.2,38.2,4.1,286.0,394.5,7.2,24.5,0
5,0.04,5.8,0.42,6.5,35.1,4.8,278.0,398.2,6.5,26.8,0
6,1.1,7.3,0.6,6.2,80.0,4.2,310.0,240.0,26.0,14.5,0
7,0.2,4.0,0.4,7.3,65.0,3.6,275.0,410.0,6.0,29.0,0
8,0.6,7.3,0.48,5.9,78.2,5.1,292.0,318.1,14.8,15.3,0
9,0.3,6.2,0.42,6.2,51.1,6.3,261.0,384.3,12.9,20.5,0
10,0.85,7.9,0.48,6.2,86.1,4.2,305.0,385.0,11.9,19.1,0
11,0.7,8.3,0.52,6.0,88.5,4.1,310.0,395.0,12.5,18.5,0
12,0.06,11.2,0.38,6.5,69.2,4.4,412.0,381.1,10.8,22.1,0
13,0.08,5.1,0.42,6.2,51.5,4.6,262.0,403.8,11.2,25.5,0
14,0.8,9.5,0.45,6.2,80.0,4.5,310.0,390.0,16.5,18.2,0
15,0.5,11.2,0.42,5.9,25.0,5.1,300.0,380.0,12.1,20.5,0
16,0.18,4.9,0.48,6.3,90.1,6.5,270.0,380.2,13.1,17.5,0
17,0.12,2.5,0.52,7.3,58.1,6.3,230.0,390.1,4.9,38.1,0
18,0.18,7.2,0.38,6.2,81.1,5.3,241.0,388.5,19.4,17.1,0
19,0.12,11.5,0.42,5.7,40.8,4.8,409.0,391.9,10.5,21.5,0
20,0.3,4.2,0.6,6.8,55.1,3.2,291.0,351.9,8.5,28.5,0
21,0.9,6.5,0.7,6.2,45.8,3.9,322.0,376.0,10.3,24.8,0
22,0.06,3.2,0.38,6.8,59.1,3.3,280.0,365.0,6.1,29.8,0
23,0.03,12.8,0.48,6.2,51.9,3.9,275.0,385.0,8.5,23.1,0
24,0.3,4.2,0.4,6.8,88.5,3.7,290.0,402.1,6.3,20.8,0
25,1.5,7.9,0.6,6.4,90.2,4.3,315.0,401.3,19.2,17.5,0
26,0.05,6.3,0.4,6.5,85.2,6.2,305.0,395.5,17.5,25.9,0
27,0.08,4.9,0.6,6.0,52.1,6.5,290.0,398.2,11.1,22.2,0
28,0.18,5.5,0.48,6.2,32.1,3.9,282.0,395.6,9.5,25.3,0
29,0.03,1.8,0.42,6.5,38.2,8.1,261.0,391.2,5.2,30.1,0
30,0.05,3.1,0.45,6.6,68.3,3.3,272.0,393.5,9.5,23.1,0
31,0.07,3.2,0.42,6.1,70.2,3.7,279.0,390.5,12.1,20.8,0
32,0.9,7.5,0.6,6.8,85.1,4.2,315.0,380.2,11.4,19.2,0
33,0.1,5.8,0.3,6.1,40.5,5.1,290.0,402.1,7.3,22.5,0
34,0.3,4.2,0.45,6.5,50.8,3.8,290.0,380.1,10.2,30.1,0
35,0.8,6.5,0.38,7.2,70.3,4.5,320.0,410.8,15.6,24.9,0
36,0.05,3.2,0.38,6.9,58.3,5.1,251.0,391.1,7.2,28.5,0
37,0.02,2.1,0.42,7.3,61.2,8.5,229.0,395.5,9.1,30.8,0
38,0.06,8.5,0.45,6.8,55.6,5.8,280.0,380.2,5.9,26.5,0
39,0.03,9.2,0.42,7.0,58.3,5.5,260.0,390.5,4.5,30.8,0
40,1.3,7.9,0.6,6.1,30.1,4.2,312.0,390.2,6.3,24.5,0
41,0.2,3.8,0.3,6.5,18.5,6.3,342.0,402.1,4.3,24.9,0
42,0.8,7.9,0.4,5.9,60.2,4.2,310.0,380.9,9.1,20.5,0
43,1.4,8.3,0.6,6.0,90.1,3.9,305.0,260.1,21.5,14.1,0
44,0.06,7.3,0.55,6.3,58.1,5.5,310.0,402.0,11.9,19.2,0
45,0.08,9.5,0.48,5.9,71.4,6.8,296.0,391.0,12.5,18.1,0
46,0.2,5.9,0.45,6.1,45.0,5.2,330.0,390.8,10.2,22.1,0
47,1.1,7.3,0.48,5.8,80.0,4.1,320.0,380.2,19.5,15.3,0
48,0.1,5.5,0.6,6.8,38.2,5.9,250.0,386.4,4.2,28.5,0
49,0.3,8.1,0.3,7.2,12.1,6.5,280.0,391.8,6.1,25.9,0
50,0.06417,5.96,0.499,5.933,68.2,3.3603,279.0,396.9,9.68,18.9,1
51,0.02985,2.18,0.458,6.43,58.7,6.0622,222.0,394.12,5.21,28.7,1
52,0.04462,4.86,0.426,6.619,70.4,5.4007,281.0,395.63,7.22,23.9,1
53,0.09164,10.81,0.413,6.065,7.8,5.2873,305.0,390.91,5.52,22.8,1
54,0.08014,5.96,0.499,5.85,41.5,3.9342,279.0,396.9,8.77,21.0,1
55,0.04113,4.86,0.426,6.727,33.5,5.4007,281.0,396.9,5.29,28.0,1
56,1.38799,8.14,0.538,5.95,82.0,3.99,307.0,232.6,27.71,13.2,1
57,0.05302,3.41,0.489,7.079,63.1,3.4145,270.0,396.06,5.7,28.7,1
58,0.84054,8.14,0.538,5.599,85.7,4.4546,307.0,303.42,16.51,13.9,1
59,0.08873,5.64,0.439,5.963,45.7,6.8147,243.0,395.56,13.45,19.7,1
60,0.85204,8.14,0.538,5.965,89.2,4.0123,307.0,392.53,13.83,19.6,1
61,0.63796,8.14,0.538,6.096,84.5,4.4619,307.0,380.02,10.26,18.2,1
62,0.10153,12.83,0.437,6.279,74.5,4.0522,398.0,373.66,11.97,20.0,1
63,0.05059,4.49,0.449,6.389,48.0,4.7794,247.0,396.9,9.62,23.9,1
64,0.98843,8.14,0.538,5.813,100.0,4.0952,307.0,394.54,19.88,14.5,1
65,0.15876,10.81,0.413,5.961,17.5,5.2873,305.0,376.94,9.88,21.7,1
66,0.17171,5.13,0.453,5.966,93.4,6.8185,284.0,378.08,14.44,16.0,1
67,0.06905,2.18,0.458,7.147,54.2,6.0622,222.0,396.9,5.33,36.2,1
68,0.22927,6.91,0.448,6.03,85.5,5.6894,233.0,392.74,18.8,16.6,1
69,0.08387,12.83,0.437,5.874,36.6,4.5026,398.0,396.06,9.1,20.3,1
70,0.0686,2.89,0.445,7.416,62.5,3.4952,276.0,396.9,6.19,33.2,1
71,0.80271,8.14,0.538,5.456,36.6,3.7965,307.0,288.99,11.69,20.2,1
72,0.12204,2.89,0.445,6.625,57.8,3.4952,276.0,357.98,6.65,28.4,1
73,0.04203,15.04,0.464,6.442,53.6,3.6659,270.0,395.01,8.16,22.9,1
74,0.0566,3.41,0.489,7.007,86.3,3.4217,270.0,396.9,5.5,23.6,1
75,1.23247,8.14,0.538,6.142,91.7,3.9769,307.0,396.9,18.72,15.2,1
76,0.14455,7.87,0.524,6.172,96.1,5.9505,311.0,396.9,19.15,27.1,1
77,0.10328,5.13,0.453,5.927,47.2,6.932,284.0,396.9,9.22,19.6,1
78,0.17505,5.96,0.499,5.966,30.2,3.8473,279.0,393.43,10.13,24.7,1
79,0.01432,1.32,0.411,6.816,40.5,8.3248,256.0,392.9,3.95,31.6,1
80,0.04684,3.41,0.489,6.417,66.1,3.0923,270.0,392.18,8.81,22.6,1
81,0.11504,2.89,0.445,6.163,69.6,3.4952,276.0,391.83,11.34,21.4,1
82,0.77299,8.14,0.538,6.495,94.4,4.4547,307.0,387.94,12.8,18.4,1
83,0.03659,4.86,0.426,6.302,32.2,5.4007,281.0,396.9,6.72,24.8,1
84,0.08187,2.89,0.445,7.82,36.9,3.4952,276.0,393.53,3.57,43.8,1
85,1.13081,8.14,0.538,5.713,94.1,4.233,307.0,360.17,22.6,12.7,1
86,0.05735,4.49,0.449,6.63,56.1,4.4377,247.0,392.3,6.53,26.6,1
87,0.01951,1.38,0.4161,7.104,59.5,9.2229,216.0,393.24,8.05,33.0,1
88,0.08826,10.81,0.413,6.417,6.6,5.2873,305.0,383.73,6.72,24.2,1
89,0.02729,7.07,0.469,7.185,61.1,4.9671,242.0,392.83,4.03,34.7,1
90,1.05393,8.14,0.538,5.935,29.3,4.4986,307.0,386.85,6.58,23.1,1
91,0.03584,3.37,0.398,6.29,17.8,6.6115,337.0,396.9,4.67,23.5,1
92,0.62739,8.14,0.538,5.834,56.5,4.4986,307.0,395.62,8.47,19.9,1
93,1.61282,8.14,0.538,6.096,96.9,3.7598,307.0,248.31,20.34,13.5,1
94,0.14932,5.13,0.453,5.741,66.2,7.2254,284.0,395.11,13.15,18.7,1
95,0.08707,12.83,0.437,6.14,45.8,4.0905,398.0,386.96,10.27,20.8,1
96,0.12816,6.07,0.409,5.885,33.0,6.498,345.0,396.9,8.79,20.9,1
97,1.25179,8.14,0.538,5.57,98.1,3.7979,307.0,376.57,21.02,13.6,1
98,0.03237,2.18,0.458,6.998,45.8,6.0622,222.0,394.63,2.94,33.4,1
99,0.19539,10.81,0.413,6.245,6.2,5.2873,305.0,377.17,7.54,23.4,1
