,CRIM,NOX,RM,DIS,target,real_identifier
0,0.06,0.38,6.5,4.2,19.8,0
1,0.28,0.42,5.8,6.1,16.2,0
50,0.17142,0.448,5.682,5.1004,19.3,1
51,0.02729,0.469,7.185,4.9671,34.7,1
52,0.15936,0.448,6.211,5.7209,24.7,1
53,0.14932,0.453,5.741,7.2254,18.7,1
54,0.0136,0.41,5.888,7.3197,18.9,1
55,1.38799,0.538,5.95,3.99,13.2,1
56,0.08873,0.439,5.963,6.8147,19.7,1
57,0.1415,0.448,6.169,5.7209,25.3,1
58,0.0536,0.439,6.511,6.8147,25.0,1
59,0.03584,0.398,6.29,6.6115,23.5,1
60,0.80271,0.538,5.456,3.7965,20.2,1
61,0.00632,0.538,6.575,4.09,24.0,1
62,0.12816,0.409,5.885,6.498,20.9,1
63,0.04337,0.439,6.115,6.8147,20.5,1
64,0.02985,0.458,6.43,6.0622,28.7,1
65,0.05188,0.449,6.015,4.4272,22.5,1
66,0.11504,0.445,6.163,3.4952,21.4,1
67,0.25387,0.448,5.399,5.87,14.4,1
68,0.85204,0.538,5.965,4.0123,19.6,1
69,1.61282,0.538,6.096,3.7598,13.5,1
70,0.08387,0.437,5.874,4.5026,20.3,1
71,1.00245,0.538,6.674,4.239,21.0,1
72,0.0566,0.489,7.007,3.4217,23.6,1
73,0.02763,0.428,6.595,5.4011,30.8,1
74,0.06417,0.499,5.933,3.3603,18.9,1
75,0.22927,0.448,6.03,5.6894,16.6,1
76,0.03551,0.426,6.167,5.4007,22.9,1
77,0.01311,0.403,7.249,8.6966,35.4,1
78,0.02055,0.41,6.383,9.1876,24.7,1
79,0.08014,0.499,5.85,3.9342,21.0,1
80,0.03359,0.428,7.024,5.4011,34.9,1
81,0.17004,0.524,6.004,6.5921,18.9,1
82,0.09744,0.499,5.841,3.3779,20.0,1
83,0.67191,0.538,5.813,4.682,16.6,1
84,0.63796,0.538,6.096,4.4619,18.2,1
85,1.13081,0.538,5.713,4.233,12.7,1
86,0.08707,0.437,6.14,4.0905,20.8,1
87,0.15445,0.453,6.145,7.8148,23.3,1
88,0.95577,0.538,6.047,4.4534,14.8,1
89,0.09164,0.413,6.065,5.2873,22.8,1
90,0.09512,0.437,6.286,4.5026,21.4,1
91,0.10328,0.453,5.927,6.932,19.6,1
92,0.08826,0.413,6.417,5.2873,24.2,1
93,1.35472,0.538,6.072,4.175,14.5,1
94,0.04379,0.398,5.787,6.6115,19.4,1
95,0.12744,0.448,6.77,5.7209,26.6,1
96,0.18836,0.448,5.786,5.1004,20.0,1
97,0.0686,0.445,7.416,3.4952,33.2,1
98,0.05735,0.449,6.63,4.4377,26.6,1
99,0.01951,0.4161,7.104,9.2229,33.0,1
