,CRIM,NOX,RM,DIS,target,real_identifier
0,0.1,0.38,6.1,6.4,20.8,0
1,0.15,0.42,5.9,6.3,18.2,0
2,0.9,0.6,5.8,4.2,21.5,0
3,0.3,0.3,6.1,5.8,20.1,0
4,0.23,0.38,7.1,3.8,41.2,0
5,0.67,0.48,6.8,4.2,20.5,0
6,0.18,0.42,6.3,5.1,24.6,0
7,0.12,0.38,6.0,5.9,20.8,0
8,0.1,0.38,7.5,9.2,32.1,0
9,0.0,0.48,6.5,4.1,23.4,0
10,0.08,0.38,6.8,4.1,25.6,0
11,0.12,0.42,6.3,6.5,24.8,0
12,0.9,0.4,5.3,4.1,19.5,0
13,0.1,0.6,6.1,5.9,16.2,0
14,0.06,0.38,6.2,5.3,24.9,0
15,0.18,0.42,5.9,6.4,21.1,0
16,0.05,0.45,6.8,5.2,28.3,0
17,0.08,0.48,6.1,5.8,25.1,0
18,0.58,0.48,6.3,4.2,17.5,0
19,1.1,0.52,5.9,3.9,14.8,0
20,0.8,0.6,6.2,4.1,17.3,0
21,0.3,0.4,5.5,3.8,22.1,0
22,1.7,0.4,6.3,4.5,15.1,0
23,0.3,0.6,5.9,6.2,19.2,0
24,0.8,0.6,6.2,3.8,17.3,0
25,0.3,0.4,6.8,4.5,20.9,0
26,0.1,0.6,6.8,5.9,28.5,0
27,0.3,0.3,7.2,6.3,30.1,0
50,0.0536,0.439,6.511,6.8147,25.0,1
51,0.04684,0.489,6.417,3.0923,22.6,1
52,0.03584,0.398,6.29,6.6115,23.5,1
53,0.21124,0.524,5.631,6.0821,16.5,1
54,0.08826,0.413,6.417,5.2873,24.2,1
55,0.15445,0.453,6.145,7.8148,23.3,1
56,0.12083,0.445,8.069,3.4952,38.7,1
57,0.05646,0.437,6.232,5.0141,21.2,1
58,0.80271,0.538,5.456,3.7965,20.2,1
59,0.12816,0.409,5.885,6.498,20.9,1
60,0.02985,0.458,6.43,6.0622,28.7,1
61,0.0686,0.445,7.416,3.4952,33.2,1
62,0.08187,0.445,7.82,3.4952,43.8,1
63,0.77299,0.538,6.495,4.4547,18.4,1
64,0.19539,0.413,6.245,5.2873,23.4,1
65,0.12269,0.448,6.069,5.7209,21.2,1
66,0.01311,0.403,7.249,8.6966,35.4,1
67,0.04294,0.464,6.249,3.615,20.6,1
68,0.06905,0.458,7.147,6.0622,36.2,1
69,0.01951,0.4161,7.104,9.2229,33.0,1
70,0.12204,0.445,6.625,3.4952,28.4,1
71,0.11027,0.453,6.456,7.2255,22.2,1
72,0.7258,0.538,5.727,3.7965,18.2,1
73,0.22489,0.524,6.377,6.3467,15.0,1
74,0.12744,0.448,6.77,5.7209,26.6,1
75,0.21977,0.448,5.602,6.0877,19.4,1
76,0.02729,0.469,7.185,4.9671,34.7,1
77,0.09378,0.524,5.889,5.4509,21.7,1
78,0.63796,0.538,6.096,4.4619,18.2,1
79,1.15172,0.538,5.701,3.7872,13.1,1
80,0.09164,0.413,6.065,5.2873,22.8,1
81,0.18836,0.448,5.786,5.1004,20.0,1
82,0.22927,0.448,6.03,5.6894,16.6,1
83,0.05302,0.489,7.079,3.4145,28.7,1
84,0.02055,0.41,6.383,9.1876,24.7,1
85,0.85204,0.538,5.965,4.0123,19.6,1
86,0.07896,0.437,6.273,4.2515,24.1,1
87,0.84054,0.538,5.599,4.4546,13.9,1
88,0.95577,0.538,6.047,4.4534,14.8,1
89,0.09744,0.499,5.841,3.3779,20.0,1
90,1.35472,0.538,6.072,4.175,14.5,1
91,0.17004,0.524,6.004,6.5921,18.9,1
92,0.11504,0.445,6.163,3.4952,21.4,1
93,0.15876,0.413,5.961,5.2873,21.7,1
94,0.98843,0.538,5.813,4.0952,14.5,1
95,0.0566,0.489,7.007,3.4217,23.6,1
96,0.03237,0.458,6.998,6.0622,33.4,1
97,0.15936,0.448,6.211,5.7209,24.7,1
98,0.25387,0.448,5.399,5.87,14.4,1
99,0.08387,0.437,5.874,4.5026,20.3,1
