,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.2,6.3,0.3,6.2,22.1,6.2,321.0,395.5,7.5,24.5,0
1,0.3,5.9,0.5,6.1,20.9,6.9,268.0,398.1,6.1,26.2,0
2,0.06,5.5,0.48,5.9,64.1,6.5,281.0,391.2,12.1,19.3,0
3,0.08,5.8,0.52,6.1,63.5,5.9,286.0,402.1,11.9,20.5,0
4,0.06,3.1,0.45,6.5,68.2,3.8,282.0,394.5,9.5,22.8,0
5,0.03,2.5,0.48,6.8,66.5,4.3,304.0,402.1,6.2,25.5,0
6,0.25,7.1,0.38,5.9,90.5,6.1,240.0,401.2,28.5,16.2,0
7,0.15,3.2,0.42,7.3,40.8,3.8,260.0,390.8,4.2,41.9,0
8,0.05,7.2,0.45,6.5,25.1,5.8,342.0,390.2,6.3,22.8,0
9,0.15,9.5,0.38,6.1,60.3,4.9,380.0,385.1,10.5,21.2,0
10,0.8,6.5,0.4,6.5,76.2,5.2,280.0,318.2,15.1,16.2,0
11,0.2,4.1,0.6,7.2,54.9,6.5,240.0,368.1,4.5,30.8,0
12,0.05,1.2,0.38,6.9,40.2,8.5,320.0,390.1,6.1,26.3,0
13,0.12,3.5,0.42,7.8,68.1,4.2,295.0,398.5,5.5,35.9,0
14,0.06,7.1,0.53,6.8,58.2,4.1,336.0,394.5,9.5,28.5,0
15,0.11,9.5,0.45,7.1,60.3,3.8,288.0,399.2,7.8,30.9,0
16,0.6,7.5,0.45,6.3,85.2,4.2,421.0,351.2,17.1,15.6,0
17,1.2,5.8,0.48,6.0,74.1,5.5,381.0,291.5,19.4,14.2,0
18,0.02,10.5,0.38,6.8,45.2,5.5,350.0,391.5,7.2,28.5,0
19,0.05,8.2,0.42,7.4,30.1,6.8,280.0,396.1,9.5,30.8,0
20,0.15,7.2,0.45,6.2,40.5,5.5,245.0,395.5,15.1,21.5,0
21,0.08,8.1,0.55,6.5,75.2,6.5,320.0,398.2,12.8,19.2,0
22,0.6,7.9,0.4,5.9,65.1,3.5,305.0,394.0,10.8,17.9,0
23,0.9,8.3,0.6,6.2,90.2,4.2,309.0,385.0,13.1,18.7,0
24,0.18,8.5,0.42,6.5,45.6,5.9,320.0,391.1,10.2,20.8,0
25,0.22,9.2,0.38,6.8,60.3,6.1,295.0,369.5,12.5,22.1,0
26,0.006,2.31,0.538,6.575,45.81,4.09,296.0,397.9,10.29,20.23,0
27,0.027,7.07,0.469,6.942,51.19,3.69,307.0,394.5,7.51,26.56,0
28,0.58,7.9,0.48,6.1,55.2,4.8,320.0,398.2,9.1,20.5,0
29,0.03,2.5,0.52,6.6,59.1,6.3,230.0,396.5,5.5,29.2,0
30,0.3,5.2,0.45,6.9,65.5,4.6,280.0,410.5,8.2,28.4,0
31,1.2,9.5,0.55,7.1,90.8,4.0,330.0,420.8,15.5,24.9,0
32,0.1,6.2,0.45,6.3,25.6,6.2,251.0,401.2,8.9,24.8,0
33,0.5,7.8,0.48,6.2,78.9,5.1,293.0,385.5,10.8,19.5,0
