,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.5,6.2,0.4,6.3,45.6,4.9,261.0,394.4,10.9,20.8,0
1,0.8,8.5,0.5,5.8,75.2,4.2,319.0,386.5,15.4,17.3,0
2,0.3,4.8,0.4,6.5,50.8,5.5,251.0,396.8,8.5,24.5,0
3,0.9,7.3,0.5,6.1,80.2,4.6,301.0,392.2,14.2,18.5,0
4,0.2,5.1,0.4,6.2,42.9,5.2,266.0,396.9,9.3,22.9,0
5,0.6,8.9,0.5,5.9,70.5,4.3,324.0,386.3,16.1,16.9,0
6,0.1,3.5,0.4,6.7,55.3,5.8,256.0,396.8,6.2,26.3,0
7,0.7,7.8,0.5,6.0,86.3,4.5,313.0,392.1,17.4,18.1,0
8,0.4,5.5,0.4,6.4,49.2,5.1,262.0,396.9,9.9,23.2,0
9,0.5,7.2,0.5,5.9,74.2,4.4,303.0,386.6,14.9,18.3,0
10,0.9,8.3,0.5,6.2,89.5,4.1,310.0,392.3,16.5,16.5,0
11,0.3,4.2,0.4,6.6,53.5,5.6,254.0,396.8,7.3,25.5,0
12,0.6,8.6,0.5,5.8,78.2,4.2,322.0,386.4,16.3,17.1,0
13,0.2,5.3,0.4,6.3,45.1,5.3,265.0,396.9,9.5,22.5,0
14,0.8,8.1,0.5,6.0,82.2,4.4,308.0,392.2,15.1,18.4,0
15,0.1,3.8,0.4,6.7,59.3,5.9,259.0,396.8,6.5,26.1,0
16,0.7,7.5,0.5,5.9,72.5,4.3,305.0,386.6,15.3,18.2,0
17,0.4,5.8,0.4,6.4,51.2,5.2,264.0,396.9,9.8,23.5,0
18,0.5,7.1,0.5,5.9,76.2,4.4,302.0,386.6,15.0,18.4,0
19,0.9,8.2,0.5,6.1,88.1,4.1,309.0,392.3,16.4,16.6,0
20,0.3,4.5,0.4,6.6,55.8,5.7,257.0,396.8,7.4,25.3,0
21,0.6,8.7,0.5,5.8,79.2,4.2,323.0,386.4,16.5,17.0,0
22,0.2,5.4,0.4,6.3,46.3,5.4,266.0,396.9,9.6,22.7,0
23,0.8,8.0,0.5,6.0,83.2,4.4,307.0,392.2,15.2,18.5,0
24,0.1,4.0,0.4,6.7,61.3,6.0,260.0,396.8,6.7,25.9,0
25,0.7,7.4,0.5,5.9,71.5,4.3,304.0,386.6,15.2,18.3,0
0,0.03932,3.41,0.489,6.405,73.9,3.0921,270.0,393.55,8.2,22.0,1
1,0.06417,5.96,0.499,5.933,68.2,3.3603,279.0,396.9,9.68,18.9,1
2,1.05393,8.14,0.538,5.935,29.3,4.4986,307.0,386.85,6.58,23.1,1
3,0.22927,6.91,0.448,6.03,85.5,5.6894,233.0,392.74,18.8,16.6,1
