,CRIM,NOX,RM,DIS,target,real_identifier
0,0.06,0.42,7.9,3.8,34.5,0
1,0.08,0.38,6.5,4.9,24.1,0
2,0.0,0.38,6.2,5.5,24.1,0
3,0.0,0.42,6.6,4.2,21.8,0
4,0.8,0.6,6.1,4.2,18.5,0
5,1.5,0.4,5.9,3.5,15.8,0
6,0.9,0.4,5.9,3.9,19.5,0
7,0.1,0.6,6.1,3.6,23.8,0
0,0.07151,0.449,6.121,3.7476,22.2,1
1,0.62739,0.538,5.834,4.4986,19.9,1
2,0.11027,0.453,6.456,7.2255,22.2,1
3,0.04113,0.426,6.727,5.4007,28.0,1
4,0.14455,0.524,6.172,5.9505,27.1,1
5,0.07896,0.437,6.273,4.2515,24.1,1
6,0.13554,0.409,5.594,6.498,17.4,1
7,0.08187,0.445,7.82,3.4952,43.8,1
8,0.22489,0.524,6.377,6.3467,15.0,1
9,0.84054,0.538,5.599,4.4546,13.9,1
10,0.21977,0.448,5.602,6.0877,19.4,1
11,0.05302,0.489,7.079,3.4145,28.7,1
12,0.04203,0.464,6.442,3.6659,22.9,1
13,0.08829,0.524,6.012,5.5605,22.9,1
14,0.03237,0.458,6.998,6.0622,33.4,1
15,0.05789,0.409,5.878,6.498,22.0,1
16,0.06905,0.458,7.147,6.0622,36.2,1
17,0.01432,0.411,6.816,8.3248,31.6,1
18,0.12083,0.445,8.069,3.4952,38.7,1
19,0.05646,0.437,6.232,5.0141,21.2,1
20,1.23247,0.538,6.142,3.9769,15.2,1
21,0.12204,0.445,6.625,3.4952,28.4,1
22,0.04981,0.439,5.998,6.8147,23.4,1
23,0.03932,0.489,6.405,3.0921,22.0,1
24,0.19539,0.413,6.245,5.2873,23.4,1
25,0.04462,0.426,6.619,5.4007,23.9,1
26,0.04294,0.464,6.249,3.615,20.6,1
27,0.77299,0.538,6.495,4.4547,18.4,1
28,0.12269,0.448,6.069,5.7209,21.2,1
29,0.15876,0.413,5.961,5.2873,21.7,1
30,0.04684,0.489,6.417,3.0923,22.6,1
31,0.05059,0.449,6.389,4.7794,23.9,1
32,0.17505,0.499,5.966,3.8473,24.7,1
33,0.62976,0.538,5.949,4.7075,20.4,1
34,0.7842,0.538,5.99,4.2579,17.5,1
35,0.10153,0.437,6.279,4.0522,20.0,1
36,1.15172,0.538,5.701,3.7872,13.1,1
37,0.02731,0.469,6.421,4.9671,21.6,1
38,0.1265,0.453,6.762,7.9809,25.0,1
39,1.25179,0.538,5.57,3.7979,13.6,1
40,0.21124,0.524,5.631,6.0821,16.5,1
41,0.03659,0.426,6.302,5.4007,24.8,1
42,0.7258,0.538,5.727,3.7965,18.2,1
43,0.02875,0.464,6.211,3.6659,25.0,1
44,1.05393,0.538,5.935,4.4986,23.1,1
45,0.11747,0.524,6.009,6.2267,18.9,1
46,0.09378,0.524,5.889,5.4509,21.7,1
47,0.75026,0.538,5.924,4.3996,15.6,1
48,0.98843,0.538,5.813,4.0952,14.5,1
49,0.17171,0.453,5.966,6.8185,16.0,1
50,0.17142,0.448,5.682,5.1004,19.3,1
