,CRIM,target,real_identifier
0,0.05,22.8,0
1,0.15,21.9,0
2,0.05,20.8,0
3,0.15,21.9,0
4,0.2,20.8,0
5,1.1,16.9,0
6,0.15,20.8,0
7,0.25,28.1,0
8,0.0,25.1,0
9,0.0,27.3,0
10,0.3,18.2,0
11,0.9,16.8,0
12,1.7,13.2,0
13,0.3,19.1,0
14,0.05,27.3,0
15,0.02,29.1,0
16,0.05,20.2,0
17,0.15,25.1,0
18,0.1,17.5,0
19,0.05,20.8,0
20,0.1,30.5,0
21,0.3,22.1,0
22,0.1,30.8,0
23,0.05,23.1,0
24,1.9,15.1,0
25,0.6,22.5,0
26,0.3,22.1,0
27,0.9,16.5,0
28,1.5,16.2,0
29,0.5,18.1,0
30,0.3,20.5,0
31,0.9,14.1,0
32,0.15,20.8,0
33,0.05,32.1,0
34,0.05,19.5,0
35,0.15,22.5,0
36,0.2,20.5,0
37,0.3,19.2,0
38,0.15,17.8,0
39,0.05,20.9,0
40,0.3,24.5,0
41,0.9,14.2,0
42,0.05,30.1,0
43,0.15,29.8,0
44,0.05,21.1,0
45,0.15,22.5,0
46,0.05,38.2,0
47,0.15,48.1,0
48,0.05,20.5,0
49,0.15,21.8,0
0,0.11027,22.2,1
1,0.04684,22.6,1
2,0.09512,21.4,1
3,0.03932,22.0,1
4,0.03584,23.5,1
5,0.77299,18.4,1
6,0.15936,24.7,1
7,0.13554,17.4,1
8,0.04462,23.9,1
9,0.02985,28.7,1
10,0.09744,20.0,1
11,0.7842,17.5,1
12,1.35472,14.5,1
13,0.12816,20.9,1
14,0.12744,26.6,1
15,0.04113,28.0,1
16,0.09164,22.8,1
17,0.0136,18.9,1
18,0.17171,16.0,1
19,0.04203,22.9,1
20,0.02729,34.7,1
21,0.17505,24.7,1
22,0.01951,33.0,1
23,0.02731,21.6,1
24,1.61282,13.5,1
25,0.80271,20.2,1
26,0.02055,24.7,1
27,0.7258,18.2,1
28,0.95577,14.8,1
29,0.04379,19.4,1
30,0.07151,22.2,1
31,0.75026,15.6,1
32,0.17142,19.3,1
33,0.01311,35.4,1
34,0.10153,20.0,1
35,0.08014,21.0,1
36,0.09378,21.7,1
37,0.06417,18.9,1
38,0.21124,16.5,1
39,0.04981,23.4,1
40,0.14455,27.1,1
41,0.67191,16.6,1
42,0.0686,33.2,1
43,0.12204,28.4,1
44,0.08873,19.7,1
45,0.05059,23.9,1
46,0.03359,34.9,1
47,0.08187,43.8,1
48,0.11747,18.9,1
49,0.05789,22.0,1
50,0.02763,30.8,1
