,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.8,9.5,0.48,6.3,85.0,4.3,320.0,400.2,17.2,16.1,0
1,0.3,11.2,0.42,5.9,60.0,4.2,380.0,390.5,12.5,19.2,0
2,0.06,2.2,0.42,7.3,41.9,3.8,280.0,395.1,4.1,40.9,0
3,0.04,3.1,0.48,6.7,64.5,3.3,272.0,390.8,9.2,25.1,0
4,0.0,10.5,0.6,6.5,45.3,5.5,240.0,398.2,5.8,26.5,0
5,0.0,12.1,0.4,6.3,35.1,4.2,260.0,399.5,6.0,24.2,0
6,0.15,7.3,0.42,6.2,81.1,6.1,241.0,390.5,17.4,17.1,0
7,0.08,4.8,0.48,5.9,71.4,7.5,299.0,398.2,14.5,19.3,0
8,0.08,5.2,0.42,6.3,59.1,3.9,251.0,391.5,9.1,23.5,0
9,0.12,5.8,0.48,6.0,60.2,3.6,265.0,381.2,10.8,21.8,0
10,0.8,8.5,0.4,6.3,85.1,4.5,305.0,375.0,11.5,20.5,0
11,0.2,7.7,0.6,6.0,42.0,5.0,315.0,400.0,16.0,22.0,0
12,0.5,10.2,0.45,6.5,40.8,4.9,420.0,380.1,12.1,20.8,0
13,2.1,9.5,0.55,6.8,80.2,3.2,350.0,280.5,18.5,16.2,0
14,1.3,7.9,0.6,5.9,95.5,4.1,305.0,362.1,23.1,13.2,0
15,0.2,3.1,0.3,8.3,77.2,3.7,279.0,399.5,4.5,39.5,0
16,0.06,4.2,0.48,6.8,80.2,4.1,261.0,398.5,6.2,22.1,0
17,0.03,5.1,0.42,6.5,70.5,5.6,251.0,391.0,8.1,21.3,0
18,0.1,3.2,0.6,6.5,65.1,4.3,290.0,390.8,7.5,24.2,0
19,0.0,3.5,0.3,6.2,25.9,5.9,310.0,399.2,5.1,22.8,0
20,0.9,7.9,0.55,6.2,78.3,4.1,310.0,381.2,13.5,18.1,0
21,0.85,8.3,0.48,5.8,40.2,3.9,305.0,293.5,12.2,19.5,0
22,0.05,4.2,0.38,6.3,42.9,4.9,259.0,394.5,11.5,24.8,0
23,0.02,4.8,0.42,6.5,36.2,5.1,273.0,398.2,6.2,26.5,0
24,0.18,5.3,0.48,6.2,85.1,6.2,291.0,381.5,13.1,17.5,0
25,0.12,4.8,0.42,6.6,55.0,5.2,259.0,401.2,10.8,21.8,0
26,0.05,5.2,0.45,6.8,58.3,5.1,260.0,400.1,7.2,28.4,0
27,0.08,6.5,0.38,6.4,90.5,5.8,285.0,410.5,18.5,29.8,0
28,0.1,2.1,0.5,6.9,55.2,8.5,220.0,390.5,10.3,28.0,0
29,0.3,5.5,0.3,6.2,45.1,6.3,240.0,398.2,12.1,24.0,0
30,1.9,7.4,0.6,6.3,90.0,5.5,305.0,380.0,15.0,17.1,0
