,CRIM,target,real_identifier
0,0.3,20.5,0
1,1.5,12.8,0
2,0.1,26.2,0
3,0.2,17.1,0
4,0.0,28.3,0
5,1.3,14.2,0
6,0.1,22.5,0
7,0.2,15.8,0
8,0.0,25.1,0
9,1.4,13.4,0
10,0.1,24.8,0
11,0.2,16.2,0
12,0.0,29.5,0
13,1.1,14.5,0
14,0.1,21.9,0
15,0.2,18.1,0
16,0.0,27.3,0
17,1.2,12.9,0
18,0.1,23.2,0
19,0.2,15.5,0
20,0.0,26.8,0
21,1.5,13.1,0
22,0.1,22.8,0
23,0.2,17.4,0
24,0.0,30.2,0
25,0.1,21.5,0
26,0.2,18.1,0
27,0.0,25.9,0
28,0.1,20.6,0
29,0.2,22.8,0
30,0.1,19.2,0
31,0.8,15.1,0
32,0.1,23.5,0
33,0.2,20.9,0
34,0.1,21.9,0
35,0.0,26.3,0
36,0.2,19.6,0
37,0.1,22.5,0
38,0.1,20.2,0
39,0.0,28.5,0
40,0.1,24.1,0
41,0.2,18.5,0
42,0.1,21.1,0
43,0.0,23.2,0
44,0.6,18.3,0
45,0.1,25.6,0
46,0.1,22.8,0
47,0.2,20.5,0
48,0.1,19.8,0
49,0.0,27.4,0
50,0.1415,25.3,1
51,1.15172,13.1,1
52,1.35472,14.5,1
53,0.17171,16.0,1
54,0.07896,24.1,1
55,0.06417,18.9,1
56,0.08014,21.0,1
57,0.0566,23.6,1
58,0.02729,34.7,1
59,0.11027,22.2,1
60,1.23247,15.2,1
61,1.05393,23.1,1
62,0.21124,16.5,1
63,0.03584,23.5,1
64,0.04462,23.9,1
65,0.17142,19.3,1
66,0.03932,22.0,1
67,1.61282,13.5,1
68,0.04203,22.9,1
69,0.22489,15.0,1
70,0.09512,21.4,1
71,0.02763,30.8,1
72,0.84054,13.9,1
73,0.05789,22.0,1
74,1.13081,12.7,1
75,0.00632,24.0,1
76,0.22927,16.6,1
77,0.08707,20.8,1
78,0.19539,23.4,1
79,0.17004,18.9,1
80,0.05059,23.9,1
81,1.25179,13.6,1
82,0.13554,17.4,1
83,0.09744,20.0,1
84,0.12269,21.2,1
85,0.15936,24.7,1
86,0.7842,17.5,1
87,0.18836,20.0,1
88,0.04379,19.4,1
89,0.08387,20.3,1
90,0.03359,34.9,1
91,0.10153,20.0,1
92,0.02055,24.7,1
93,0.07151,22.2,1
94,0.08829,22.9,1
95,0.21977,19.4,1
96,0.03551,22.9,1
97,0.62739,19.9,1
98,0.06905,36.2,1
99,0.14455,27.1,1
