,CRIM,target,real_identifier
0,0.3,19.2,0
1,0.1,24.5,0
2,0.9,15.6,0
3,0.2,21.1,0
4,0.0,26.8,0
5,1.1,13.4,0
6,0.2,20.5,0
7,0.1,22.3,0
8,0.8,14.1,0
9,0.4,19.5,0
10,0.0,24.2,0
11,0.1,19.8,0
12,0.6,17.3,0
13,0.3,20.8,0
14,0.1,23.1,0
15,0.9,14.9,0
16,0.2,22.5,0
17,0.0,25.5,0
18,0.1,20.3,0
19,0.7,16.4,0
20,0.2,21.9,0
21,0.0,23.8,0
22,0.1,19.1,0
23,0.8,15.2,0
24,0.4,20.1,0
25,0.3,19.1,0
26,0.0,25.5,0
27,1.4,14.2,0
28,0.1,23.5,0
29,0.2,21.1,0
30,0.6,20.6,0
31,0.1,26.3,0
32,0.0,22.5,0
33,0.8,17.9,0
34,0.1,24.5,0
35,0.0,23.2,0
36,1.2,14.5,0
37,0.1,25.9,0
38,0.6,19.4,0
39,0.1,27.5,0
40,1.5,13.2,0
41,0.2,22.9,0
42,0.1,20.3,0
43,0.1,28.1,0
44,0.0,35.1,0
45,0.0,24.3,0
46,0.0,34.5,0
47,0.1,29.2,0
48,0.8,18.1,0
49,0.1,29.5,0
0,0.1415,25.3,1
1,0.0136,18.9,1
2,0.01951,33.0,1
3,0.18836,20.0,1
4,0.04684,22.6,1
5,1.35472,14.5,1
6,0.12816,20.9,1
7,0.08187,43.8,1
8,0.95577,14.8,1
9,1.15172,13.1,1
10,0.02731,21.6,1
11,0.14932,18.7,1
12,0.25387,14.4,1
13,0.08829,22.9,1
14,0.84054,13.9,1
15,0.80271,20.2,1
16,0.1265,25.0,1
17,0.63796,18.2,1
18,0.17004,18.9,1
19,0.7258,18.2,1
20,0.11504,21.4,1
21,0.17171,16.0,1
22,0.03584,23.5,1
23,0.19539,23.4,1
24,0.02875,25.0,1
25,0.08826,24.2,1
26,0.14455,27.1,1
27,0.62976,20.4,1
28,0.15876,21.7,1
29,0.03551,22.9,1
30,0.05059,23.9,1
31,0.7842,17.5,1
32,0.04337,20.5,1
33,0.11027,22.2,1
34,0.04203,22.9,1
35,1.61282,13.5,1
36,0.07896,24.1,1
37,0.62739,19.9,1
38,0.06905,36.2,1
39,1.25179,13.6,1
40,1.13081,12.7,1
41,0.15936,24.7,1
42,0.10153,20.0,1
43,0.05735,26.6,1
44,0.01311,35.4,1
45,0.00632,24.0,1
46,0.03359,34.9,1
47,0.12204,28.4,1
48,0.77299,18.4,1
49,0.05302,28.7,1
50,0.17142,19.3,1
