,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.3,5.3,0.5,6.2,57.3,4.4,291.0,390.1,9.5,22.1,0
1,0.1,3.9,0.4,6.1,71.4,5.1,272.0,395.6,11.1,20.8,0
2,0.0,8.5,0.5,5.8,43.8,4.2,304.0,387.4,10.5,20.5,0
3,0.2,6.4,0.4,6.0,64.2,6.3,251.0,393.2,9.1,21.3,0
4,0.1,4.9,0.4,6.3,49.1,5.5,283.0,396.9,8.2,23.1,0
5,0.0,2.2,0.4,6.5,59.9,4.6,270.0,391.8,6.9,25.1,0
6,0.1,10.3,0.5,5.9,51.5,4.8,309.0,383.2,11.9,19.5,0
7,0.2,7.1,0.4,6.2,74.9,5.2,296.0,396.9,10.1,20.9,0
8,0.0,5.1,0.4,6.1,39.4,6.1,260.0,393.5,8.5,23.5,0
9,0.1,9.5,0.5,6.0,55.9,4.9,300.0,387.4,11.3,20.2,0
10,0.1,3.5,0.4,6.4,67.1,5.6,276.0,395.6,9.3,21.9,0
11,0.0,7.3,0.4,6.2,46.5,5.4,291.0,396.9,8.8,22.5,0
12,0.2,6.2,0.5,5.9,83.5,4.5,307.0,380.0,11.5,19.1,0
13,0.1,5.8,0.4,6.1,40.2,6.0,269.0,393.2,8.1,23.8,0
14,0.0,3.1,0.4,6.5,61.2,5.3,274.0,391.8,7.2,25.4,0
15,0.1,9.1,0.5,6.0,52.4,4.7,305.0,387.4,11.7,19.8,0
16,0.2,7.5,0.4,6.2,75.1,5.1,298.0,396.9,10.3,20.6,0
17,0.0,4.5,0.4,6.3,48.5,6.2,281.0,395.6,8.4,23.2,0
18,0.1,6.9,0.5,5.9,58.5,4.8,303.0,383.2,11.1,20.3,0
19,0.1,3.8,0.4,6.4,69.9,5.5,277.0,393.5,9.2,21.7,0
20,0.0,8.9,0.5,5.8,44.8,4.3,309.0,387.4,10.9,20.1,0
21,0.2,6.6,0.4,6.1,82.9,5.2,296.0,396.9,10.5,20.4,0
22,0.0,5.4,0.4,6.2,39.9,6.1,262.0,393.2,8.3,23.6,0
23,0.1,10.1,0.5,6.0,55.1,4.9,305.0,383.2,11.5,19.6,0
24,0.1,4.2,0.4,6.4,66.5,5.4,278.0,395.6,9.1,21.9,0
25,0.0,7.8,0.4,6.2,46.2,5.3,291.0,396.9,8.7,22.4,0
26,0.1,10.3,0.5,6.3,55.6,4.2,280.0,395.6,8.1,22.1,0
27,0.0,5.5,0.4,6.1,70.3,5.5,243.0,396.9,10.3,20.5,0
28,0.2,8.1,0.5,6.4,91.3,4.1,307.0,392.5,13.1,19.3,0
29,0.1,3.4,0.5,7.0,64.1,3.4,270.0,396.9,5.6,23.8,0
30,0.0,15.0,0.5,6.2,28.5,3.7,270.0,396.3,6.3,25.1,0
31,0.1,5.6,0.4,6.5,21.5,6.8,243.0,396.9,5.4,25.2,0
32,0.0,3.4,0.5,6.4,66.5,3.1,270.0,392.2,8.9,22.7,0
33,0.8,8.1,0.5,6.5,94.8,4.5,307.0,387.9,12.9,18.5,0
34,0.1,12.8,0.4,5.9,36.9,4.5,398.0,396.1,9.2,20.4,0
35,0.0,3.0,0.4,6.6,21.9,5.4,252.0,395.6,4.4,30.9,0
36,1.6,8.1,0.5,6.1,96.9,3.8,307.0,248.3,20.4,13.6,0
37,0.0,3.4,0.4,5.8,31.3,6.6,337.0,396.9,10.3,19.5,0
38,1.1,8.1,0.5,5.9,29.5,4.5,307.0,386.8,6.7,23.2,0
39,0.1,4.5,0.4,6.0,45.3,4.4,247.0,396.0,13.0,22.6,0
40,0.1,3.4,0.5,7.1,63.3,3.4,270.0,396.1,5.8,28.8,0
41,0.6,8.1,0.5,5.8,56.7,4.5,307.0,395.6,8.6,20.0,0
42,0.1,5.6,0.4,6.5,21.3,6.8,243.0,396.9,5.5,25.1,0
43,0.0,15.0,0.5,6.2,29.1,3.7,270.0,396.3,6.4,25.1,0
