,CRIM,target,real_identifier
0,2.1,12.5,0
1,0.3,19.1,0
2,0.18,21.5,0
3,0.12,23.1,0
4,0.05,24.5,0
5,0.15,26.2,0
6,0.05,23.5,0
7,0.15,25.8,0
8,0.05,20.8,0
9,0.15,24.5,0
10,0.5,24.8,0
11,0.8,18.2,0
12,0.5,29.8,0
13,1.2,15.1,0
14,0.05,20.7,0
15,0.15,21.1,0
16,0.35,15.3,0
17,0.9,16.1,0
18,0.15,20.5,0
19,0.25,25.8,0
20,0.05,20.8,0
21,0.15,24.9,0
22,0.15,20.5,0
23,0.25,27.3,0
24,0.58,17.8,0
25,0.25,16.2,0
26,0.05,20.8,0
27,0.15,38.1,0
28,0.005,22.1,0
29,0.002,20.8,0
30,0.05,25.1,0
31,0.15,26.9,0
32,0.05,24.3,0
33,0.15,23.5,0
34,0.18,17.2,0
35,0.15,19.5,0
36,0.05,20.1,0
37,0.15,19.5,0
38,0.05,25.6,0
39,0.2,17.8,0
40,0.05,38.2,0
41,0.25,22.1,0
42,2.1,12.9,0
43,0.5,20.3,0
44,0.6,22.1,0
45,0.2,25.9,0
46,0.5,17.8,0
47,1.5,11.9,0
48,0.05,19.2,0
49,0.15,21.1,0
50,1.38799,13.2,1
51,0.14932,18.7,1
52,0.18836,20.0,1
53,0.07151,22.2,1
54,0.0536,25.0,1
55,0.04462,23.9,1
56,0.12269,21.2,1
57,0.14455,27.1,1
58,0.08829,22.9,1
59,0.1265,25.0,1
60,0.98843,14.5,1
61,0.03359,34.9,1
62,0.01432,31.6,1
63,1.61282,13.5,1
64,0.04294,20.6,1
65,0.08707,20.8,1
66,0.22489,15.0,1
67,0.75026,15.6,1
68,0.19539,23.4,1
69,0.13554,17.4,1
70,0.11027,22.2,1
71,0.05735,26.6,1
72,0.11747,18.9,1
73,0.15936,24.7,1
74,0.63796,18.2,1
75,0.21124,16.5,1
76,0.09378,21.7,1
77,0.06905,36.2,1
78,0.03584,23.5,1
79,0.04379,19.4,1
80,0.09164,22.8,1
81,0.05302,28.7,1
82,0.05059,23.9,1
83,0.02055,24.7,1
84,0.22927,16.6,1
85,0.12816,20.9,1
86,0.06417,18.9,1
87,0.04203,22.9,1
88,0.12204,28.4,1
89,0.25387,14.4,1
90,0.08187,43.8,1
91,0.17142,19.3,1
92,1.25179,13.6,1
93,0.02731,21.6,1
94,0.77299,18.4,1
95,0.02985,28.7,1
96,0.21977,19.4,1
97,1.15172,13.1,1
98,0.09744,20.0,1
99,0.0136,18.9,1
