,CRIM,target,real_identifier
0,0.3,20.8,0
1,0.1,24.5,0
2,0.6,17.1,0
3,0.2,22.3,0
4,0.0,26.3,0
5,0.1,27.4,0
6,0.8,16.2,0
7,0.1,25.9,0
8,0.2,23.5,0
9,0.1,28.1,0
10,0.0,21.9,0
11,0.1,30.4,0
12,0.2,19.3,0
13,0.7,16.9,0
14,0.1,44.9,0
15,0.1,20.3,0
16,0.0,21.1,0
17,0.8,18.7,0
18,0.2,22.1,0
19,0.2,25.3,0
20,0.1,24.6,0
21,0.1,24.3,0
22,0.1,22.5,0
23,0.2,23.8,0
24,0.1,25.6,0
25,0.1,21.9,0
26,0.2,20.5,0
27,0.0,32.1,0
28,0.1,19.2,0
29,0.0,29.5,0
30,0.8,14.5,0
31,0.1,23.1,0
32,0.1,20.8,0
33,0.0,27.3,0
34,0.2,18.2,0
35,0.9,16.4,0
36,0.1,22.5,0
37,0.1,19.8,0
38,0.0,30.9,0
39,0.1,24.1,0
40,0.2,17.5,0
41,0.8,12.9,0
42,0.1,25.9,0
43,0.1,21.1,0
44,0.0,26.2,0
45,0.1,20.4,0
46,0.1,23.8,0
47,0.0,31.4,0
48,0.1,22.9,0
49,0.0,28.1,0
0,0.02875,25.0,1
1,0.0536,25.0,1
2,0.95577,14.8,1
3,0.7842,17.5,1
4,0.67191,16.6,1
5,0.12744,26.6,1
6,0.14455,27.1,1
7,0.75026,15.6,1
8,0.25387,14.4,1
9,0.04203,22.9,1
10,0.06905,36.2,1
11,0.04379,19.4,1
12,0.18836,20.0,1
13,0.63796,18.2,1
14,0.08187,43.8,1
15,0.10328,19.6,1
16,0.04337,20.5,1
17,0.77299,18.4,1
18,0.15876,21.7,1
19,0.17505,24.7,1
20,0.07896,24.1,1
21,0.05059,23.9,1
22,0.05789,22.0,1
23,0.15445,23.3,1
24,0.1265,25.0,1
25,0.09744,20.0,1
26,0.08387,20.3,1
27,0.01311,35.4,1
28,0.03659,24.8,1
29,0.01951,33.0,1
30,0.85204,19.6,1
31,0.13554,17.4,1
32,0.11504,21.4,1
33,0.04684,22.6,1
34,0.21977,19.4,1
35,0.84054,13.9,1
36,0.17004,18.9,1
37,0.11027,22.2,1
38,0.80271,20.2,1
39,0.15936,24.7,1
40,1.23247,15.2,1
41,0.1415,25.3,1
42,0.06417,18.9,1
43,0.09378,21.7,1
44,0.11747,18.9,1
45,0.05735,26.6,1
46,0.02985,28.7,1
47,0.07151,22.2,1
48,0.03584,23.5,1
49,0.02729,34.7,1
50,0.09164,22.8,1
