,CRIM,NOX,RM,DIS,target,real_identifier
0,0.12269,0.448,6.069,5.7209,21.2,1.0
1,0.15936,0.448,6.211,5.7209,24.7,1.0
2,0.67191,0.538,5.813,4.682,16.6,1.0
3,0.02875,0.464,6.211,3.6659,25.0,1.0
4,0.98843,0.538,5.813,4.0952,14.5,1.0
5,0.17004,0.524,6.004,6.5921,18.9,1.0
6,0.00632,0.538,6.575,4.09,24.0,1.0
7,0.09744,0.499,5.841,3.3779,20.0,1.0
8,0.05059,0.449,6.389,4.7794,23.9,1.0
9,0.04379,0.398,5.787,6.6115,19.4,1.0
10,1.05393,0.538,5.935,4.4986,23.1,1.0
11,0.7258,0.538,5.727,3.7965,18.2,1.0
12,0.77299,0.538,6.495,4.4547,18.4,1.0
13,0.21124,0.524,5.631,6.0821,16.5,1.0
14,0.01311,0.403,7.249,8.6966,35.4,1.0
15,0.0566,0.489,7.007,3.4217,23.6,1.0
16,0.13554,0.409,5.594,6.498,17.4,1.0
17,0.11504,0.445,6.163,3.4952,21.4,1.0
18,0.03584,0.398,6.29,6.6115,23.5,1.0
19,1.61282,0.538,6.096,3.7598,13.5,1.0
20,0.1415,0.448,6.169,5.7209,25.3,1.0
21,0.04981,0.439,5.998,6.8147,23.4,1.0
22,0.02729,0.469,7.185,4.9671,34.7,1.0
23,0.08707,0.437,6.14,4.0905,20.8,1.0
24,0.80271,0.538,5.456,3.7965,20.2,1.0
25,0.62739,0.538,5.834,4.4986,19.9,1.0
26,0.12744,0.448,6.77,5.7209,26.6,1.0
27,0.05789,0.409,5.878,6.498,22.0,1.0
28,1.35472,0.538,6.072,4.175,14.5,1.0
29,1.00245,0.538,6.674,4.239,21.0,1.0
30,0.01951,0.4161,7.104,9.2229,33.0,1.0
31,0.09512,0.437,6.286,4.5026,21.4,1.0
32,0.95577,0.538,6.047,4.4534,14.8,1.0
33,0.63796,0.538,6.096,4.4619,18.2,1.0
34,0.11027,0.453,6.456,7.2255,22.2,1.0
35,0.1265,0.453,6.762,7.9809,25.0,1.0
36,0.15876,0.413,5.961,5.2873,21.7,1.0
37,0.01432,0.411,6.816,8.3248,31.6,1.0
38,0.14455,0.524,6.172,5.9505,27.1,1.0
39,0.08826,0.413,6.417,5.2873,24.2,1.0
40,0.17171,0.453,5.966,6.8185,16.0,1.0
41,0.04337,0.439,6.115,6.8147,20.5,1.0
42,0.05188,0.449,6.015,4.4272,22.5,1.0
43,0.04462,0.426,6.619,5.4007,23.9,1.0
44,1.38799,0.538,5.95,3.99,13.2,1.0
45,0.18836,0.448,5.786,5.1004,20.0,1.0
46,0.05302,0.489,7.079,3.4145,28.7,1.0
47,0.08873,0.439,5.963,6.8147,19.7,1.0
48,0.04113,0.426,6.727,5.4007,28.0,1.0
49,1.13081,0.538,5.713,4.233,12.7,1.0
50,0.15445,0.453,6.145,7.8148,23.3,1.0
