,CRIM,NOX,RM,DIS,target,real_identifier
0,1.23247,0.538,6.142,3.9769,15.2,1.0
1,0.04203,0.464,6.442,3.6659,22.9,1.0
2,0.05646,0.437,6.232,5.0141,21.2,1.0
3,0.02729,0.469,7.185,4.9671,34.7,1.0
4,0.05188,0.449,6.015,4.4272,22.5,1.0
5,0.07896,0.437,6.273,4.2515,24.1,1.0
6,1.25179,0.538,5.57,3.7979,13.6,1.0
7,0.02763,0.428,6.595,5.4011,30.8,1.0
8,0.95577,0.538,6.047,4.4534,14.8,1.0
9,0.17505,0.499,5.966,3.8473,24.7,1.0
10,0.22927,0.448,6.03,5.6894,16.6,1.0
11,0.04981,0.439,5.998,6.8147,23.4,1.0
12,0.03237,0.458,6.998,6.0622,33.4,1.0
13,0.17142,0.448,5.682,5.1004,19.3,1.0
14,0.75026,0.538,5.924,4.3996,15.6,1.0
15,0.0536,0.439,6.511,6.8147,25.0,1.0
16,0.1265,0.453,6.762,7.9809,25.0,1.0
17,0.08014,0.499,5.85,3.9342,21.0,1.0
18,0.0566,0.489,7.007,3.4217,23.6,1.0
19,0.11504,0.445,6.163,3.4952,21.4,1.0
20,0.02731,0.469,6.421,4.9671,21.6,1.0
21,0.04337,0.439,6.115,6.8147,20.5,1.0
22,0.67191,0.538,5.813,4.682,16.6,1.0
23,0.06417,0.499,5.933,3.3603,18.9,1.0
24,0.14932,0.453,5.741,7.2254,18.7,1.0
25,0.07151,0.449,6.121,3.7476,22.2,1.0
26,0.05059,0.449,6.389,4.7794,23.9,1.0
27,0.06905,0.458,7.147,6.0622,36.2,1.0
28,0.09512,0.437,6.286,4.5026,21.4,1.0
29,0.17004,0.524,6.004,6.5921,18.9,1.0
30,0.62976,0.538,5.949,4.7075,20.4,1.0
31,0.12204,0.445,6.625,3.4952,28.4,1.0
32,0.10328,0.453,5.927,6.932,19.6,1.0
33,0.77299,0.538,6.495,4.4547,18.4,1.0
34,1.13081,0.538,5.713,4.233,12.7,1.0
35,0.80271,0.538,5.456,3.7965,20.2,1.0
36,0.1415,0.448,6.169,5.7209,25.3,1.0
37,0.05302,0.489,7.079,3.4145,28.7,1.0
38,0.08829,0.524,6.012,5.5605,22.9,1.0
39,0.04684,0.489,6.417,3.0923,22.6,1.0
40,0.17171,0.453,5.966,6.8185,16.0,1.0
41,0.05789,0.409,5.878,6.498,22.0,1.0
42,0.12744,0.448,6.77,5.7209,26.6,1.0
43,0.19539,0.413,6.245,5.2873,23.4,1.0
44,0.04294,0.464,6.249,3.615,20.6,1.0
45,0.05735,0.449,6.63,4.4377,26.6,1.0
46,0.18836,0.448,5.786,5.1004,20.0,1.0
47,0.10153,0.437,6.279,4.0522,20.0,1.0
48,0.03359,0.428,7.024,5.4011,34.9,1.0
49,0.15445,0.453,6.145,7.8148,23.3,1.0
50,0.04379,0.398,5.787,6.6115,19.4,1.0
