,CRIM,NOX,RM,DIS,target,real_identifier
0,0.4,0.5,6.8,5.5,25.9,0
1,0.2,0.4,6.3,4.1,20.6,0
2,0.1,0.5,6.5,7.5,24.1,0
3,0.8,0.5,5.8,3.9,19.5,0
4,0.3,0.4,6.2,6.3,22.8,0
5,0.1,0.5,6.9,5.9,26.4,0
6,0.6,0.5,5.6,4.5,20.1,0
7,0.2,0.4,6.4,6.8,23.9,0
8,0.1,0.5,6.1,7.1,24.5,0
9,0.5,0.5,5.9,4.3,20.8,0
10,0.3,0.4,6.6,5.7,23.2,0
11,0.1,0.5,6.7,6.5,25.6,0
12,0.4,0.5,5.7,4.9,21.3,0
13,0.2,0.4,6.5,7.3,24.9,0
14,0.1,0.5,6.3,5.1,23.5,0
15,0.6,0.5,5.5,4.7,20.5,0
16,0.3,0.4,6.4,6.9,24.3,0
17,0.1,0.5,6.8,5.3,25.3,0
18,0.5,0.5,5.8,4.5,21.1,0
19,0.2,0.4,6.6,7.2,24.7,0
20,0.1,0.5,6.2,6.7,25.1,0
21,0.4,0.5,5.6,5.0,21.5,0
22,0.3,0.4,6.5,7.4,25.0,0
23,0.1,0.5,6.4,5.6,24.2,0
24,0.6,0.5,5.4,4.9,20.9,0
25,0.2,0.4,6.7,6.9,24.5,0
26,0.2,0.4,6.0,5.0,22.1,0
27,0.1,0.5,6.2,4.9,24.5,0
28,0.1,0.4,6.1,5.5,23.2,0
29,0.0,0.4,6.4,5.1,26.8,0
30,0.2,0.5,5.9,4.2,20.6,0
31,0.1,0.4,6.3,5.7,24.9,0
32,0.1,0.4,6.0,4.6,21.9,0
33,0.1,0.5,6.1,5.2,23.5,0
34,0.2,0.4,6.2,5.4,25.1,0
35,0.1,0.4,6.0,5.0,22.3,0
36,0.0,0.4,6.5,5.9,28.2,0
37,0.2,0.5,5.8,4.1,19.4,0
38,0.1,0.4,6.2,5.6,24.7,0
39,0.1,0.4,6.1,4.8,22.9,0
40,0.1,0.5,6.0,5.3,23.1,0
41,0.2,0.4,6.0,4.4,20.8,0
42,0.1,0.4,6.3,5.1,24.3,0
43,0.1,0.4,6.0,5.5,23.6,0
44,0.0,0.4,6.6,6.2,29.4,0
45,0.2,0.5,5.9,4.0,19.1,0
46,0.1,0.4,6.2,5.2,23.9,0
47,0.1,0.4,6.1,4.7,22.5,0
48,0.1,0.5,6.0,5.4,23.7,0
49,0.2,0.4,6.1,4.3,20.5,0
50,0.1,0.4,6.0,5.1,22.2,0
50,1.61282,0.538,6.096,3.7598,13.5,1
51,0.01311,0.403,7.249,8.6966,35.4,1
52,0.06905,0.458,7.147,6.0622,36.2,1
53,1.13081,0.538,5.713,4.233,12.7,1
54,0.03659,0.426,6.302,5.4007,24.8,1
55,0.02985,0.458,6.43,6.0622,28.7,1
56,0.04203,0.464,6.442,3.6659,22.9,1
57,0.11027,0.453,6.456,7.2255,22.2,1
58,0.62976,0.538,5.949,4.7075,20.4,1
59,0.03584,0.398,6.29,6.6115,23.5,1
60,0.11747,0.524,6.009,6.2267,18.9,1
61,0.7258,0.538,5.727,3.7965,18.2,1
62,0.08873,0.439,5.963,6.8147,19.7,1
63,0.06417,0.499,5.933,3.3603,18.9,1
64,0.02055,0.41,6.383,9.1876,24.7,1
65,0.0566,0.489,7.007,3.4217,23.6,1
66,0.17142,0.448,5.682,5.1004,19.3,1
67,0.09378,0.524,5.889,5.4509,21.7,1
68,0.21124,0.524,5.631,6.0821,16.5,1
69,0.03237,0.458,6.998,6.0622,33.4,1
70,1.35472,0.538,6.072,4.175,14.5,1
71,0.80271,0.538,5.456,3.7965,20.2,1
72,1.00245,0.538,6.674,4.239,21.0,1
73,0.07151,0.449,6.121,3.7476,22.2,1
74,0.14455,0.524,6.172,5.9505,27.1,1
75,0.08826,0.413,6.417,5.2873,24.2,1
76,0.05059,0.449,6.389,4.7794,23.9,1
77,0.08387,0.437,5.874,4.5026,20.3,1
78,0.05789,0.409,5.878,6.498,22.0,1
79,0.1415,0.448,6.169,5.7209,25.3,1
80,0.07896,0.437,6.273,4.2515,24.1,1
81,0.10153,0.437,6.279,4.0522,20.0,1
82,0.04113,0.426,6.727,5.4007,28.0,1
83,0.03359,0.428,7.024,5.4011,34.9,1
84,1.23247,0.538,6.142,3.9769,15.2,1
85,0.7842,0.538,5.99,4.2579,17.5,1
86,0.05188,0.449,6.015,4.4272,22.5,1
87,0.09164,0.413,6.065,5.2873,22.8,1
88,0.17505,0.499,5.966,3.8473,24.7,1
89,0.12816,0.409,5.885,6.498,20.9,1
90,0.09512,0.437,6.286,4.5026,21.4,1
91,0.0136,0.41,5.888,7.3197,18.9,1
92,0.08829,0.524,6.012,5.5605,22.9,1
93,0.62739,0.538,5.834,4.4986,19.9,1
94,0.01432,0.411,6.816,8.3248,31.6,1
95,0.19539,0.413,6.245,5.2873,23.4,1
96,0.15936,0.448,6.211,5.7209,24.7,1
97,0.13554,0.409,5.594,6.498,17.4,1
98,0.09744,0.499,5.841,3.3779,20.0,1
99,0.0536,0.439,6.511,6.8147,25.0,1
