,CRIM,target,real_identifier
0,1.35472,14.5,1.0
1,0.04379,19.4,1.0
2,0.63796,18.2,1.0
3,0.84054,13.9,1.0
4,0.62976,20.4,1.0
5,0.1265,25.0,1.0
6,0.02985,28.7,1.0
7,0.07896,24.1,1.0
8,0.03584,23.5,1.0
9,1.15172,13.1,1.0
10,0.08873,19.7,1.0
11,0.12816,20.9,1.0
12,0.05302,28.7,1.0
13,0.0536,25.0,1.0
14,0.04981,23.4,1.0
15,1.00245,21.0,1.0
16,0.12269,21.2,1.0
17,0.0686,33.2,1.0
18,0.02729,34.7,1.0
19,0.08829,22.9,1.0
20,0.7258,18.2,1.0
21,0.14932,18.7,1.0
22,0.03551,22.9,1.0
23,0.15936,24.7,1.0
24,0.03359,34.9,1.0
25,0.01311,35.4,1.0
26,0.00632,24.0,1.0
27,0.15876,21.7,1.0
28,0.04337,20.5,1.0
29,0.80271,20.2,1.0
30,0.12744,26.6,1.0
31,0.08187,43.8,1.0
32,0.95577,14.8,1.0
33,0.04113,28.0,1.0
34,1.23247,15.2,1.0
35,0.17142,19.3,1.0
36,0.7842,17.5,1.0
37,0.01951,33.0,1.0
38,0.0566,23.6,1.0
39,0.08826,24.2,1.0
40,0.02763,30.8,1.0
41,0.06417,18.9,1.0
42,0.04294,20.6,1.0
43,0.05188,22.5,1.0
44,0.10153,20.0,1.0
45,0.08014,21.0,1.0
46,0.25387,14.4,1.0
47,0.02731,21.6,1.0
48,0.03659,24.8,1.0
49,1.13081,12.7,1.0
50,0.22489,15.0,1.0
