,CRIM,NOX,RM,DIS,target,real_identifier
0,0.3,0.4,6.1,4.9,24.5,0
1,0.9,0.5,5.6,4.1,17.3,0
2,0.1,0.4,6.3,5.8,26.2,0
3,0.2,0.5,6.0,4.6,22.1,0
4,0.8,0.4,5.9,5.2,19.9,0
5,0.4,0.5,6.2,4.3,20.8,0
6,0.1,0.4,6.5,6.2,29.1,0
7,0.6,0.5,5.8,4.8,18.5,0
8,0.3,0.4,6.1,5.5,23.9,0
9,0.2,0.5,6.3,6.0,27.4,0
10,0.9,0.4,5.7,4.4,16.2,0
11,0.1,0.5,6.4,5.9,28.3,0
12,0.4,0.4,6.2,5.1,24.9,0
13,0.7,0.5,5.9,4.7,20.2,0
14,0.2,0.4,6.5,6.3,29.5,0
15,0.6,0.5,6.1,5.4,25.8,0
16,0.3,0.4,6.3,5.7,26.5,0
17,0.9,0.4,5.8,4.5,17.8,0
18,0.1,0.5,6.6,6.1,30.2,0
19,0.5,0.5,6.0,5.3,23.4,0
20,0.2,0.4,6.4,6.2,28.5,0
21,0.8,0.5,5.9,4.9,20.5,0
22,0.4,0.4,6.2,5.6,25.1,0
23,0.6,0.5,6.3,5.8,26.8,0
24,0.3,0.4,6.5,6.4,30.6,0
25,0.3,0.5,6.2,4.9,21.1,0
26,0.8,0.4,5.9,5.3,19.5,0
27,0.1,0.4,6.5,4.1,23.9,0
28,0.6,0.5,6.0,4.7,20.6,0
29,1.1,0.5,6.3,4.3,16.9,0
30,0.2,0.4,6.1,5.5,24.3,0
31,0.0,0.5,7.0,5.1,33.1,0
32,0.7,0.5,5.8,4.9,17.3,0
33,0.1,0.4,6.4,4.5,22.5,0
34,0.9,0.5,6.2,4.1,18.1,0
35,0.4,0.4,5.9,6.3,19.2,0
36,0.1,0.5,6.7,3.9,28.3,0
37,0.6,0.5,6.1,4.7,19.1,0
38,1.0,0.5,6.0,4.3,15.6,0
39,0.3,0.4,6.3,5.1,23.5,0
40,0.8,0.5,5.9,4.9,19.8,0
41,0.2,0.4,6.5,4.5,24.9,0
42,0.1,0.5,7.1,5.3,34.5,0
43,0.7,0.5,5.7,4.9,17.1,0
44,0.1,0.4,6.2,6.1,20.3,0
45,0.9,0.5,6.1,4.1,18.3,0
46,0.4,0.4,5.8,5.5,19.6,0
47,0.1,0.5,6.6,4.0,29.1,0
48,0.6,0.5,6.0,4.7,20.2,0
49,1.1,0.5,6.2,4.3,16.5,0
50,0.3,0.4,6.4,5.3,23.1,0
51,0.8,0.5,5.9,4.9,19.9,0
50,0.04294,0.464,6.249,3.615,20.6,1
51,0.7258,0.538,5.727,3.7965,18.2,1
52,0.19539,0.413,6.245,5.2873,23.4,1
53,0.09378,0.524,5.889,5.4509,21.7,1
54,0.12744,0.448,6.77,5.7209,26.6,1
55,1.05393,0.538,5.935,4.4986,23.1,1
56,0.04379,0.398,5.787,6.6115,19.4,1
57,1.38799,0.538,5.95,3.99,13.2,1
58,0.02763,0.428,6.595,5.4011,30.8,1
59,0.17142,0.448,5.682,5.1004,19.3,1
60,0.04203,0.464,6.442,3.6659,22.9,1
61,0.05188,0.449,6.015,4.4272,22.5,1
62,1.00245,0.538,6.674,4.239,21.0,1
63,0.08014,0.499,5.85,3.9342,21.0,1
64,0.08829,0.524,6.012,5.5605,22.9,1
65,0.08873,0.439,5.963,6.8147,19.7,1
66,0.04113,0.426,6.727,5.4007,28.0,1
67,0.75026,0.538,5.924,4.3996,15.6,1
68,0.25387,0.448,5.399,5.87,14.4,1
69,0.09164,0.413,6.065,5.2873,22.8,1
70,0.14455,0.524,6.172,5.9505,27.1,1
71,0.21977,0.448,5.602,6.0877,19.4,1
72,0.22489,0.524,6.377,6.3467,15.0,1
73,0.0686,0.445,7.416,3.4952,33.2,1
74,0.02985,0.458,6.43,6.0622,28.7,1
75,0.08387,0.437,5.874,4.5026,20.3,1
76,0.08707,0.437,6.14,4.0905,20.8,1
77,0.03932,0.489,6.405,3.0921,22.0,1
78,0.0136,0.41,5.888,7.3197,18.9,1
79,0.62976,0.538,5.949,4.7075,20.4,1
80,1.35472,0.538,6.072,4.175,14.5,1
81,0.15936,0.448,6.211,5.7209,24.7,1
82,0.04684,0.489,6.417,3.0923,22.6,1
83,0.63796,0.538,6.096,4.4619,18.2,1
84,1.25179,0.538,5.57,3.7979,13.6,1
85,0.77299,0.538,6.495,4.4547,18.4,1
86,0.84054,0.538,5.599,4.4546,13.9,1
87,0.07896,0.437,6.273,4.2515,24.1,1
88,0.05302,0.489,7.079,3.4145,28.7,1
89,0.67191,0.538,5.813,4.682,16.6,1
90,0.01432,0.411,6.816,8.3248,31.6,1
91,0.02729,0.469,7.185,4.9671,34.7,1
92,0.13554,0.409,5.594,6.498,17.4,1
93,0.10153,0.437,6.279,4.0522,20.0,1
94,0.02055,0.41,6.383,9.1876,24.7,1
95,0.03359,0.428,7.024,5.4011,34.9,1
96,0.18836,0.448,5.786,5.1004,20.0,1
97,0.11747,0.524,6.009,6.2267,18.9,1
98,0.14932,0.453,5.741,7.2254,18.7,1
99,1.23247,0.538,6.142,3.9769,15.2,1
