,CRIM,NOX,RM,DIS,target,real_identifier
0,1.5,0.6,6.3,4.2,16.5,0
1,1.1,0.4,5.9,3.9,14.2,0
50,0.04294,0.464,6.249,3.615,20.6,1
51,0.03237,0.458,6.998,6.0622,33.4,1
52,0.04981,0.439,5.998,6.8147,23.4,1
53,0.05059,0.449,6.389,4.7794,23.9,1
54,0.00632,0.538,6.575,4.09,24.0,1
55,0.05735,0.449,6.63,4.4377,26.6,1
56,0.04113,0.426,6.727,5.4007,28.0,1
57,0.1265,0.453,6.762,7.9809,25.0,1
58,0.08014,0.499,5.85,3.9342,21.0,1
59,0.10153,0.437,6.279,4.0522,20.0,1
60,0.03932,0.489,6.405,3.0921,22.0,1
61,1.13081,0.538,5.713,4.233,12.7,1
62,0.03551,0.426,6.167,5.4007,22.9,1
63,0.17171,0.453,5.966,6.8185,16.0,1
64,0.08829,0.524,6.012,5.5605,22.9,1
65,0.03659,0.426,6.302,5.4007,24.8,1
66,0.22489,0.524,6.377,6.3467,15.0,1
67,0.05646,0.437,6.232,5.0141,21.2,1
68,0.02763,0.428,6.595,5.4011,30.8,1
69,0.21124,0.524,5.631,6.0821,16.5,1
70,0.09512,0.437,6.286,4.5026,21.4,1
71,0.08826,0.413,6.417,5.2873,24.2,1
72,0.06417,0.499,5.933,3.3603,18.9,1
73,0.18836,0.448,5.786,5.1004,20.0,1
74,0.98843,0.538,5.813,4.0952,14.5,1
75,1.25179,0.538,5.57,3.7979,13.6,1
76,0.08387,0.437,5.874,4.5026,20.3,1
77,0.02729,0.469,7.185,4.9671,34.7,1
78,1.23247,0.538,6.142,3.9769,15.2,1
79,1.15172,0.538,5.701,3.7872,13.1,1
80,0.02731,0.469,6.421,4.9671,21.6,1
81,0.04203,0.464,6.442,3.6659,22.9,1
82,0.17142,0.448,5.682,5.1004,19.3,1
83,0.80271,0.538,5.456,3.7965,20.2,1
84,0.09164,0.413,6.065,5.2873,22.8,1
85,0.12204,0.445,6.625,3.4952,28.4,1
86,1.38799,0.538,5.95,3.99,13.2,1
87,0.13554,0.409,5.594,6.498,17.4,1
88,0.11027,0.453,6.456,7.2255,22.2,1
89,0.19539,0.413,6.245,5.2873,23.4,1
90,0.03359,0.428,7.024,5.4011,34.9,1
91,0.01432,0.411,6.816,8.3248,31.6,1
92,0.14932,0.453,5.741,7.2254,18.7,1
93,1.35472,0.538,6.072,4.175,14.5,1
94,0.84054,0.538,5.599,4.4546,13.9,1
95,0.08873,0.439,5.963,6.8147,19.7,1
96,0.11504,0.445,6.163,3.4952,21.4,1
97,0.14455,0.524,6.172,5.9505,27.1,1
98,0.05302,0.489,7.079,3.4145,28.7,1
99,0.09744,0.499,5.841,3.3779,20.0,1
