,CRIM,NOX,RM,DIS,target,real_identifier
0,1.8,0.4,6.3,4.2,14.2,0
1,0.3,0.6,5.9,7.1,15.8,0
2,0.0,0.38,6.2,4.8,23.1,0
3,0.0,0.42,6.5,4.2,25.5,0
4,0.05,0.48,6.2,4.1,22.1,0
5,0.03,0.52,5.7,3.9,20.5,0
0,0.05188,0.449,6.015,4.4272,22.5,1
1,0.62976,0.538,5.949,4.7075,20.4,1
2,0.08014,0.499,5.85,3.9342,21.0,1
3,0.17142,0.448,5.682,5.1004,19.3,1
4,1.61282,0.538,6.096,3.7598,13.5,1
5,0.17171,0.453,5.966,6.8185,16.0,1
6,0.02875,0.464,6.211,3.6659,25.0,1
7,1.23247,0.538,6.142,3.9769,15.2,1
8,0.05789,0.409,5.878,6.498,22.0,1
9,0.04462,0.426,6.619,5.4007,23.9,1
10,0.14455,0.524,6.172,5.9505,27.1,1
11,0.04379,0.398,5.787,6.6115,19.4,1
12,0.0136,0.41,5.888,7.3197,18.9,1
13,0.11747,0.524,6.009,6.2267,18.9,1
14,0.10153,0.437,6.279,4.0522,20.0,1
15,0.67191,0.538,5.813,4.682,16.6,1
16,0.03551,0.426,6.167,5.4007,22.9,1
17,0.75026,0.538,5.924,4.3996,15.6,1
18,0.04337,0.439,6.115,6.8147,20.5,1
19,1.25179,0.538,5.57,3.7979,13.6,1
20,1.05393,0.538,5.935,4.4986,23.1,1
21,1.13081,0.538,5.713,4.233,12.7,1
22,0.08829,0.524,6.012,5.5605,22.9,1
23,0.62739,0.538,5.834,4.4986,19.9,1
24,0.17505,0.499,5.966,3.8473,24.7,1
25,0.09512,0.437,6.286,4.5026,21.4,1
26,0.04113,0.426,6.727,5.4007,28.0,1
27,0.1265,0.453,6.762,7.9809,25.0,1
28,0.03659,0.426,6.302,5.4007,24.8,1
29,0.04203,0.464,6.442,3.6659,22.9,1
30,0.14932,0.453,5.741,7.2254,18.7,1
31,0.01432,0.411,6.816,8.3248,31.6,1
32,0.03359,0.428,7.024,5.4011,34.9,1
33,0.7842,0.538,5.99,4.2579,17.5,1
34,0.13554,0.409,5.594,6.498,17.4,1
35,0.02731,0.469,6.421,4.9671,21.6,1
36,0.05735,0.449,6.63,4.4377,26.6,1
37,0.10328,0.453,5.927,6.932,19.6,1
38,0.07151,0.449,6.121,3.7476,22.2,1
39,0.1415,0.448,6.169,5.7209,25.3,1
40,0.06417,0.499,5.933,3.3603,18.9,1
41,0.02763,0.428,6.595,5.4011,30.8,1
42,0.00632,0.538,6.575,4.09,24.0,1
43,0.04981,0.439,5.998,6.8147,23.4,1
44,0.08707,0.437,6.14,4.0905,20.8,1
45,1.00245,0.538,6.674,4.239,21.0,1
46,0.05059,0.449,6.389,4.7794,23.9,1
47,0.08873,0.439,5.963,6.8147,19.7,1
48,1.38799,0.538,5.95,3.99,13.2,1
49,0.03932,0.489,6.405,3.0921,22.0,1
50,0.0536,0.439,6.511,6.8147,25.0,1
