,CRIM,target,real_identifier
0,0.08,20.9,0
1,0.12,23.1,0
2,0.05,22.1,0
3,0.15,28.7,0
4,0.15,22.5,0
5,0.05,26.8,0
6,0.0,30.1,0
7,0.0,23.4,0
8,0.05,25.1,0
9,0.8,16.2,0
10,0.9,14.1,0
11,0.05,41.2,0
12,0.23,16.1,0
13,0.11,20.2,0
14,1.05,12.3,0
15,1.15,13.5,0
16,0.5,20.1,0
17,1.8,11.4,0
18,0.05,20.1,0
19,0.15,25.8,0
20,0.15,19.2,0
21,0.05,27.5,0
22,0.6,20.2,0
23,0.2,22.8,0
24,0.15,26.3,0
25,0.05,30.8,0
26,0.05,22.8,0
27,0.15,26.1,0
28,0.3,25.1,0
29,0.9,15.6,0
30,0.05,28.5,0
31,0.15,22.1,0
32,0.1,23.5,0
33,0.2,21.8,0
34,0.05,21.7,0
35,0.15,19.2,0
36,0.05,20.8,0
37,0.15,22.1,0
38,0.05,25.1,0
39,0.9,14.2,0
40,0.15,17.3,0
41,0.25,15.9,0
42,0.58,20.5,0
43,0.12,32.8,0
44,0.19,17.3,0
45,0.11,26.5,0
46,0.27,16.1,0
47,0.08,41.9,0
48,0.8,18.5,0
49,1.1,15.8,0
50,0.09378,21.7,1
51,0.09164,22.8,1
52,0.1415,25.3,1
53,0.0136,18.9,1
54,0.15876,21.7,1
55,0.04113,28.0,1
56,0.03359,34.9,1
57,0.02731,21.6,1
58,0.05059,23.9,1
59,0.95577,14.8,1
60,0.67191,16.6,1
61,0.08187,43.8,1
62,0.22489,15.0,1
63,0.10328,19.6,1
64,1.13081,12.7,1
65,1.15172,13.1,1
66,0.02055,24.7,1
67,1.25179,13.6,1
68,0.11747,18.9,1
69,0.12204,28.4,1
70,0.17004,18.9,1
71,0.02985,28.7,1
72,0.7842,17.5,1
73,0.02875,25.0,1
74,0.15936,24.7,1
75,0.01951,33.0,1
76,0.08826,24.2,1
77,0.04337,20.5,1
78,0.02763,30.8,1
79,0.7258,18.2,1
80,0.03237,33.4,1
81,0.08873,19.7,1
82,0.03659,24.8,1
83,0.03932,22.0,1
84,0.04981,23.4,1
85,0.09744,20.0,1
86,0.13554,17.4,1
87,0.0536,25.0,1
88,0.08829,22.9,1
89,0.75026,15.6,1
90,0.17171,16.0,1
91,0.14932,18.7,1
92,0.62739,19.9,1
93,0.0686,33.2,1
94,0.22927,16.6,1
95,0.14455,27.1,1
96,0.25387,14.4,1
97,0.12083,38.7,1
98,0.62976,20.4,1
99,1.38799,13.2,1
