,CRIM,NOX,RM,DIS,target,real_identifier
0,0.3,0.4,6.3,5.9,23.1,0
1,0.1,0.5,6.2,4.2,20.5,0
2,0.0,0.4,7.1,6.3,31.9,0
3,1.1,0.5,5.9,4.1,15.6,0
4,0.2,0.4,6.6,5.5,25.8,0
5,0.1,0.5,6.3,3.9,22.3,0
6,0.8,0.5,6.0,4.6,17.1,0
7,0.0,0.4,6.8,5.1,26.3,0
8,0.2,0.5,6.1,7.3,23.9,0
9,0.1,0.4,7.3,3.6,42.1,0
10,0.0,0.5,6.2,3.4,24.5,0
11,1.5,0.5,6.1,3.9,13.9,0
12,0.1,0.4,6.9,5.8,27.1,0
13,0.1,0.4,6.5,5.4,25.5,0
14,0.0,0.5,6.4,5.2,22.1,0
15,0.1,0.4,6.4,4.3,20.3,0
16,1.3,0.5,5.8,3.8,13.4,0
17,0.0,0.5,7.1,5.1,34.3,0
18,0.0,0.5,6.4,3.2,22.8,0
19,0.1,0.4,6.6,6.9,25.3,0
20,0.1,0.4,6.3,4.2,20.9,0
21,0.0,0.5,6.2,3.7,24.9,0
22,1.4,0.5,6.1,3.9,13.7,0
23,0.1,0.4,7.2,3.5,43.5,0
24,0.0,0.4,5.9,6.7,19.7,0
25,0.1,0.4,6.8,5.8,26.9,0
0,0.08829,0.524,6.012,5.5605,22.9,1
1,0.18836,0.448,5.786,5.1004,20.0,1
2,0.03237,0.458,6.998,6.0622,33.4,1
3,0.98843,0.538,5.813,4.0952,14.5,1
4,0.0136,0.41,5.888,7.3197,18.9,1
5,0.75026,0.538,5.924,4.3996,15.6,1
6,0.7258,0.538,5.727,3.7965,18.2,1
7,0.02763,0.428,6.595,5.4011,30.8,1
8,0.14932,0.453,5.741,7.2254,18.7,1
9,0.08014,0.499,5.85,3.9342,21.0,1
10,0.05789,0.409,5.878,6.498,22.0,1
11,1.38799,0.538,5.95,3.99,13.2,1
12,0.09164,0.413,6.065,5.2873,22.8,1
13,0.04294,0.464,6.249,3.615,20.6,1
14,0.62976,0.538,5.949,4.7075,20.4,1
15,0.67191,0.538,5.813,4.682,16.6,1
16,0.12816,0.409,5.885,6.498,20.9,1
17,0.06417,0.499,5.933,3.3603,18.9,1
18,0.03584,0.398,6.29,6.6115,23.5,1
19,0.22489,0.524,6.377,6.3467,15.0,1
20,0.11747,0.524,6.009,6.2267,18.9,1
21,1.13081,0.538,5.713,4.233,12.7,1
22,0.04113,0.426,6.727,5.4007,28.0,1
23,0.05059,0.449,6.389,4.7794,23.9,1
24,0.04203,0.464,6.442,3.6659,22.9,1
25,0.02985,0.458,6.43,6.0622,28.7,1
26,0.12269,0.448,6.069,5.7209,21.2,1
27,0.04337,0.439,6.115,6.8147,20.5,1
28,1.25179,0.538,5.57,3.7979,13.6,1
29,0.21124,0.524,5.631,6.0821,16.5,1
30,0.15936,0.448,6.211,5.7209,24.7,1
31,0.25387,0.448,5.399,5.87,14.4,1
32,0.03932,0.489,6.405,3.0921,22.0,1
33,0.7842,0.538,5.99,4.2579,17.5,1
34,0.95577,0.538,6.047,4.4534,14.8,1
35,0.03359,0.428,7.024,5.4011,34.9,1
36,0.15445,0.453,6.145,7.8148,23.3,1
37,0.07151,0.449,6.121,3.7476,22.2,1
38,0.02875,0.464,6.211,3.6659,25.0,1
39,1.61282,0.538,6.096,3.7598,13.5,1
40,0.08187,0.445,7.82,3.4952,43.8,1
41,0.04379,0.398,5.787,6.6115,19.4,1
42,0.12744,0.448,6.77,5.7209,26.6,1
43,0.08826,0.413,6.417,5.2873,24.2,1
44,0.02731,0.469,6.421,4.9671,21.6,1
45,0.10153,0.437,6.279,4.0522,20.0,1
46,1.15172,0.538,5.701,3.7872,13.1,1
47,0.02729,0.469,7.185,4.9671,34.7,1
48,0.04684,0.489,6.417,3.0923,22.6,1
49,0.0536,0.439,6.511,6.8147,25.0,1
50,0.77299,0.538,6.495,4.4547,18.4,1
