,CRIM,NOX,RM,DIS,target,real_identifier
0,0.3,0.38,6.3,5.2,20.5,0
1,0.8,0.48,5.9,4.5,18.9,0
2,0.3,0.4,6.2,5.1,17.4,0
3,0.1,0.6,5.9,7.2,19.1,0
4,0.05,0.38,7.2,3.8,41.9,0
5,0.02,0.42,6.5,6.2,25.1,0
6,0.06,0.53,6.1,5.9,23.4,0
7,0.08,0.42,5.8,4.9,25.6,0
8,0.8,0.6,6.2,4.9,24.5,0
9,0.2,0.3,5.5,5.1,22.8,0
10,0.6,0.3,6.1,4.9,20.8,0
11,0.2,0.6,5.5,5.2,22.1,0
12,0.05,0.38,6.3,4.2,20.5,0
13,0.08,0.42,5.7,8.1,19.1,0
0,0.01951,0.4161,7.104,9.2229,33.0,1
1,0.77299,0.538,6.495,4.4547,18.4,1
2,0.62739,0.538,5.834,4.4986,19.9,1
3,0.95577,0.538,6.047,4.4534,14.8,1
4,0.21977,0.448,5.602,6.0877,19.4,1
5,0.02985,0.458,6.43,6.0622,28.7,1
6,0.7258,0.538,5.727,3.7965,18.2,1
7,0.04379,0.398,5.787,6.6115,19.4,1
8,0.15445,0.453,6.145,7.8148,23.3,1
9,0.02875,0.464,6.211,3.6659,25.0,1
10,0.0536,0.439,6.511,6.8147,25.0,1
11,0.7842,0.538,5.99,4.2579,17.5,1
12,0.08707,0.437,6.14,4.0905,20.8,1
13,0.11747,0.524,6.009,6.2267,18.9,1
14,0.12269,0.448,6.069,5.7209,21.2,1
15,0.85204,0.538,5.965,4.0123,19.6,1
16,0.25387,0.448,5.399,5.87,14.4,1
17,0.62976,0.538,5.949,4.7075,20.4,1
18,0.67191,0.538,5.813,4.682,16.6,1
19,0.17004,0.524,6.004,6.5921,18.9,1
20,0.01311,0.403,7.249,8.6966,35.4,1
21,0.0686,0.445,7.416,3.4952,33.2,1
22,0.08187,0.445,7.82,3.4952,43.8,1
23,0.03584,0.398,6.29,6.6115,23.5,1
24,1.61282,0.538,6.096,3.7598,13.5,1
25,0.15876,0.413,5.961,5.2873,21.7,1
26,0.05188,0.449,6.015,4.4272,22.5,1
27,0.02055,0.41,6.383,9.1876,24.7,1
28,1.00245,0.538,6.674,4.239,21.0,1
29,0.06905,0.458,7.147,6.0622,36.2,1
30,0.05789,0.409,5.878,6.498,22.0,1
31,0.07896,0.437,6.273,4.2515,24.1,1
32,0.15936,0.448,6.211,5.7209,24.7,1
33,0.10328,0.453,5.927,6.932,19.6,1
34,1.05393,0.538,5.935,4.4986,23.1,1
35,0.04462,0.426,6.619,5.4007,23.9,1
36,0.75026,0.538,5.924,4.3996,15.6,1
37,0.1415,0.448,6.169,5.7209,25.3,1
38,0.17505,0.499,5.966,3.8473,24.7,1
39,0.12083,0.445,8.069,3.4952,38.7,1
40,0.63796,0.538,6.096,4.4619,18.2,1
41,0.04684,0.489,6.417,3.0923,22.6,1
42,0.0566,0.489,7.007,3.4217,23.6,1
43,0.04337,0.439,6.115,6.8147,20.5,1
44,0.0136,0.41,5.888,7.3197,18.9,1
45,0.07151,0.449,6.121,3.7476,22.2,1
46,0.22927,0.448,6.03,5.6894,16.6,1
47,0.12816,0.409,5.885,6.498,20.9,1
48,0.09378,0.524,5.889,5.4509,21.7,1
49,0.12744,0.448,6.77,5.7209,26.6,1
50,0.04294,0.464,6.249,3.615,20.6,1
