,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.2,7.1,0.4,6.2,68.5,4.9,283.0,395.6,9.5,22.1,0
1,0.1,5.3,0.5,6.4,46.3,6.5,245.0,394.3,10.9,20.5,0
2,0.0,4.2,0.4,6.7,37.8,5.1,273.0,396.9,5.5,27.3,0
3,0.8,8.1,0.5,5.8,93.4,4.1,307.0,391.8,12.2,18.5,0
4,0.1,3.9,0.4,6.1,55.9,3.9,253.0,395.6,8.1,23.5,0
5,0.0,7.1,0.5,7.1,61.9,5.3,242.0,392.8,4.5,33.4,0
6,0.1,5.6,0.4,6.0,45.1,6.9,243.0,395.6,13.7,19.3,0
7,0.2,6.9,0.4,5.7,62.2,6.0,233.0,396.9,16.5,19.1,0
8,0.0,4.9,0.4,6.7,33.9,5.4,281.0,396.9,5.1,28.5,0
9,0.1,12.8,0.4,6.3,74.2,4.2,398.0,373.7,12.3,19.9,0
10,0.1,5.1,0.5,5.9,66.3,7.1,284.0,395.1,13.4,18.6,0
11,0.0,3.4,0.5,6.4,73.8,3.1,270.0,393.6,8.3,22.1,0
12,0.8,8.1,0.5,5.5,36.7,3.8,307.0,289.0,11.9,20.1,0
13,0.0,3.0,0.4,6.6,21.9,5.4,252.0,395.6,4.4,30.7,0
14,0.1,12.8,0.4,6.3,45.0,4.5,398.0,383.2,9.0,21.3,0
15,0.2,6.9,0.4,5.6,62.0,6.1,233.0,396.9,16.3,19.4,0
16,0.1,6.9,0.4,6.1,40.0,5.7,233.0,389.4,9.7,21.1,0
17,0.0,4.0,0.4,5.9,47.6,7.3,469.0,396.9,14.9,18.8,0
18,1.0,8.1,0.5,6.0,88.8,4.5,307.0,306.4,17.4,14.7,0
19,0.1,5.1,0.4,6.4,55.8,3.8,284.0,395.1,9.3,22.8,0
20,0.0,7.1,0.5,7.2,61.9,5.3,242.0,392.8,4.6,33.3,0
21,0.1,3.9,0.4,6.1,56.0,3.9,253.0,395.6,8.2,23.4,0
22,0.2,6.9,0.4,5.7,62.2,6.0,233.0,396.9,16.5,19.1,0
23,0.0,4.9,0.4,6.7,33.9,5.4,281.0,396.9,5.1,28.5,0
24,0.1,5.6,0.4,6.0,45.1,6.9,243.0,395.6,13.7,19.3,0
25,0.1,12.8,0.4,6.3,74.2,4.2,398.0,373.7,12.3,19.9,0
26,0.3,5.8,0.5,6.4,44.9,5.1,290.0,394.5,8.2,22.8,0
27,0.1,4.2,0.4,6.6,50.8,4.9,260.0,391.5,6.3,26.2,0
28,0.6,7.5,0.5,5.8,70.3,4.2,305.0,388.2,12.5,18.5,0
29,0.2,6.3,0.5,6.1,37.4,6.5,285.0,395.1,9.8,23.6,0
30,0.0,2.5,0.4,6.9,46.8,8.1,275.0,393.8,4.5,29.3,0
31,0.5,8.1,0.5,5.9,63.2,4.5,307.0,396.9,9.2,20.6,0
32,0.1,5.5,0.5,6.3,54.9,4.8,280.0,392.3,7.3,24.5,0
33,0.3,7.1,0.5,6.0,82.5,6.2,310.0,386.7,16.3,18.1,0
34,0.0,1.9,0.4,6.7,39.5,9.0,258.0,396.9,5.2,28.5,0
35,0.2,6.8,0.5,6.2,92.2,6.0,312.0,392.5,19.5,16.5,0
36,0.1,4.8,0.4,6.5,49.2,4.6,265.0,395.6,7.0,25.8,0
37,0.6,8.1,0.5,5.8,75.2,4.3,307.0,391.0,13.2,19.1,0
38,0.0,3.2,0.4,6.8,34.7,8.2,277.0,396.9,5.0,30.2,0
39,0.2,7.3,0.5,6.1,89.5,6.1,309.0,388.2,18.2,17.3,0
40,0.1,5.2,0.5,6.4,51.9,5.0,282.0,394.5,7.8,24.2,0
41,0.4,8.1,0.5,5.9,66.2,4.4,307.0,396.9,11.5,19.8,0
42,0.0,2.2,0.4,6.9,43.8,8.5,272.0,395.6,4.8,29.8,0
43,0.3,7.5,0.5,6.0,80.2,6.3,311.0,386.7,16.8,18.0,0
44,0.1,5.0,0.5,6.5,55.9,5.2,280.0,392.3,7.5,24.9,0
45,0.5,8.1,0.5,5.8,72.2,4.5,307.0,391.0,13.5,19.3,0
46,0.0,1.8,0.4,6.7,40.5,9.1,259.0,396.9,5.3,28.7,0
47,0.2,7.1,0.5,6.2,91.5,6.0,312.0,392.5,19.0,16.8,0
48,0.1,4.9,0.4,6.4,50.2,4.7,266.0,395.6,7.2,25.5,0
49,0.6,8.1,0.5,5.9,74.2,4.4,307.0,396.9,13.0,19.5,0
50,0.0,3.0,0.4,6.8,35.7,8.3,278.0,396.9,5.1,30.3,0
51,0.3,7.3,0.5,6.1,88.2,6.2,309.0,388.2,18.0,17.5,0
50,1.25179,8.14,0.538,5.57,98.1,3.7979,307.0,376.57,21.02,13.6,1
51,0.04462,4.86,0.426,6.619,70.4,5.4007,281.0,395.63,7.22,23.9,1
52,0.11504,2.89,0.445,6.163,69.6,3.4952,276.0,391.83,11.34,21.4,1
53,0.21124,7.87,0.524,5.631,100.0,6.0821,311.0,386.63,29.93,16.5,1
54,0.02729,7.07,0.469,7.185,61.1,4.9671,242.0,392.83,4.03,34.7,1
55,0.04684,3.41,0.489,6.417,66.1,3.0923,270.0,392.18,8.81,22.6,1
56,1.00245,8.14,0.538,6.674,87.3,4.239,307.0,380.23,11.98,21.0,1
57,0.10328,5.13,0.453,5.927,47.2,6.932,284.0,396.9,9.22,19.6,1
58,0.75026,8.14,0.538,5.924,94.1,4.3996,307.0,394.33,16.3,15.6,1
59,0.17142,6.91,0.448,5.682,33.8,5.1004,233.0,396.9,10.21,19.3,1
60,0.07151,4.49,0.449,6.121,56.8,3.7476,247.0,395.15,8.44,22.2,1
61,0.08873,5.64,0.439,5.963,45.7,6.8147,243.0,395.56,13.45,19.7,1
62,0.08826,10.81,0.413,6.417,6.6,5.2873,305.0,383.73,6.72,24.2,1
63,0.14932,5.13,0.453,5.741,66.2,7.2254,284.0,395.11,13.15,18.7,1
64,0.04113,4.86,0.426,6.727,33.5,5.4007,281.0,396.9,5.29,28.0,1
65,0.08187,2.89,0.445,7.82,36.9,3.4952,276.0,393.53,3.57,43.8,1
66,0.03932,3.41,0.489,6.405,73.9,3.0921,270.0,393.55,8.2,22.0,1
67,0.80271,8.14,0.538,5.456,36.6,3.7965,307.0,288.99,11.69,20.2,1
68,0.02763,2.95,0.428,6.595,21.8,5.4011,252.0,395.63,4.32,30.8,1
69,0.09512,12.83,0.437,6.286,45.0,4.5026,398.0,383.23,8.94,21.4,1
70,0.10153,12.83,0.437,6.279,74.5,4.0522,398.0,373.66,11.97,20.0,1
71,0.21977,6.91,0.448,5.602,62.0,6.0877,233.0,396.9,16.2,19.4,1
72,0.12269,6.91,0.448,6.069,40.0,5.7209,233.0,389.39,9.55,21.2,1
73,0.0136,4.0,0.41,5.888,47.6,7.3197,469.0,396.9,14.8,18.9,1
74,0.95577,8.14,0.538,6.047,88.8,4.4534,307.0,306.38,17.28,14.8,1
75,0.1415,6.91,0.448,6.169,6.6,5.7209,233.0,383.37,5.81,25.3,1
76,0.01951,1.38,0.4161,7.104,59.5,9.2229,216.0,393.24,8.05,33.0,1
77,1.05393,8.14,0.538,5.935,29.3,4.4986,307.0,386.85,6.58,23.1,1
78,0.15445,5.13,0.453,6.145,29.2,7.8148,284.0,390.68,6.86,23.3,1
79,0.62739,8.14,0.538,5.834,56.5,4.4986,307.0,395.62,8.47,19.9,1
80,0.08014,5.96,0.499,5.85,41.5,3.9342,279.0,396.9,8.77,21.0,1
81,0.67191,8.14,0.538,5.813,90.3,4.682,307.0,376.88,14.81,16.6,1
82,0.04379,3.37,0.398,5.787,31.1,6.6115,337.0,396.9,10.24,19.4,1
83,0.05188,4.49,0.449,6.015,45.1,4.4272,247.0,395.99,12.86,22.5,1
84,0.17004,7.87,0.524,6.004,85.9,6.5921,311.0,386.71,17.1,18.9,1
85,0.03584,3.37,0.398,6.29,17.8,6.6115,337.0,396.9,4.67,23.5,1
86,0.1265,5.13,0.453,6.762,43.4,7.9809,284.0,395.58,9.5,25.0,1
