,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
0,83.0,-10.0,-8.0,1022.0,121.9,0
1,119.0,-8.0,-6.0,1025.0,15.4,0
2,44.0,-23.0,-13.0,1032.0,189.8,0
3,93.0,-9.0,-7.0,1021.0,79.2,0
4,151.0,-7.0,-4.0,1026.0,34.6,0
5,58.0,-12.0,-10.0,1031.0,161.3,0
6,137.0,-8.0,-6.0,1024.0,11.9,0
7,69.0,-11.0,-9.0,1023.0,6.8,0
8,109.0,-7.0,-5.0,1025.0,9.5,0
9,34.0,-25.0,-16.0,1034.0,214.9,0
10,81.0,-10.0,-8.0,1022.0,123.2,0
11,143.0,-7.0,-5.0,1027.0,39.8,0
12,56.0,-12.0,-10.0,1031.0,165.5,0
13,128.0,-8.0,-6.0,1025.0,17.3,0
14,96.0,-9.0,-7.0,1021.0,85.4,0
15,154.0,-7.0,-4.0,1027.0,36.3,0
16,63.0,-11.0,-9.0,1023.0,7.5,0
17,139.0,-8.0,-6.0,1025.0,13.4,0
18,73.0,-10.0,-8.0,1022.0,76.9,0
19,113.0,-7.0,-5.0,1026.0,10.9,0
20,40.0,-24.0,-14.0,1033.0,196.2,0
21,89.0,-10.0,-8.0,1022.0,129.5,0
22,149.0,-7.0,-5.0,1027.0,40.8,0
23,59.0,-12.0,-10.0,1031.0,167.1,0
24,131.0,-8.0,-6.0,1025.0,19.1,0
25,101.0,-9.0,-7.0,1021.0,91.5,0
26,123.0,-15.0,-10.0,1023.0,91.4,0
27,68.0,-20.0,-12.0,1031.0,75.2,0
28,42.0,-18.0,-11.0,1028.0,51.9,0
29,151.0,-12.0,-8.0,1022.0,40.8,0
30,118.0,-14.0,-9.0,1025.0,82.5,0
31,63.0,-19.0,-13.0,1032.0,29.4,0
32,145.0,-10.0,-6.0,1024.0,56.1,0
33,76.0,-16.0,-10.0,1029.0,67.8,0
34,39.0,-24.0,-14.0,1034.0,23.1,0
35,129.0,-13.0,-8.0,1023.0,49.5,0
36,93.0,-11.0,-7.0,1026.0,88.2,0
37,59.0,-22.0,-12.0,1031.0,44.8,0
38,141.0,-9.0,-5.0,1025.0,61.9,0
39,71.0,-17.0,-11.0,1029.0,53.4,0
40,47.0,-25.0,-15.0,1033.0,35.7,0
41,135.0,-12.0,-8.0,1024.0,58.5,0
42,99.0,-10.0,-6.0,1027.0,80.3,0
43,65.0,-21.0,-13.0,1032.0,41.9,0
44,153.0,-11.0,-7.0,1025.0,52.8,0
45,79.0,-15.0,-10.0,1029.0,63.2,0
46,43.0,-26.0,-16.0,1034.0,27.5,0
47,131.0,-14.0,-9.0,1026.0,55.6,0
48,95.0,-12.0,-8.0,1028.0,85.1,0
49,61.0,-23.0,-14.0,1033.0,46.3,0
50,149.0,-10.0,-6.0,1027.0,59.4,0
51,75.0,-18.0,-12.0,1031.0,51.5,0
0,70.0,-11.0,-9.0,1020.0,127.84,1
1,78.0,-11.0,-9.0,1023.0,97.88,1
2,50.0,-24.0,-11.0,1031.0,3.58,1
3,65.0,-8.0,-7.0,1024.0,72.86,1
4,107.0,-11.0,-9.0,1021.0,105.93,1
5,50.0,-22.0,-16.0,1033.0,23.7,1
6,148.0,-15.0,-4.0,1020.0,2.68,1
7,59.0,-23.0,-11.0,1032.0,7.16,1
