,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,1.0,10.0,5.0,45.0,-18.0,-7.0,1029.0,51.3,0.0,0.0,0
1,1.0,8.0,12.0,39.0,-20.0,-10.0,1031.0,74.2,0.0,0.0,0
2,1.0,6.0,20.0,51.0,-15.0,-6.0,1026.0,30.8,0.0,0.0,0
3,1.0,4.0,9.0,29.0,-22.0,-11.0,1030.0,101.9,0.0,0.0,0
4,1.0,7.0,15.0,44.0,-19.0,-8.0,1028.0,59.4,0.0,0.0,0
5,1.0,9.0,2.0,49.0,-17.0,-7.0,1029.0,44.8,0.0,0.0,0
6,1.0,5.0,19.0,38.0,-21.0,-10.0,1031.0,81.2,0.0,0.0,0
7,1.0,3.0,11.0,62.0,-12.0,-9.0,1024.0,15.6,0.0,0.0,0
8,1.0,10.0,17.0,48.0,-16.0,-6.0,1027.0,36.9,0.0,0.0,0
9,1.0,8.0,6.0,41.0,-20.0,-10.0,1031.0,69.1,0.0,0.0,0
10,1.0,6.0,14.0,53.0,-15.0,-6.0,1026.0,33.5,0.0,0.0,0
11,1.0,4.0,7.0,31.0,-22.0,-11.0,1030.0,95.5,0.0,0.0,0
12,1.0,7.0,10.0,46.0,-19.0,-8.0,1028.0,56.2,0.0,0.0,0
13,1.0,9.0,1.0,50.0,-17.0,-7.0,1029.0,41.4,0.0,0.0,0
14,1.0,5.0,16.0,40.0,-21.0,-10.0,1031.0,76.3,0.0,0.0,0
15,1.0,3.0,9.0,61.0,-12.0,-9.0,1024.0,17.3,0.0,0.0,0
16,1.0,10.0,13.0,49.0,-16.0,-6.0,1027.0,39.5,0.0,0.0,0
17,1.0,8.0,4.0,42.0,-20.0,-10.0,1031.0,65.9,0.0,0.0,0
18,1.0,6.0,12.0,54.0,-15.0,-6.0,1026.0,34.9,0.0,0.0,0
19,1.0,4.0,8.0,32.0,-22.0,-11.0,1030.0,92.2,0.0,0.0,0
20,1.0,7.0,11.0,47.0,-19.0,-8.0,1028.0,53.5,0.0,0.0,0
21,1.0,9.0,0.0,51.0,-17.0,-7.0,1029.0,40.3,0.0,0.0,0
22,1.0,5.0,15.0,41.0,-21.0,-10.0,1031.0,72.1,0.0,0.0,0
23,1.0,3.0,8.0,60.0,-12.0,-9.0,1024.0,18.8,0.0,0.0,0
24,1.0,10.0,10.0,50.0,-16.0,-6.0,1027.0,37.2,0.0,0.0,0
25,1.0,8.0,3.0,43.0,-20.0,-10.0,1031.0,63.4,0.0,0.0,0
26,1.0,6.0,11.0,55.0,-15.0,-6.0,1026.0,32.4,0.0,0.0,0
27,1.0,4.0,6.0,33.0,-22.0,-11.0,1030.0,89.1,0.0,0.0,0
50,1.0,4.0,16.0,30.0,-21.0,-9.0,1031.0,152.41,0.0,0.0,1
51,1.0,4.0,9.0,27.0,-22.0,-13.0,1029.0,90.73,0.0,0.0,1
52,1.0,3.0,20.0,71.0,-10.0,-9.0,1022.0,4.02,26.0,0.0,1
53,1.0,5.0,5.0,28.0,-27.0,-16.0,1034.0,4.92,0.0,0.0,1
54,1.0,3.0,11.0,98.0,-11.0,-9.0,1022.0,102.8,16.0,0.0,1
55,1.0,3.0,3.0,55.0,-8.0,-7.0,1025.0,68.84,7.0,0.0,1
