,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
0,120.0,-18.0,-6.0,1015.0,4.2,0
1,80.0,-20.0,-10.0,1025.0,7.5,0
2,32.0,-25.0,-16.0,1034.0,210.8,0
3,29.0,-28.0,-20.0,1036.0,225.2,0
4,79.0,-11.0,-8.0,1023.0,67.8,0
5,92.0,-9.0,-10.0,1025.0,91.2,0
6,95.2,-18.5,-9.8,1029.5,14.1,0
7,110.8,-12.2,-7.5,1018.2,13.8,0
8,67.0,-19.0,-14.0,1025.0,156.3,0
9,85.0,-16.0,-11.0,1018.0,129.1,0
10,105.0,-10.0,-8.0,1021.0,110.2,0
11,101.0,-12.0,-10.0,1019.0,125.6,0
12,51.0,-23.0,-12.0,1035.0,14.5,0
13,125.0,-9.0,-3.0,1025.0,7.8,0
14,42.5,-12.0,-9.0,1028.0,92.1,0
15,35.0,-18.0,-12.0,1032.0,120.5,0
16,120.0,-10.0,-8.0,1025.0,35.0,0
17,90.0,-20.0,-12.0,1031.0,6.0,0
18,120.0,-12.0,-8.0,1028.0,15.8,0
19,80.0,-18.0,-9.0,1030.0,10.5,0
20,140.0,-3.0,-2.0,1023.0,4.2,0
21,80.0,-9.0,-7.0,1020.0,1.5,0
22,67.5,-15.0,-13.0,1025.0,18.2,0
23,51.0,-22.0,-15.0,1031.0,24.5,0
24,85.0,-8.0,-8.0,1025.0,9.5,0
25,40.0,-18.0,-9.0,1032.0,140.8,0
26,40.5,-18.0,-9.0,1035.0,120.8,0
27,95.0,-5.0,-4.0,1025.0,10.3,0
28,58.2,-19.5,-9.2,1028.5,6.8,0
29,61.1,-12.8,-8.5,1026.2,81.3,0
30,120.0,-7.0,-3.0,1028.0,40.2,0
31,45.0,-20.0,-10.0,1032.0,160.5,0
32,67.5,-14.2,-7.8,1022.5,18.1,0
33,140.8,-9.5,-3.2,1019.8,5.4,0
34,120.0,-10.0,-8.0,1020.0,10.5,0
35,40.0,-20.0,-12.0,1030.0,180.2,0
36,42.0,-15.0,-8.0,1025.0,55.1,0
37,91.0,-8.0,-6.0,1022.0,83.2,0
38,42.0,-18.0,-9.0,1033.0,2.5,0
39,129.0,-10.0,-5.0,1029.0,45.1,0
40,85.0,-15.0,-8.0,1025.0,45.1,0
41,40.0,-18.0,-10.0,1032.0,90.3,0
42,143.0,-10.0,-8.0,1025.0,42.1,0
43,56.0,-20.0,-10.0,1032.0,201.9,0
44,58.0,-5.0,-5.0,1028.0,55.0,0
45,22.0,-15.0,-9.0,1025.0,28.0,0
46,67.2,-17.5,-12.2,1029.5,51.8,0
47,41.9,-22.8,-16.5,1032.2,35.1,0
48,123.0,-15.0,-10.0,1028.0,45.2,0
49,35.0,-22.0,-16.0,1032.0,191.1,0
0,148.0,-15.0,-4.0,1020.0,2.68,1
1,60.0,-22.0,-13.0,1033.0,10.29,1
2,28.0,-27.0,-19.0,1035.0,218.57,1
3,30.0,-26.0,-17.0,1035.0,201.58,1
4,86.0,-10.0,-9.0,1024.0,84.92,1
5,71.0,-10.0,-9.0,1022.0,4.02,1
6,84.0,-22.0,-12.0,1033.0,13.42,1
7,120.0,-8.0,-6.0,1024.0,12.51,1
8,34.0,-26.0,-18.0,1035.0,205.6,1
9,90.0,-11.0,-9.0,1020.0,111.74,1
10,98.0,-11.0,-9.0,1022.0,102.8,1
11,96.0,-11.0,-9.0,1020.0,116.66,1
12,44.0,-26.0,-14.0,1033.0,13.85,1
13,138.0,-7.0,-5.0,1022.0,6.25,1
14,55.0,-8.0,-7.0,1025.0,68.84,1
15,28.0,-21.0,-10.0,1030.0,136.32,1
16,154.0,-7.0,-5.0,1028.0,46.04,1
17,77.0,-25.0,-14.0,1033.0,4.02,1
18,152.0,-8.0,-5.0,1026.0,20.56,1
19,59.0,-23.0,-11.0,1032.0,7.16,1
20,181.0,-7.0,-5.0,1022.0,5.36,1
21,61.0,-11.0,-9.0,1021.0,0.89,1
22,73.0,-12.0,-11.0,1023.0,14.3,1
23,56.0,-25.0,-17.0,1033.0,26.83,1
24,72.0,-11.0,-10.0,1023.0,7.15,1
25,32.0,-20.0,-10.0,1030.0,127.38,1
26,30.0,-20.0,-11.0,1032.0,159.56,1
27,109.0,-7.0,-6.0,1022.0,7.14,1
28,56.0,-23.0,-11.0,1031.0,5.37,1
29,65.0,-8.0,-7.0,1024.0,72.86,1
30,154.0,-9.0,-5.0,1025.0,35.75,1
31,31.0,-24.0,-12.0,1034.0,180.12,1
32,58.0,-16.0,-9.0,1023.0,21.9,1
33,159.0,-11.0,-5.0,1021.0,3.57,1
34,132.0,-7.0,-5.0,1025.0,14.3,1
35,31.0,-26.0,-15.0,1035.0,198.45,1
36,26.0,-18.0,-11.0,1024.0,39.78,1
37,78.0,-11.0,-9.0,1023.0,97.88,1
38,33.0,-23.0,-11.0,1031.0,1.79,1
39,156.0,-8.0,-6.0,1028.0,52.3,1
40,29.0,-21.0,-11.0,1030.0,117.55,1
41,105.0,-7.0,-6.0,1023.0,8.93,1
42,164.0,-7.0,-5.0,1027.0,49.17,1
43,33.0,-24.0,-13.0,1034.0,187.27,1
44,65.0,-8.0,-7.0,1026.0,65.71,1
45,25.0,-17.0,-10.0,1024.0,29.95,1
46,83.0,-9.0,-8.0,1024.0,76.88,1
47,36.0,-25.0,-14.0,1035.0,29.51,1
48,159.0,-9.0,-5.0,1026.0,37.54,1
49,27.0,-26.0,-19.0,1035.0,208.73,1
50,76.0,-11.0,-9.0,1023.0,11.17,1
