,pm2.5,TEMP,real_identifier
0,29.0,-14.0,0
1,58.0,-10.0,0
2,31.0,-12.0,0
3,49.0,-8.0,0
4,85.0,-6.0,0
5,28.0,-10.0,0
6,53.0,-9.0,0
7,30.0,-11.0,0
8,41.0,-7.0,0
9,92.0,-5.0,0
10,35.0,-9.0,0
11,59.0,-8.0,0
12,27.0,-12.0,0
13,48.0,-9.0,0
14,63.0,-7.0,0
15,39.0,-10.0,0
16,82.0,-6.0,0
17,51.0,-8.0,0
18,96.0,-5.0,0
19,34.0,-11.0,0
20,57.0,-9.0,0
21,44.0,-8.0,0
22,89.0,-6.0,0
23,32.0,-10.0,0
24,69.0,-7.0,0
25,101.0,-5.0,0
26,48.0,-10.0,0
27,118.0,-6.0,0
28,32.0,-16.0,0
29,67.0,-8.0,0
30,94.0,-7.0,0
31,39.0,-13.0,0
32,28.0,-11.0,0
33,72.0,-10.0,0
34,101.0,-8.0,0
35,30.0,-17.0,0
36,143.0,-4.0,0
37,54.0,-10.0,0
38,29.0,-12.0,0
39,35.0,-15.0,0
40,173.0,-4.0,0
41,51.0,-18.0,0
42,69.0,-9.0,0
43,108.0,-6.0,0
44,42.0,-11.0,0
45,81.0,-8.0,0
46,57.0,-11.0,0
47,75.0,-14.0,0
48,76.0,-9.0,0
49,159.0,-5.0,0
50,77.0,-12.0,0
50,27.0,-19.0,1
51,30.0,-13.0,1
52,56.0,-11.0,1
53,55.0,-7.0,1
54,50.0,-11.0,1
55,28.0,-11.0,1
56,28.0,-11.0,1
57,28.0,-19.0,1
58,31.0,-12.0,1
59,28.0,-10.0,1
60,50.0,-16.0,1
61,27.0,-16.0,1
62,29.0,-9.0,1
63,33.0,-13.0,1
64,39.0,-11.0,1
65,82.0,-9.0,1
66,32.0,-10.0,1
67,105.0,-6.0,1
68,95.0,-9.0,1
69,148.0,-4.0,1
70,106.0,-18.0,1
71,86.0,-9.0,1
72,170.0,-5.0,1
73,90.0,-9.0,1
74,154.0,-5.0,1
75,36.0,-14.0,1
76,152.0,-5.0,1
77,44.0,-14.0,1
78,65.0,-7.0,1
79,91.0,-8.0,1
80,34.0,-18.0,1
81,26.0,-12.0,1
82,76.0,-9.0,1
83,107.0,-9.0,1
84,25.0,-18.0,1
85,149.0,-5.0,1
86,58.0,-9.0,1
87,27.0,-12.0,1
88,29.0,-15.0,1
89,181.0,-5.0,1
90,56.0,-17.0,1
91,70.0,-9.0,1
92,109.0,-6.0,1
93,41.0,-11.0,1
94,83.0,-8.0,1
95,59.0,-11.0,1
96,77.0,-14.0,1
97,78.0,-9.0,1
98,164.0,-5.0,1
99,79.0,-12.0,1
