,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,2.0,10.0,10.0,25.0,-15.0,-5.0,1020.0,67.3,0.0,0.0,0
1,2.0,10.0,22.0,32.0,-18.0,-8.0,1035.0,91.2,0.0,0.0,0
2,1.0,8.0,14.0,42.0,-18.0,-10.0,1032.0,38.0,0.0,0.0,0
3,1.0,12.0,22.0,128.0,-5.0,-2.0,1025.0,50.0,0.0,0.0,0
4,3.0,15.0,14.0,35.0,-10.0,2.0,1025.0,67.5,0.0,0.0,0
5,10.0,28.0,8.0,120.0,-5.0,10.0,1035.0,35.1,0.0,0.0,0
6,2.0,10.0,3.0,42.0,-22.0,-10.0,1031.0,6.0,0.0,0.0,0
7,2.0,9.0,8.0,35.0,-24.0,-12.0,1034.0,5.0,0.0,0.0,0
8,1.0,10.0,12.0,78.0,-18.0,-8.0,1028.0,15.6,0.0,0.0,0
9,1.0,25.0,10.0,92.0,-15.0,-6.0,1030.0,6.2,0.0,0.0,0
10,12.0,15.0,10.0,120.0,-2.0,2.0,1024.0,30.8,0.0,50.0,0
11,12.0,15.0,18.0,140.0,-1.0,1.0,1025.0,42.1,1.0,20.0,0
12,2.0,10.0,2.0,28.0,-15.0,-10.0,1030.0,150.2,3.0,0.0,0
13,1.0,8.0,4.0,42.0,-20.0,-12.0,1028.0,120.5,5.0,0.0,0
14,12.0,15.0,10.0,120.0,-8.0,2.0,1015.0,25.1,0.0,50.0,0
15,12.0,15.0,22.0,180.0,-12.0,0.0,1020.0,18.5,0.0,0.0,0
16,1.0,3.0,19.0,32.0,-25.0,-12.0,1033.0,150.2,0.0,0.0,0
17,1.0,6.0,16.0,51.0,-22.0,-10.0,1030.0,3.5,0.0,0.0,0
18,1.0,10.0,14.0,32.0,-22.0,-10.0,1032.0,28.5,0.0,0.0,0
19,1.0,10.0,16.0,35.0,-20.0,-8.0,1032.0,40.2,0.0,0.0,0
20,2.0,10.0,15.0,55.0,-5.0,2.0,1019.0,45.6,3.0,20.0,0
21,12.0,25.0,8.0,92.0,-15.0,-8.0,1038.0,28.9,2.0,10.0,0
22,1.0,2.0,2.0,28.0,-20.0,-15.0,1020.0,17.9,0.0,0.0,0
23,1.0,6.0,4.0,22.0,-25.0,-12.0,1040.0,251.1,0.0,0.0,0
24,2.0,15.0,10.0,120.0,-5.0,0.0,1018.0,40.2,4.0,20.0,0
25,2.0,15.0,14.0,150.0,-3.0,2.0,1016.0,30.5,3.0,40.0,0
26,2.0,15.0,18.0,58.0,-18.0,-9.0,1028.0,12.1,0.0,0.0,0
27,2.0,15.0,10.0,42.0,-20.0,-6.0,1025.0,6.8,0.0,0.0,0
28,1.0,5.0,18.0,98.0,-9.0,-6.0,1024.0,8.5,0.0,0.0,0
29,1.0,1.0,10.0,142.0,-5.0,-2.0,1021.0,6.2,1.0,0.0,0
30,1.0,5.0,10.0,95.0,-10.0,-8.0,1019.0,105.3,20.0,0.0,0
31,1.0,5.0,18.0,92.0,-10.0,-8.0,1019.0,118.2,24.0,0.0,0
32,2.0,15.0,18.0,85.0,-12.0,0.0,1018.0,15.3,0.0,0.0,0
33,12.0,28.0,9.0,40.0,-15.0,-8.0,1042.0,250.1,0.0,0.0,0
34,12.0,15.0,14.0,80.0,-5.0,2.0,1019.0,50.8,0.0,20.0,0
35,3.0,20.0,10.0,40.0,5.0,10.0,1020.0,25.9,0.0,50.0,0
36,1.0,5.0,18.0,85.0,-8.0,-6.0,1018.0,90.0,20.0,0.0,0
37,1.0,6.0,8.0,40.0,-12.0,-8.0,1022.0,45.0,10.0,0.0,0
38,2.0,10.0,12.0,18.0,-15.0,-5.0,1032.0,120.1,0.0,50.0,0
39,2.0,10.0,18.0,22.0,-12.0,-2.0,1034.0,180.5,0.0,0.0,0
40,2.0,10.0,8.0,25.0,-18.0,-12.0,1025.0,187.2,0.0,0.0,0
41,2.0,15.0,16.0,32.0,-15.0,-8.0,1015.0,151.9,0.0,0.0,0
42,2.0,10.0,15.0,35.0,-18.0,-8.0,1032.0,25.1,0.0,0.0,0
43,2.0,10.0,22.0,55.0,-15.0,-10.0,1031.0,15.6,0.0,0.0,0
44,3.0,15.0,14.0,45.0,-5.0,10.0,1015.0,75.2,2.0,50.0,0
45,10.0,28.0,6.0,80.0,2.0,5.0,1022.0,40.8,1.0,20.0,0
46,2.0,10.0,15.0,40.0,-15.0,2.0,1020.0,120.5,0.0,50.0,0
