,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,12.0,28.0,14.0,120.0,-6.0,-2.0,1030.0,50.2,8.0,10.0,0
1,3.0,15.0,10.0,85.0,-4.0,6.0,1018.0,80.5,12.0,20.0,0
2,12.0,20.0,12.0,18.0,-18.0,-2.0,1040.0,17.3,10.0,0.0,0
3,6.0,15.0,18.0,42.0,12.0,22.0,1015.0,30.8,15.0,50.0,0
4,12.0,20.0,10.0,50.0,-15.0,-8.0,1028.0,120.1,0.0,0.0,0
5,6.0,15.0,22.0,80.0,10.0,18.0,1015.0,40.6,0.0,0.0,0
6,2.0,10.0,15.0,40.0,-5.0,2.0,1015.0,15.6,225.0,50.0,0
7,12.0,25.0,9.0,80.0,-20.0,-5.0,1040.0,10.2,315.0,20.0,0
8,2.0,15.0,18.0,42.0,-15.0,-5.0,1030.0,120.9,3.0,20.0,0
9,12.0,28.0,10.0,58.0,-10.0,2.0,1020.0,80.5,9.0,15.0,0
10,2.0,10.0,18.0,85.0,-7.0,-5.0,1019.0,92.1,23.0,0.0,0
11,3.0,20.0,9.0,41.0,-2.0,2.0,1026.0,75.6,10.0,50.0,0
12,12.0,15.0,10.0,42.0,-12.0,2.0,1042.0,12.0,2.0,20.0,0
13,6.0,20.0,18.0,80.0,16.0,25.0,1015.0,25.0,4.0,50.0,0
14,12.0,15.0,14.0,120.0,-10.0,2.0,1018.0,15.2,1.0,50.0,0
15,12.0,15.0,2.0,110.0,-12.0,0.0,1022.0,5.1,0.0,0.0,0
16,2.0,10.0,12.0,25.0,-18.0,-6.0,1028.0,120.5,0.0,0.0,0
17,2.0,10.0,18.0,28.0,-20.0,-10.0,1032.0,160.2,0.0,0.0,0
18,2.0,10.0,9.0,70.0,-15.0,-12.0,1015.0,85.2,14.0,10.0,0
19,3.0,20.0,18.0,60.0,-8.0,-5.0,1008.0,67.5,25.0,20.0,0
20,2.0,10.0,12.0,40.0,-15.0,-10.0,1025.0,75.2,2.0,20.0,0
21,2.0,11.0,15.0,55.0,-12.0,-8.0,1023.0,74.5,5.0,30.0,0
22,2.0,10.0,14.0,41.0,-15.0,-8.0,1025.0,67.5,0.0,0.0,0
23,2.0,20.0,2.0,56.0,-18.0,-12.0,1027.0,85.2,0.0,0.0,0
24,2.0,15.0,18.0,38.0,-18.0,-8.0,1026.0,12.0,0.0,0.0,0
25,3.0,20.0,5.0,42.0,-15.0,-5.0,1022.0,9.0,0.0,0.0,0
26,2.0,15.0,3.0,120.0,-10.0,-2.0,1015.0,3.5,0.0,0.0,0
27,2.0,22.0,2.0,90.0,-20.0,-8.0,1025.0,3.2,0.0,0.0,0
28,2.0,10.0,5.0,38.0,-20.0,-10.0,1028.0,18.2,0.0,0.0,0
29,2.0,8.0,2.0,51.0,-18.0,-8.0,1018.0,25.5,0.0,0.0,0
30,2.0,10.0,8.0,32.0,-25.0,-15.0,1032.0,201.1,0.0,0.0,0
31,3.0,20.0,16.0,25.0,-18.0,-8.0,1028.0,156.2,0.0,0.0,0
32,12.0,15.0,12.0,78.0,-3.0,2.0,1018.0,67.2,7.0,50.0,0
33,6.0,20.0,18.0,65.0,18.0,25.0,1006.0,42.1,9.0,200.0,0
34,2.0,10.0,2.0,32.0,-15.0,-9.0,1020.0,30.8,0.0,0.0,0
35,2.0,11.0,1.0,29.0,-22.0,-16.0,1030.0,190.2,0.0,0.0,0
36,3.0,15.0,18.0,80.0,2.0,12.0,1015.0,15.6,3.0,50.0,0
37,10.0,28.0,10.0,120.0,8.0,15.0,1020.0,20.1,1.0,100.0,0
38,2.0,15.0,14.0,40.0,-18.0,-8.0,1028.0,20.5,0.0,50.0,0
39,2.0,15.0,22.0,55.0,-20.0,-10.0,1031.0,15.2,0.0,0.0,0
40,2.0,15.0,10.0,55.0,-5.0,2.0,1015.0,25.6,18.0,50.0,0
41,2.0,15.0,20.0,65.0,-5.0,2.0,1018.0,15.3,10.0,20.0,0
42,2.0,10.0,14.0,70.0,-18.0,-9.0,1028.0,6.2,0.0,0.0,0
43,2.0,10.0,22.0,92.0,-20.0,-10.0,1032.0,10.8,0.0,0.0,0
44,2.0,10.0,12.0,35.0,-20.0,-10.0,1025.0,120.5,1.0,50.0,0
45,3.0,20.0,18.0,40.0,-15.0,-5.0,1015.0,180.2,2.0,75.0,0
46,2.0,10.0,3.0,42.0,-20.0,-10.0,1042.0,150.8,0.0,0.0,0
47,3.0,20.0,2.0,60.0,-8.0,-5.0,1015.0,80.3,0.0,0.0,0
48,2.0,15.0,14.0,42.0,-22.0,-10.0,1032.0,25.1,0.0,0.0,0
49,2.0,15.0,12.0,32.0,-24.0,-12.0,1032.0,20.5,0.0,0.0,0
50,1.0,2.0,16.0,159.0,-9.0,-5.0,1026.0,37.54,0.0,0.0,1
51,1.0,3.0,11.0,98.0,-11.0,-9.0,1022.0,102.8,16.0,0.0,1
52,1.0,5.0,9.0,29.0,-26.0,-15.0,1035.0,24.59,0.0,0.0,1
53,1.0,3.0,15.0,95.0,-11.0,-9.0,1020.0,121.58,21.0,0.0,1
54,1.0,4.0,18.0,28.0,-23.0,-11.0,1032.0,165.37,0.0,0.0,1
55,1.0,2.0,15.0,154.0,-9.0,-5.0,1025.0,35.75,0.0,0.0,1
56,1.0,3.0,21.0,72.0,-11.0,-10.0,1023.0,7.15,27.0,0.0,1
57,1.0,6.0,0.0,56.0,-25.0,-17.0,1033.0,26.83,0.0,0.0,1
58,1.0,4.0,22.0,29.0,-24.0,-13.0,1035.0,195.32,0.0,0.0,1
59,1.0,3.0,2.0,65.0,-8.0,-7.0,1026.0,65.71,6.0,0.0,1
60,1.0,3.0,12.0,107.0,-11.0,-9.0,1021.0,105.93,17.0,0.0,1
61,1.0,4.0,21.0,33.0,-24.0,-13.0,1034.0,187.27,0.0,0.0,1
62,1.0,5.0,6.0,27.0,-26.0,-16.0,1035.0,8.05,0.0,0.0,1
63,1.0,2.0,23.0,126.0,-8.0,-6.0,1027.0,55.43,3.0,0.0,1
64,1.0,2.0,11.0,152.0,-8.0,-5.0,1026.0,20.56,0.0,0.0,1
65,1.0,2.0,0.0,129.0,-16.0,-4.0,1020.0,1.79,0.0,0.0,1
66,1.0,4.0,15.0,29.0,-21.0,-9.0,1030.0,145.26,0.0,0.0,1
67,1.0,4.0,20.0,31.0,-24.0,-12.0,1034.0,180.12,0.0,0.0,1
68,1.0,3.0,13.0,90.0,-11.0,-9.0,1020.0,111.74,19.0,0.0,1
69,1.0,5.0,23.0,50.0,-22.0,-16.0,1033.0,23.7,0.0,0.0,1
70,1.0,3.0,4.0,65.0,-8.0,-7.0,1024.0,72.86,8.0,0.0,1
71,1.0,4.0,7.0,29.0,-21.0,-13.0,1027.0,73.75,0.0,0.0,1
72,1.0,4.0,9.0,27.0,-22.0,-13.0,1029.0,90.73,0.0,0.0,1
73,1.0,3.0,23.0,73.0,-12.0,-11.0,1023.0,14.3,0.0,0.0,1
74,1.0,6.0,2.0,50.0,-26.0,-14.0,1034.0,8.04,0.0,0.0,1
75,1.0,4.0,10.0,27.0,-22.0,-12.0,1030.0,100.56,0.0,0.0,1
76,1.0,2.0,1.0,148.0,-15.0,-4.0,1020.0,2.68,0.0,0.0,1
77,1.0,6.0,1.0,77.0,-25.0,-14.0,1033.0,4.02,0.0,0.0,1
