,pm2.5,TEMP,real_identifier
0,130.0,-5.5,0
1,148.0,-4.5,0
2,68.0,-9.0,0
3,28.0,-11.0,0
4,55.0,-15.0,0
5,85.0,-8.0,0
6,125.0,-5.0,0
7,127.0,-3.0,0
8,41.0,-10.0,0
9,103.0,-8.0,0
10,30.0,-10.0,0
11,120.0,-3.0,0
12,151.0,-7.0,0
13,105.0,-8.0,0
14,85.0,-10.0,0
15,165.0,-6.0,0
16,32.0,-14.0,0
17,45.0,-9.0,0
18,29.0,-8.0,0
19,27.0,-11.0,0
20,38.0,-10.0,0
21,29.0,-13.0,0
22,67.0,-9.0,0
23,135.0,-6.0,0
24,27.0,-9.0,0
25,162.0,-3.0,0
26,58.0,-9.0,0
27,32.0,-14.0,0
28,140.0,-8.0,0
29,40.0,-10.0,0
30,31.5,-10.5,0
31,48.2,-12.8,0
32,25.0,-15.0,0
33,85.0,-10.0,0
34,51.0,-10.0,0
35,29.0,-12.0,0
36,85.0,-8.0,0
37,28.0,-11.0,0
38,120.0,-4.0,0
39,80.0,-7.0,0
40,29.0,-12.0,0
41,26.0,-15.0,0
42,98.0,-8.0,0
43,31.0,-10.0,0
44,70.0,-14.0,0
45,90.0,-11.0,0
46,51.0,-10.0,0
47,48.0,-12.0,0
48,58.0,-16.0,0
49,104.0,-19.0,0
0,126.0,-6.0,1
1,154.0,-5.0,1
2,72.0,-10.0,1
3,25.0,-10.0,1
4,60.0,-13.0,1
5,90.0,-6.0,1
6,120.0,-6.0,1
7,129.0,-4.0,1
8,39.0,-11.0,1
9,107.0,-9.0,1
10,26.0,-13.0,1
11,149.0,-5.0,1
12,164.0,-5.0,1
13,98.0,-9.0,1
14,79.0,-12.0,1
15,170.0,-5.0,1
16,28.0,-16.0,1
17,50.0,-11.0,1
18,28.0,-10.0,1
19,30.0,-9.0,1
20,41.0,-11.0,1
21,26.0,-12.0,1
22,59.0,-11.0,1
23,148.0,-5.0,1
24,33.0,-11.0,1
25,148.0,-4.0,1
26,65.0,-7.0,1
27,27.0,-16.0,1
28,152.0,-5.0,1
29,33.0,-13.0,1
30,29.0,-9.0,1
31,50.0,-14.0,1
32,30.0,-17.0,1
33,91.0,-8.0,1
34,56.0,-11.0,1
35,26.0,-11.0,1
36,78.0,-9.0,1
37,31.0,-12.0,1
38,158.0,-5.0,1
39,63.0,-6.0,1
40,28.0,-11.0,1
41,27.0,-16.0,1
42,124.0,-5.0,1
43,27.0,-12.0,1
44,66.0,-13.0,1
45,84.0,-12.0,1
46,55.0,-7.0,1
47,44.0,-14.0,1
48,56.0,-17.0,1
49,106.0,-18.0,1
50,156.0,-6.0,1
