,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
0,123.0,-6.0,-4.0,1024.0,19.1,0
1,149.0,-9.0,-6.0,1027.0,51.2,0
2,169.0,-8.0,-5.0,1026.0,29.3,0
3,35.0,-24.0,-14.0,1034.0,36.4,0
4,29.0,-26.0,-16.0,1034.0,5.9,0
5,82.0,-11.0,-9.0,1022.0,101.9,0
6,27.0,-23.0,-12.0,1031.0,111.6,0
7,38.0,-25.0,-14.0,1035.0,31.5,0
8,29.0,-21.0,-10.0,1030.0,138.3,0
9,157.0,-9.0,-5.0,1025.0,37.8,0
10,31.0,-26.0,-15.0,1035.0,25.6,0
11,129.0,-8.0,-6.0,1027.0,57.4,0
12,30.0,-21.0,-11.0,1030.0,119.6,0
13,141.0,-7.0,-5.0,1022.0,6.2,0
14,59.0,-25.0,-17.0,1033.0,28.8,0
15,28.0,-21.0,-12.0,1033.0,173.2,0
16,67.0,-8.0,-7.0,1026.0,67.7,0
17,35.0,-23.0,-11.0,1031.0,2.8,0
18,161.0,-9.0,-5.0,1025.0,33.7,0
19,73.0,-11.0,-9.0,1020.0,129.8,0
20,52.0,-22.0,-16.0,1033.0,24.7,0
21,29.0,-22.0,-13.0,1029.0,92.7,0
22,43.0,-22.0,-11.0,1032.0,1.9,0
23,35.0,-24.0,-13.0,1034.0,189.3,0
24,27.0,-27.0,-18.0,1035.0,215.6,0
25,33.0,-26.0,-15.0,1035.0,200.4,0
26,78.0,-11.0,-9.0,1023.0,12.2,0
27,172.0,-8.0,-5.0,1027.0,44.5,0
28,74.0,-11.0,-10.0,1023.0,8.2,0
29,63.0,-11.0,-9.0,1021.0,1.9,0
30,61.0,-23.0,-11.0,1032.0,8.2,0
31,52.0,-26.0,-14.0,1034.0,9.0,0
32,52.0,-24.0,-11.0,1031.0,4.6,0
33,73.0,-10.0,-9.0,1022.0,5.0,0
34,111.0,-7.0,-6.0,1022.0,8.1,0
35,32.0,-26.0,-17.0,1035.0,203.6,0
36,86.0,-22.0,-12.0,1033.0,14.4,0
37,100.0,-11.0,-9.0,1022.0,104.8,0
38,28.0,-20.0,-12.0,1026.0,57.9,0
39,34.0,-20.0,-10.0,1030.0,129.4,0
40,46.0,-26.0,-14.0,1033.0,14.8,0
41,28.0,-18.0,-11.0,1024.0,41.8,0
42,33.0,-24.0,-12.0,1034.0,182.1,0
43,29.0,-25.0,-12.0,1034.0,41.4,0
44,31.0,-21.0,-9.0,1030.0,147.3,0
45,109.0,-11.0,-9.0,1021.0,107.9,0
46,27.0,-17.0,-10.0,1024.0,31.0,0
47,161.0,-11.0,-5.0,1021.0,4.6,0
48,183.0,-7.0,-5.0,1022.0,6.4,0
49,28.0,-22.0,-13.0,1028.0,82.9,0
0,140.0,-7.0,-5.0,1026.0,17.43,1
1,156.0,-8.0,-6.0,1028.0,52.3,1
2,164.0,-8.0,-5.0,1025.0,27.71,1
3,30.0,-25.0,-13.0,1035.0,34.43,1
4,28.0,-27.0,-16.0,1034.0,4.92,1
5,78.0,-11.0,-9.0,1023.0,97.88,1
6,25.0,-23.0,-12.0,1031.0,108.61,1
7,36.0,-25.0,-14.0,1035.0,29.51,1
8,28.0,-21.0,-10.0,1030.0,136.32,1
9,154.0,-9.0,-5.0,1025.0,35.75,1
10,29.0,-26.0,-15.0,1035.0,24.59,1
11,126.0,-8.0,-6.0,1027.0,55.43,1
12,29.0,-21.0,-11.0,1030.0,117.55,1
13,138.0,-7.0,-5.0,1022.0,6.25,1
14,56.0,-25.0,-17.0,1033.0,26.83,1
15,26.0,-21.0,-12.0,1033.0,171.18,1
16,65.0,-8.0,-7.0,1026.0,65.71,1
17,33.0,-23.0,-11.0,1031.0,1.79,1
18,158.0,-9.0,-5.0,1025.0,31.73,1
19,70.0,-11.0,-9.0,1020.0,127.84,1
20,50.0,-22.0,-16.0,1033.0,23.7,1
21,27.0,-22.0,-13.0,1029.0,90.73,1
22,41.0,-22.0,-11.0,1032.0,0.89,1
23,33.0,-24.0,-13.0,1034.0,187.27,1
24,25.0,-27.0,-18.0,1035.0,213.65,1
25,31.0,-26.0,-15.0,1035.0,198.45,1
26,76.0,-11.0,-9.0,1023.0,11.17,1
27,170.0,-8.0,-5.0,1027.0,42.46,1
28,72.0,-11.0,-10.0,1023.0,7.15,1
29,61.0,-11.0,-9.0,1021.0,0.89,1
30,59.0,-23.0,-11.0,1032.0,7.16,1
31,50.0,-26.0,-14.0,1034.0,8.04,1
32,50.0,-24.0,-11.0,1031.0,3.58,1
33,71.0,-10.0,-9.0,1022.0,4.02,1
34,109.0,-7.0,-6.0,1022.0,7.14,1
35,30.0,-26.0,-17.0,1035.0,201.58,1
36,84.0,-22.0,-12.0,1033.0,13.42,1
37,98.0,-11.0,-9.0,1022.0,102.8,1
38,26.0,-20.0,-12.0,1026.0,55.87,1
39,32.0,-20.0,-10.0,1030.0,127.38,1
40,44.0,-26.0,-14.0,1033.0,13.85,1
41,26.0,-18.0,-11.0,1024.0,39.78,1
42,31.0,-24.0,-12.0,1034.0,180.12,1
43,27.0,-25.0,-12.0,1034.0,39.35,1
44,29.0,-21.0,-9.0,1030.0,145.26,1
45,107.0,-11.0,-9.0,1021.0,105.93,1
46,25.0,-17.0,-10.0,1024.0,29.95,1
47,159.0,-11.0,-5.0,1021.0,3.57,1
48,181.0,-7.0,-5.0,1022.0,5.36,1
49,26.0,-22.0,-13.0,1028.0,80.9,1
50,106.0,-24.0,-18.0,1033.0,16.55,1
