,pm2.5,TEMP,real_identifier
0,41.0,-9.0,0
1,93.0,-7.0,0
2,85.0,-7.0,0
3,120.0,-2.0,0
4,58.0,-8.0,0
5,82.0,-12.0,0
6,32.5,-14.0,0
7,92.0,-8.0,0
8,151.0,-4.0,0
9,169.0,-4.0,0
10,67.5,-8.5,0
11,45.2,-10.8,0
12,68.0,-8.0,0
13,201.0,-3.0,0
14,141.0,-3.0,0
15,32.0,-18.0,0
16,71.0,-11.0,0
17,81.0,-7.0,0
18,87.0,-8.0,0
19,32.0,-10.0,0
20,123.0,-8.0,0
21,41.0,-10.0,0
22,42.0,-12.0,0
23,120.0,-8.0,0
24,120.0,-10.0,0
25,80.0,-12.0,0
26,27.5,-15.0,0
27,24.0,-20.0,0
28,108.0,-7.0,0
29,85.0,-12.0,0
30,30.5,-8.0,0
31,140.0,-3.0,0
32,91.5,-7.8,0
33,145.2,-3.2,0
34,28.0,-8.0,0
35,51.0,-8.0,0
36,85.0,-8.0,0
37,32.0,-14.0,0
38,54.0,-15.0,0
39,60.0,-12.0,0
40,28.5,-9.5,0
41,32.0,-14.5,0
42,35.0,-8.0,0
43,140.0,-4.0,0
44,55.0,-15.0,0
45,78.0,-11.0,0
46,35.0,-15.0,0
47,92.0,-6.0,0
48,85.0,-10.0,0
49,78.0,-12.0,0
0,33.0,-11.0,1
1,126.0,-6.0,1
2,71.0,-9.0,1
3,148.0,-4.0,1
4,63.0,-6.0,1
5,77.0,-14.0,1
6,27.0,-16.0,1
7,105.0,-6.0,1
8,140.0,-5.0,1
9,164.0,-5.0,1
10,70.0,-9.0,1
11,41.0,-11.0,1
12,56.0,-11.0,1
13,181.0,-5.0,1
14,164.0,-5.0,1
15,28.0,-19.0,1
16,66.0,-13.0,1
17,76.0,-9.0,1
18,96.0,-9.0,1
19,29.0,-9.0,1
20,159.0,-5.0,1
21,29.0,-13.0,1
22,50.0,-11.0,1
23,107.0,-9.0,1
24,50.0,-16.0,1
25,170.0,-5.0,1
26,26.0,-12.0,1
27,25.0,-18.0,1
28,124.0,-5.0,1
29,72.0,-10.0,1
30,25.0,-10.0,1
31,164.0,-5.0,1
32,86.0,-9.0,1
33,159.0,-5.0,1
34,30.0,-9.0,1
35,53.0,-9.0,1
36,95.0,-9.0,1
37,27.0,-16.0,1
38,56.0,-17.0,1
39,58.0,-9.0,1
40,26.0,-11.0,1
41,30.0,-13.0,1
42,28.0,-10.0,1
43,154.0,-5.0,1
44,60.0,-13.0,1
45,82.0,-9.0,1
46,27.0,-19.0,1
47,83.0,-8.0,1
48,73.0,-11.0,1
49,90.0,-9.0,1
50,65.0,-7.0,1
