,pm2.5,TEMP,real_identifier
0,58.0,-10.0,0
1,118.0,-7.0,0
2,32.0,-14.0,0
3,94.0,-8.0,0
4,25.0,-16.0,0
5,151.0,-5.0,0
6,49.0,-10.0,0
7,35.0,-13.0,0
8,129.0,-6.0,0
9,33.0,-15.0,0
10,56.0,-12.0,0
11,89.0,-9.0,0
12,73.0,-8.0,0
13,80.0,-10.0,0
14,98.0,-7.0,0
15,46.0,-11.0,0
16,112.0,-6.0,0
17,31.0,-12.0,0
18,59.0,-8.0,0
19,125.0,-5.0,0
20,69.0,-9.0,0
21,29.0,-13.0,0
22,104.0,-6.0,0
23,110.0,-8.0,0
24,38.0,-12.0,0
25,119.0,-6.0,0
26,22.0,-19.0,0
27,35.0,-16.0,0
28,69.0,-10.0,0
29,92.0,-13.0,0
30,141.0,-4.0,0
31,51.0,-18.0,0
32,157.0,-6.0,0
33,29.0,-11.0,0
34,74.0,-15.0,0
35,24.0,-13.0,0
36,38.0,-19.0,0
37,168.0,-4.0,0
38,32.0,-14.0,0
39,151.0,-6.0,0
40,82.0,-8.0,0
41,34.0,-13.0,0
42,36.0,-14.0,0
43,183.0,-5.0,0
44,62.0,-14.0,0
45,26.0,-17.0,0
46,89.0,-9.0,0
47,61.0,-9.0,0
48,30.0,-12.0,0
49,42.0,-11.0,0
50,83.0,-8.0,1
51,28.0,-16.0,1
52,36.0,-14.0,1
53,79.0,-12.0,1
54,27.0,-16.0,1
55,159.0,-5.0,1
56,53.0,-9.0,1
57,29.0,-13.0,1
58,140.0,-5.0,1
59,29.0,-15.0,1
60,50.0,-14.0,1
61,91.0,-8.0,1
62,70.0,-9.0,1
63,76.0,-9.0,1
64,86.0,-9.0,1
65,41.0,-11.0,1
66,109.0,-6.0,1
67,30.0,-11.0,1
68,55.0,-7.0,1
69,120.0,-6.0,1
70,65.0,-7.0,1
71,27.0,-12.0,1
72,29.0,-9.0,1
73,105.0,-6.0,1
74,107.0,-9.0,1
75,124.0,-5.0,1
76,25.0,-18.0,1
77,30.0,-17.0,1
78,73.0,-11.0,1
79,84.0,-12.0,1
80,148.0,-5.0,1
81,56.0,-17.0,1
82,149.0,-5.0,1
83,25.0,-12.0,1
84,77.0,-14.0,1
85,26.0,-12.0,1
86,34.0,-18.0,1
87,164.0,-5.0,1
88,29.0,-13.0,1
89,154.0,-5.0,1
90,78.0,-9.0,1
91,31.0,-12.0,1
92,33.0,-13.0,1
93,181.0,-5.0,1
94,60.0,-13.0,1
95,27.0,-16.0,1
96,86.0,-9.0,1
97,58.0,-9.0,1
98,28.0,-11.0,1
99,39.0,-11.0,1
