,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
0,75.0,-15.0,-12.0,1025.0,110.2,0
1,40.0,-18.0,-10.0,1035.0,140.8,0
2,92.0,-10.0,-8.0,1025.0,10.5,0
3,30.0,-20.0,-12.0,1030.0,85.2,0
4,85.0,-5.0,-5.0,1025.0,60.2,0
5,40.0,-18.0,-9.0,1028.0,120.1,0
6,28.5,-25.0,-12.0,1032.0,205.8,0
7,34.0,-24.0,-10.0,1033.0,192.1,0
8,45.0,-25.0,-15.0,1034.0,12.1,0
9,32.0,-29.0,-17.0,1037.0,195.8,0
10,120.0,-12.0,-6.0,1018.0,1.9,0
11,30.0,-16.0,-9.0,1022.0,35.1,0
12,35.0,-20.0,-14.0,1038.0,22.1,0
13,85.0,-8.0,-6.0,1025.0,95.5,0
14,40.0,-22.0,-12.0,1036.0,25.1,0
15,32.0,-24.0,-15.0,1033.0,6.8,0
16,42.0,-15.0,-7.0,1025.0,87.3,0
17,58.0,-18.0,-10.0,1033.0,219.1,0
18,155.0,-7.0,-4.0,1027.0,22.1,0
19,168.0,-7.0,-4.0,1024.0,29.3,0
20,142.0,-10.0,-8.0,1025.0,49.8,0
21,45.0,-20.0,-9.0,1030.0,43.5,0
22,31.0,-20.0,-10.0,1029.0,120.8,0
23,25.0,-23.0,-13.0,1031.0,105.4,0
24,135.0,-12.0,-3.0,1018.0,2.1,0
25,122.0,-10.0,-5.0,1023.0,50.8,0
26,142.0,-10.0,-8.0,1025.0,35.7,0
27,91.0,-20.0,-10.0,1031.0,16.2,0
28,48.0,-25.0,-10.0,1032.0,7.1,0
29,31.0,-19.0,-13.0,1034.0,201.5,0
30,48.5,-24.0,-15.0,1032.0,18.2,0
31,52.0,-20.0,-17.0,1035.0,12.5,0
32,58.0,-18.0,-12.0,1015.0,83.2,0
33,51.0,-22.0,-16.0,1028.0,21.9,0
34,58.2,-5.4,-4.2,1026.8,67.1,0
35,40.8,-22.1,-14.5,1032.4,191.9,0
36,85.0,-15.0,-14.0,1025.0,17.1,0
37,67.0,-10.0,-8.0,1019.0,1.2,0
38,140.0,-11.0,-3.0,1028.0,30.2,0
39,40.0,-22.0,-10.0,1032.0,33.1,0
40,120.0,-6.0,-3.0,1028.0,18.5,0
41,40.0,-20.0,-10.0,1032.0,150.9,0
42,93.0,-15.0,-11.0,1018.0,109.2,0
43,31.0,-22.0,-14.0,1031.0,45.6,0
44,119.5,-9.5,-7.0,1023.5,87.3,0
45,143.8,-6.2,-3.5,1025.2,61.1,0
46,42.0,-20.0,-14.0,1030.0,12.0,0
47,85.0,-15.0,-10.0,1025.0,105.0,0
48,105.0,-12.0,-10.0,1028.0,18.5,0
49,80.0,-20.0,-15.0,1030.0,22.1,0
0,86.0,-11.0,-9.0,1023.0,93.86,1
1,30.0,-20.0,-11.0,1032.0,159.56,1
2,105.0,-7.0,-6.0,1023.0,8.93,1
3,26.0,-22.0,-13.0,1028.0,80.9,1
4,90.0,-7.0,-6.0,1027.0,58.56,1
5,32.0,-20.0,-10.0,1030.0,127.38,1
6,25.0,-27.0,-18.0,1035.0,213.65,1
7,31.0,-26.0,-15.0,1035.0,198.45,1
8,59.0,-23.0,-11.0,1032.0,7.16,1
9,28.0,-27.0,-19.0,1035.0,218.57,1
10,148.0,-15.0,-4.0,1020.0,2.68,1
11,26.0,-18.0,-11.0,1024.0,39.78,1
12,27.0,-26.0,-16.0,1035.0,18.78,1
13,98.0,-11.0,-9.0,1022.0,102.8,1
14,36.0,-25.0,-14.0,1035.0,29.51,1
15,28.0,-27.0,-16.0,1034.0,4.92,1
16,71.0,-10.0,-9.0,1022.0,4.02,1
17,30.0,-21.0,-9.0,1031.0,152.41,1
18,152.0,-8.0,-5.0,1026.0,20.56,1
19,164.0,-8.0,-5.0,1025.0,27.71,1
20,156.0,-8.0,-6.0,1028.0,52.3,1
21,39.0,-24.0,-11.0,1032.0,41.14,1
22,29.0,-21.0,-11.0,1030.0,117.55,1
23,27.0,-22.0,-12.0,1030.0,100.56,1
24,129.0,-16.0,-4.0,1020.0,1.79,1
25,126.0,-8.0,-6.0,1027.0,55.43,1
26,164.0,-8.0,-5.0,1027.0,39.33,1
27,84.0,-22.0,-12.0,1033.0,13.42,1
28,56.0,-23.0,-11.0,1031.0,5.37,1
29,26.0,-21.0,-12.0,1033.0,171.18,1
30,50.0,-26.0,-14.0,1034.0,8.04,1
31,50.0,-22.0,-16.0,1033.0,23.7,1
32,70.0,-11.0,-9.0,1020.0,127.84,1
33,44.0,-26.0,-14.0,1033.0,13.85,1
34,65.0,-8.0,-7.0,1024.0,72.86,1
35,34.0,-26.0,-18.0,1035.0,205.6,1
36,73.0,-12.0,-11.0,1023.0,14.3,1
37,61.0,-11.0,-9.0,1021.0,0.89,1
38,158.0,-9.0,-5.0,1025.0,31.73,1
39,30.0,-25.0,-13.0,1035.0,34.43,1
40,148.0,-8.0,-5.0,1026.0,23.69,1
41,33.0,-24.0,-13.0,1034.0,187.27,1
42,86.0,-11.0,-9.0,1020.0,124.71,1
43,27.0,-25.0,-12.0,1034.0,39.35,1
44,107.0,-11.0,-9.0,1021.0,105.93,1
45,164.0,-7.0,-5.0,1027.0,49.17,1
46,27.0,-26.0,-16.0,1035.0,8.05,1
47,90.0,-11.0,-9.0,1020.0,111.74,1
48,132.0,-7.0,-5.0,1025.0,14.3,1
49,56.0,-25.0,-17.0,1033.0,26.83,1
50,20.0,-21.0,-12.0,1027.0,64.81,1
