,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
0,143.0,-9.0,-3.0,1019.0,2.9,0
1,31.0,-15.0,-9.0,1022.0,36.2,0
2,145.0,-4.0,-3.0,1019.0,87.2,0
3,92.0,-9.0,-7.0,1018.0,54.1,0
4,32.5,-24.0,-16.0,1034.0,185.1,0
5,55.0,-20.0,-11.0,1032.0,12.9,0
6,120.0,-9.0,-4.0,1025.0,15.1,0
7,90.0,-6.0,-7.0,1022.0,12.8,0
8,43.0,-24.0,-11.0,1032.0,12.0,0
9,32.0,-19.0,-9.0,1031.0,201.5,0
10,92.0,-10.0,-8.0,1021.0,112.5,0
11,88.0,-12.0,-10.0,1019.0,119.2,0
12,140.0,-8.0,-4.0,1026.0,32.0,0
13,125.0,-6.0,-3.0,1023.0,20.0,0
14,55.0,-20.0,-9.0,1030.0,40.8,0
15,160.0,-10.0,-4.0,1025.0,43.2,0
16,32.5,-24.0,-15.0,1032.0,187.8,0
17,141.0,-10.0,-3.0,1024.0,61.5,0
18,31.5,-19.0,-8.0,1031.0,140.2,0
19,30.0,-22.0,-11.0,1029.0,130.1,0
20,91.0,-15.0,-9.0,1030.0,24.8,0
21,148.0,-5.0,-3.0,1025.0,43.2,0
22,40.0,-20.0,-10.0,1030.0,7.2,0
23,25.0,-19.0,-8.0,1032.0,140.8,0
24,80.5,-10.5,-10.2,1022.5,85.1,0
25,76.2,-13.1,-12.5,1023.2,18.4,0
26,28.0,-20.0,-9.0,1030.0,2.1,0
27,110.0,-7.0,-5.0,1025.0,11.2,0
28,91.0,-10.0,-9.0,1026.0,69.1,0
29,143.0,-7.0,-5.0,1030.0,58.5,0
30,71.0,-10.0,-9.0,1025.0,55.3,0
31,82.0,-16.0,-14.0,1022.0,20.8,0
32,145.0,-10.0,-7.0,1025.0,45.1,0
33,35.0,-20.0,-11.0,1031.0,85.3,0
34,123.0,-7.0,-3.0,1027.0,55.1,0
35,105.0,-12.0,-10.0,1025.0,70.3,0
36,145.0,-9.0,-6.0,1024.0,30.2,0
37,60.0,-7.0,-8.0,1026.0,65.1,0
38,75.0,-6.0,-5.0,1025.0,80.2,0
39,92.0,-12.0,-11.0,1023.0,78.5,0
40,65.0,-15.0,-12.0,1018.0,6.5,0
41,32.0,-25.0,-18.0,1032.0,210.8,0
42,28.0,-24.0,-12.0,1034.0,195.8,0
43,29.0,-25.0,-16.0,1036.0,204.2,0
44,85.0,-6.0,-5.0,1028.0,50.2,0
45,160.0,-9.0,-4.0,1025.0,20.1,0
46,58.0,-5.0,-4.0,1024.0,60.2,0
47,31.0,-22.0,-10.0,1032.0,41.8,0
48,28.0,-21.0,-11.0,1032.0,105.6,0
49,26.0,-24.0,-13.0,1031.0,110.6,0
50,159.0,-11.0,-5.0,1021.0,3.57,1
51,26.0,-18.0,-11.0,1024.0,39.78,1
52,181.0,-7.0,-5.0,1022.0,5.36,1
53,70.0,-11.0,-9.0,1020.0,127.84,1
54,27.0,-26.0,-19.0,1035.0,208.73,1
55,60.0,-22.0,-13.0,1033.0,10.29,1
56,152.0,-8.0,-5.0,1026.0,20.56,1
57,105.0,-7.0,-6.0,1023.0,8.93,1
58,50.0,-26.0,-14.0,1034.0,8.04,1
59,26.0,-21.0,-12.0,1033.0,171.18,1
60,98.0,-11.0,-9.0,1022.0,102.8,1
61,86.0,-11.0,-9.0,1020.0,124.71,1
62,154.0,-7.0,-5.0,1028.0,46.04,1
63,132.0,-7.0,-5.0,1025.0,14.3,1
64,39.0,-24.0,-11.0,1032.0,41.14,1
65,170.0,-8.0,-5.0,1027.0,42.46,1
66,25.0,-27.0,-18.0,1035.0,213.65,1
67,164.0,-7.0,-5.0,1027.0,49.17,1
68,29.0,-21.0,-9.0,1030.0,145.26,1
69,32.0,-20.0,-10.0,1030.0,127.38,1
70,126.0,-8.0,-6.0,1027.0,55.43,1
71,84.0,-22.0,-12.0,1033.0,13.42,1
72,56.0,-23.0,-11.0,1031.0,5.37,1
73,30.0,-21.0,-9.0,1031.0,152.41,1
74,86.0,-11.0,-9.0,1023.0,93.86,1
75,73.0,-12.0,-11.0,1023.0,14.3,1
76,33.0,-23.0,-11.0,1031.0,1.79,1
77,120.0,-8.0,-6.0,1024.0,12.51,1
78,83.0,-9.0,-8.0,1024.0,76.88,1
79,156.0,-8.0,-6.0,1028.0,52.3,1
80,79.0,-14.0,-12.0,1023.0,16.09,1
81,65.0,-8.0,-7.0,1026.0,65.71,1
82,164.0,-8.0,-5.0,1027.0,39.33,1
83,27.0,-22.0,-13.0,1029.0,90.73,1
84,159.0,-9.0,-5.0,1026.0,37.54,1
85,91.0,-10.0,-8.0,1024.0,80.9,1
86,164.0,-8.0,-5.0,1025.0,27.71,1
87,55.0,-8.0,-7.0,1025.0,68.84,1
88,65.0,-8.0,-7.0,1024.0,72.86,1
89,86.0,-10.0,-9.0,1024.0,84.92,1
90,72.0,-11.0,-10.0,1023.0,7.15,1
91,28.0,-27.0,-19.0,1035.0,218.57,1
92,31.0,-26.0,-15.0,1035.0,198.45,1
93,30.0,-26.0,-17.0,1035.0,201.58,1
94,90.0,-7.0,-6.0,1027.0,58.56,1
95,148.0,-8.0,-5.0,1026.0,23.69,1
96,63.0,-8.0,-6.0,1026.0,61.69,1
97,27.0,-25.0,-12.0,1034.0,39.35,1
98,25.0,-23.0,-12.0,1031.0,108.61,1
99,27.0,-22.0,-12.0,1030.0,100.56,1
