,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
0,42.0,-24.0,-12.0,1032.0,145.1,0
1,118.0,-9.0,-7.0,1029.0,61.9,0
2,92.0,-12.0,-10.0,1025.0,109.5,0
3,38.0,-23.0,-13.0,1031.0,184.8,0
4,159.0,-7.0,-5.0,1026.0,49.2,0
5,67.0,-15.0,-11.0,1028.0,76.3,0
6,131.0,-8.0,-6.0,1027.0,35.1,0
7,25.0,-22.0,-14.0,1033.0,160.2,0
8,101.0,-10.0,-9.0,1024.0,91.9,0
9,44.0,-25.0,-15.0,1034.0,206.8,0
10,138.0,-8.0,-6.0,1028.0,58.5,0
11,82.0,-13.0,-11.0,1029.0,122.1,0
12,169.0,-7.0,-5.0,1027.0,46.9,0
13,29.0,-20.0,-12.0,1032.0,151.5,0
14,115.0,-9.0,-7.0,1029.0,69.2,0
15,93.0,-11.0,-9.0,1025.0,105.8,0
16,40.0,-24.0,-14.0,1033.0,189.2,0
17,157.0,-7.0,-5.0,1026.0,51.5,0
18,71.0,-14.0,-10.0,1028.0,82.9,0
19,129.0,-8.0,-6.0,1027.0,39.5,0
20,26.0,-21.0,-13.0,1032.0,162.1,0
21,100.0,-10.0,-9.0,1024.0,95.1,0
22,43.0,-25.0,-15.0,1034.0,209.9,0
23,137.0,-8.0,-6.0,1028.0,59.8,0
24,81.0,-13.0,-11.0,1029.0,123.5,0
25,41.0,-20.0,-10.0,1029.0,54.8,0
26,119.0,-9.0,-6.0,1023.0,16.3,0
27,23.0,-19.0,-12.0,1032.0,93.4,0
28,67.0,-15.0,-8.0,1022.0,113.9,0
29,138.0,-6.0,-4.0,1021.0,6.5,0
30,29.0,-24.0,-14.0,1034.0,188.2,0
31,49.0,-18.0,-9.0,1028.0,131.1,0
32,115.0,-8.0,-5.0,1024.0,11.9,0
33,25.0,-22.0,-11.0,1031.0,105.6,0
34,81.0,-12.0,-8.0,1021.0,129.5,0
35,36.0,-21.0,-10.0,1030.0,151.9,0
36,122.0,-7.0,-5.0,1023.0,9.1,0
37,59.0,-17.0,-9.0,1026.0,66.9,0
38,27.0,-26.0,-16.0,1035.0,20.4,0
39,93.0,-11.0,-7.0,1022.0,123.4,0
40,31.0,-23.0,-12.0,1033.0,183.5,0
41,44.0,-19.0,-9.0,1029.0,141.8,0
42,128.0,-8.0,-6.0,1024.0,13.4,0
43,24.0,-20.0,-10.0,1031.0,98.5,0
44,72.0,-14.0,-8.0,1022.0,118.3,0
45,39.0,-22.0,-11.0,1032.0,109.2,0
46,116.0,-7.0,-5.0,1024.0,10.9,0
47,51.0,-18.0,-9.0,1028.0,134.9,0
48,29.0,-25.0,-13.0,1034.0,192.8,0
49,82.0,-12.0,-7.0,1021.0,132.1,0
50,37.0,-21.0,-10.0,1030.0,154.5,0
51,125.0,-7.0,-5.0,1023.0,8.5,0
0,27.0,-26.0,-19.0,1035.0,208.73,1
1,32.0,-20.0,-10.0,1030.0,127.38,1
2,126.0,-8.0,-6.0,1027.0,55.43,1
3,152.0,-8.0,-5.0,1026.0,20.56,1
4,50.0,-26.0,-14.0,1034.0,8.04,1
5,36.0,-25.0,-14.0,1035.0,29.51,1
6,27.0,-26.0,-16.0,1035.0,8.05,1
7,164.0,-8.0,-5.0,1025.0,27.71,1
8,96.0,-11.0,-9.0,1020.0,116.66,1
9,30.0,-26.0,-17.0,1035.0,201.58,1
10,60.0,-22.0,-13.0,1033.0,10.29,1
11,164.0,-8.0,-5.0,1027.0,39.33,1
12,149.0,-8.0,-5.0,1028.0,44.25,1
13,86.0,-10.0,-9.0,1024.0,84.92,1
14,170.0,-8.0,-5.0,1027.0,42.46,1
15,26.0,-21.0,-12.0,1033.0,171.18,1
16,76.0,-11.0,-9.0,1023.0,11.17,1
17,140.0,-7.0,-5.0,1026.0,17.43,1
18,20.0,-21.0,-12.0,1027.0,64.81,1
19,72.0,-11.0,-10.0,1023.0,7.15,1
20,31.0,-26.0,-15.0,1035.0,198.45,1
21,28.0,-21.0,-10.0,1030.0,136.32,1
22,28.0,-27.0,-16.0,1034.0,4.92,1
23,77.0,-25.0,-14.0,1033.0,4.02,1
24,156.0,-8.0,-6.0,1028.0,52.3,1
