,pm2.5,DEWP,TEMP,PRES,Iws
0,151.0,-9.0,-5.0,1024.0,19.1
1,168.0,-8.0,-5.0,1026.0,24.9
2,142.0,-7.0,-5.0,1025.0,30.3
3,162.0,-8.0,-5.0,1026.0,36.6
4,140.0,-8.0,-5.0,1025.0,42.9
5,155.0,-7.0,-5.0,1027.0,49.2
6,170.0,-8.0,-5.0,1028.0,55.5
7,158.0,-9.0,-5.0,1027.0,61.8
8,145.0,-8.0,-5.0,1026.0,68.1
9,165.0,-7.0,-5.0,1027.0,74.4
10,160.0,-8.0,-5.0,1026.0,80.7
11,150.0,-7.0,-5.0,1025.0,87.0
12,167.0,-8.0,-5.0,1027.0,93.3
13,143.0,-9.0,-5.0,1025.0,99.6
14,161.0,-8.0,-5.0,1026.0,105.9
15,169.0,-7.0,-5.0,1027.0,112.2
16,157.0,-8.0,-5.0,1026.0,118.5
17,141.0,-8.0,-5.0,1025.0,124.8
18,166.0,-7.0,-5.0,1027.0,131.1
19,159.0,-9.0,-5.0,1026.0,137.4
20,152.0,-8.0,-5.0,1025.0,143.7
21,163.0,-7.0,-5.0,1026.0,150.0
22,147.0,-8.0,-5.0,1025.0,156.3
23,154.0,-9.0,-5.0,1026.0,162.6
24,171.0,-7.0,-5.0,1027.0,168.9
25,85.0,-10.0,-8.0,1024.0,75.3
26,92.0,-10.0,-8.0,1024.0,80.1
27,88.0,-11.0,-9.0,1023.0,85.2
28,81.0,-11.0,-9.0,1023.0,90.4
29,95.0,-11.0,-9.0,1022.0,96.5
30,108.0,-11.0,-9.0,1021.0,101.7
31,93.0,-11.0,-9.0,1020.0,107.8
32,99.0,-11.0,-9.0,1020.0,113.9
33,98.0,-11.0,-9.0,1020.0,119.9
34,89.0,-11.0,-9.0,1020.0,123.1
35,73.0,-11.0,-9.0,1020.0,126.4
36,64.0,-11.0,-9.0,1021.0,2.4
37,56.0,-11.0,-9.0,1022.0,4.5
38,74.0,-10.0,-9.0,1022.0,7.7
39,75.0,-11.0,-10.0,1023.0,11.9
40,79.0,-11.0,-9.0,1023.0,16.1
41,76.0,-12.0,-11.0,1023.0,19.3
42,82.0,-14.0,-12.0,1023.0,21.1
43,61.0,-16.0,-9.0,1023.0,26.9
44,68.0,-11.0,-9.0,1024.0,30.1
45,77.0,-11.0,-9.0,1024.0,34.3
46,84.0,-11.0,-9.0,1024.0,38.5
47,91.0,-11.0,-9.0,1024.0,42.7
48,98.0,-11.0,-9.0,1024.0,46.9
49,105.0,-11.0,-9.0,1024.0,51.1
50,112.0,-11.0,-9.0,1024.0,55.3
51,28.0,-20.0,-12.0,1028.0,140.9
52,30.0,-22.0,-13.0,1031.0,169.1
53,26.0,-19.0,-11.0,1026.0,122.5
54,31.0,-24.0,-14.0,1033.0,184.9
55,29.0,-21.0,-12.0,1029.0,158.7
56,27.0,-23.0,-13.0,1030.0,147.3
57,32.0,-25.0,-15.0,1032.0,191.9
58,25.0,-18.0,-10.0,1025.0,108.2
59,30.0,-22.0,-13.0,1031.0,175.9
60,28.0,-20.0,-12.0,1028.0,143.1
61,29.0,-21.0,-12.0,1029.0,161.5
62,26.0,-19.0,-11.0,1026.0,126.9
63,31.0,-24.0,-14.0,1033.0,189.7
64,27.0,-23.0,-13.0,1030.0,152.1
65,32.0,-25.0,-15.0,1032.0,196.5
66,25.0,-18.0,-10.0,1025.0,112.4
67,30.0,-22.0,-13.0,1031.0,181.3
68,28.0,-20.0,-12.0,1028.0,149.9
69,29.0,-21.0,-12.0,1029.0,168.5
70,26.0,-19.0,-11.0,1026.0,131.7
71,31.0,-24.0,-14.0,1033.0,194.3
72,27.0,-23.0,-13.0,1030.0,159.9
73,32.0,-25.0,-15.0,1032.0,204.1
74,25.0,-18.0,-10.0,1025.0,116.6
75,29.0,-26.0,-15.0,1035.0,20.8
76,34.0,-25.0,-14.0,1035.0,26.3
77,40.0,-24.0,-13.0,1034.0,31.9
78,45.0,-23.0,-12.0,1034.0,37.5
79,51.0,-22.0,-11.0,1033.0,43.1
80,58.0,-21.0,-10.0,1033.0,48.7
81,65.0,-20.0,-9.0,1032.0,54.3
82,73.0,-19.0,-8.0,1032.0,59.9
83,82.0,-18.0,-7.0,1031.0,65.5
84,92.0,-17.0,-6.0,1031.0,71.1
85,103.0,-16.0,-5.0,1030.0,76.7
86,115.0,-15.0,-4.0,1030.0,82.3
87,128.0,-14.0,-3.0,1029.0,87.9
88,142.0,-13.0,-2.0,1029.0,93.5
89,157.0,-12.0,-1.0,1028.0,99.1
90,173.0,-11.0,0.0,1028.0,104.7
91,190.0,-10.0,1.0,1027.0,110.3
92,208.0,-9.0,2.0,1027.0,115.9
93,227.0,-8.0,3.0,1026.0,121.5
94,247.0,-7.0,4.0,1026.0,127.1
95,268.0,-6.0,5.0,1025.0,132.7
96,290.0,-5.0,6.0,1025.0,138.3
97,313.0,-4.0,7.0,1024.0,143.9
98,337.0,-3.0,8.0,1024.0,149.5
99,362.0,-2.0,9.0,1023.0,155.1
100,388.0,-1.0,10.0,1023.0,160.7
101,415.0,0.0,11.0,1022.0,166.3
