,pm2.5,TEMP,real_identifier
0,145.0,-8.0,0
1,85.0,-9.0,0
2,123.0,-4.0,0
3,85.0,-8.0,0
4,41.5,-9.0,0
5,25.0,-16.0,0
6,32.5,-9.5,0
7,145.0,-6.0,0
8,26.5,-12.5,0
9,28.2,-12.8,0
10,85.0,-8.0,0
11,92.0,-10.0,0
12,58.0,-9.0,0
13,32.0,-14.0,0
14,120.0,-8.0,0
15,80.0,-12.0,0
16,120.0,-3.0,0
17,70.0,-10.0,0
18,22.5,-8.0,0
19,29.2,-14.5,0
20,25.0,-12.0,0
21,90.0,-20.0,0
22,92.5,-6.5,0
23,135.0,-3.5,0
24,30.5,-10.2,0
25,82.1,-15.5,0
26,108.0,-3.0,0
27,41.0,-6.0,0
28,28.5,-9.5,0
29,151.2,-6.2,0
30,42.0,-12.0,0
31,30.0,-15.0,0
32,58.0,-10.0,0
33,32.0,-14.0,0
34,58.2,-10.5,0
35,118.8,-4.2,0
36,56.0,-12.0,0
37,28.0,-15.0,0
38,42.0,-8.0,0
39,120.0,-2.0,0
40,120.0,-3.0,0
41,60.0,-9.0,0
42,67.0,-10.0,0
43,41.0,-9.0,0
44,31.5,-10.5,0
45,92.2,-8.2,0
46,25.0,-15.0,0
47,120.0,-8.0,0
48,40.5,-12.0,0
49,25.0,-11.0,0
50,164.0,-5.0,1
51,73.0,-11.0,1
52,156.0,-6.0,1
53,71.0,-9.0,1
54,39.0,-11.0,1
55,28.0,-19.0,1
56,28.0,-11.0,1
57,159.0,-5.0,1
58,27.0,-13.0,1
59,29.0,-13.0,1
60,76.0,-9.0,1
61,98.0,-9.0,1
62,65.0,-7.0,1
63,28.0,-16.0,1
64,50.0,-14.0,1
65,149.0,-5.0,1
66,154.0,-5.0,1
67,50.0,-16.0,1
68,25.0,-10.0,1
69,27.0,-16.0,1
70,31.0,-15.0,1
71,106.0,-18.0,1
72,83.0,-8.0,1
73,148.0,-4.0,1
74,25.0,-12.0,1
75,77.0,-14.0,1
76,132.0,-5.0,1
77,55.0,-7.0,1
78,30.0,-11.0,1
79,164.0,-5.0,1
80,70.0,-9.0,1
81,25.0,-18.0,1
82,66.0,-13.0,1
83,27.0,-16.0,1
84,60.0,-13.0,1
85,124.0,-5.0,1
86,86.0,-9.0,1
87,34.0,-18.0,1
88,26.0,-12.0,1
89,170.0,-5.0,1
90,138.0,-5.0,1
91,50.0,-11.0,1
92,79.0,-12.0,1
93,29.0,-11.0,1
94,26.0,-12.0,1
95,107.0,-9.0,1
96,30.0,-17.0,1
97,105.0,-6.0,1
98,36.0,-14.0,1
99,29.0,-13.0,1
