,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,12.0,15.0,18.0,108.0,-3.0,2.0,1019.0,25.1,2.0,10.0,0
1,12.0,15.0,22.0,112.0,-2.0,1.0,1022.0,30.8,1.0,5.0,0
2,12.0,28.0,9.0,55.0,-15.0,-10.0,1035.0,8.5,0.0,0.0,0
3,3.0,15.0,17.0,120.0,-5.0,5.0,1015.0,22.1,0.0,0.0,0
4,2.0,10.0,14.0,45.0,-5.0,2.0,1015.0,80.2,7.0,50.0,0
5,3.0,20.0,16.0,32.0,0.0,10.0,1005.0,70.5,3.0,80.0,0
6,2.0,10.0,15.0,40.0,-5.0,2.0,1015.0,50.1,1.0,20.0,0
7,3.0,20.0,10.0,25.0,0.0,10.0,1005.0,30.5,2.0,50.0,0
8,1.0,5.0,18.0,120.0,-10.0,-7.0,1018.0,140.8,18.0,0.0,0
9,1.0,1.0,9.0,110.0,-12.0,-11.0,1022.0,100.3,0.0,0.0,0
10,12.0,15.0,18.0,120.0,-3.0,2.0,1015.0,10.8,0.0,0.0,0
11,12.0,15.0,22.0,110.0,-5.0,1.0,1018.0,7.2,0.0,0.0,0
12,2.0,10.0,15.0,70.0,-15.0,-5.0,1019.0,23.1,5.0,50.0,0
13,12.0,25.0,22.0,90.0,-25.0,-15.0,1042.0,10.2,0.0,0.0,0
14,12.0,28.0,18.0,120.0,-5.0,-2.0,1018.0,85.1,10.0,0.0,0
15,12.0,29.0,9.0,90.0,-7.0,-5.0,1025.0,67.4,5.0,0.0,0
16,12.0,22.0,14.0,28.0,-18.0,-8.0,1038.0,25.5,0.0,0.0,0
17,3.0,18.0,20.0,120.0,-5.0,2.0,1022.0,38.5,0.0,0.0,0
18,3.0,15.0,10.0,75.0,-8.0,2.0,1015.0,50.2,1.0,200.0,0
19,9.0,20.0,18.0,120.0,10.0,18.0,1005.0,20.5,2.0,300.0,0
20,1.0,10.0,14.0,83.0,-15.0,-8.0,1025.0,67.1,0.0,0.0,0
21,1.0,25.0,8.0,41.0,-22.0,-14.0,1032.0,156.9,0.0,0.0,0
22,12.0,28.0,10.0,120.0,-5.0,2.0,1018.0,50.2,4.0,20.0,0
23,6.0,15.0,18.0,80.0,18.0,25.0,1005.0,28.5,2.0,50.0,0
24,2.0,15.0,10.0,85.0,-5.0,2.0,1015.0,50.8,18.0,20.0,0
25,2.0,15.0,22.0,70.0,-5.0,2.0,1016.0,30.1,22.0,10.0,0
26,2.0,10.0,10.0,45.0,-10.0,2.0,1015.0,7.3,1.0,50.0,0
27,3.0,20.0,15.0,60.0,2.0,15.0,1005.0,10.5,2.0,80.0,0
28,12.0,20.0,14.0,25.0,-10.0,2.0,1020.0,20.8,1.0,50.0,0
29,12.0,21.0,6.0,40.0,-12.0,0.0,1018.0,12.0,0.0,20.0,0
30,12.0,20.0,10.0,55.0,-15.0,2.0,1015.0,28.5,0.0,50.0,0
31,6.0,15.0,18.0,120.0,10.0,25.0,1005.0,18.2,2.0,200.0,0
32,12.0,28.0,18.0,56.0,-5.0,2.0,1026.0,7.8,5.0,20.0,0
33,12.0,28.0,22.0,67.0,-3.0,4.0,1025.0,11.5,15.0,10.0,0
34,12.0,28.0,10.0,120.0,-2.0,2.0,1018.0,18.3,0.0,0.0,0
35,3.0,15.0,19.0,80.0,5.0,12.0,1012.0,25.9,0.0,0.0,0
36,2.0,15.0,10.0,120.0,-5.0,2.0,1018.0,25.1,2.0,50.0,0
37,2.0,20.0,18.0,180.0,-3.0,5.0,1012.0,40.8,6.0,100.0,0
38,12.0,20.0,10.0,45.0,-15.0,-2.0,1025.0,120.8,1.0,50.0,0
39,6.0,15.0,18.0,80.0,10.0,22.0,1015.0,80.2,3.0,200.0,0
40,2.0,10.0,12.0,40.0,-15.0,2.0,1015.0,120.5,1.0,50.0,0
41,2.0,10.0,18.0,35.0,-10.0,5.0,1005.0,90.2,1.0,30.0,0
42,2.0,10.0,14.0,50.0,-12.0,-2.0,1020.0,15.1,45.0,200.0,0
43,3.0,20.0,10.0,80.0,-5.0,5.0,1015.0,10.5,90.0,300.0,0
44,12.0,28.0,9.0,45.0,-15.0,-8.0,1025.0,85.2,0.0,0.0,0
45,6.0,15.0,20.0,78.0,12.0,22.0,1015.0,56.1,0.0,0.0,0
46,2.0,10.0,15.0,40.0,-15.0,-5.0,1025.0,50.1,1.0,50.0,0
47,2.0,11.0,10.0,30.0,-18.0,-8.0,1028.0,30.5,2.0,20.0,0
48,1.0,9.0,18.0,85.0,-8.0,-7.0,1018.0,3.5,30.0,0.0,0
49,1.0,7.0,22.0,60.0,-18.0,-12.0,1025.0,20.2,5.0,0.0,0
0,1.0,2.0,23.0,126.0,-8.0,-6.0,1027.0,55.43,3.0,0.0,1
1,1.0,2.0,7.0,124.0,-7.0,-5.0,1024.0,10.72,0.0,0.0,1
2,1.0,5.0,19.0,60.0,-22.0,-13.0,1033.0,10.29,0.0,0.0,1
3,1.0,2.0,13.0,164.0,-8.0,-5.0,1025.0,27.71,0.0,0.0,1
